effect,resistance_or_rule,status
orbs,immune,rebuilt_from_prior_notes
death_ray,immune,rebuilt_from_prior_notes
shockwave,immune,rebuilt_from_prior_notes
knockback,immune,rebuilt_from_prior_notes
black_hole_damage,immune,rebuilt_from_prior_notes
black_hole_pull,immune,rebuilt_from_prior_notes
thorns,90_pct_resistance,rebuilt_from_prior_notes
control_effects,50_pct_resistance,rebuilt_from_prior_notes
magnetic_hook,cannot_target,rebuilt_from_prior_notes
plasma_cannon,cannot_target,rebuilt_from_prior_notes
