spawn_rate_display,standard_wave,source_page,source_image,source_status,notes
10,1,https://the-tower-idle-tower-defense.fandom.com/wiki/AdvancedAnalysis,https://static.wikia.nocookie.net/the-tower-idle-tower-defense/images/1/1f/Wave_Accelerator_Mastery_Impact.png/revision/latest?cb=20250413183819,wiki_advanced_analysis_image_verified_2026-06-13,"Spawn Rate to Wave Count image row; Wave Accelerator image columns are rounded standard_wave divided by accelerator multiplier, bounded to wave 1."
11,3,https://the-tower-idle-tower-defense.fandom.com/wiki/AdvancedAnalysis,https://static.wikia.nocookie.net/the-tower-idle-tower-defense/images/1/1f/Wave_Accelerator_Mastery_Impact.png/revision/latest?cb=20250413183819,wiki_advanced_analysis_image_verified_2026-06-13,"Spawn Rate to Wave Count image row; Wave Accelerator image columns are rounded standard_wave divided by accelerator multiplier, bounded to wave 1."
15,6,https://the-tower-idle-tower-defense.fandom.com/wiki/AdvancedAnalysis,https://static.wikia.nocookie.net/the-tower-idle-tower-defense/images/1/1f/Wave_Accelerator_Mastery_Impact.png/revision/latest?cb=20250413183819,wiki_advanced_analysis_image_verified_2026-06-13,"Spawn Rate to Wave Count image row; Wave Accelerator image columns are rounded standard_wave divided by accelerator multiplier, bounded to wave 1."
17,40,https://the-tower-idle-tower-defense.fandom.com/wiki/AdvancedAnalysis,https://static.wikia.nocookie.net/the-tower-idle-tower-defense/images/1/1f/Wave_Accelerator_Mastery_Impact.png/revision/latest?cb=20250413183819,wiki_advanced_analysis_image_verified_2026-06-13,"Spawn Rate to Wave Count image row; Wave Accelerator image columns are rounded standard_wave divided by accelerator multiplier, bounded to wave 1."
19,60,https://the-tower-idle-tower-defense.fandom.com/wiki/AdvancedAnalysis,https://static.wikia.nocookie.net/the-tower-idle-tower-defense/images/1/1f/Wave_Accelerator_Mastery_Impact.png/revision/latest?cb=20250413183819,wiki_advanced_analysis_image_verified_2026-06-13,"Spawn Rate to Wave Count image row; Wave Accelerator image columns are rounded standard_wave divided by accelerator multiplier, bounded to wave 1."
20,80,https://the-tower-idle-tower-defense.fandom.com/wiki/AdvancedAnalysis,https://static.wikia.nocookie.net/the-tower-idle-tower-defense/images/1/1f/Wave_Accelerator_Mastery_Impact.png/revision/latest?cb=20250413183819,wiki_advanced_analysis_image_verified_2026-06-13,"Spawn Rate to Wave Count image row; Wave Accelerator image columns are rounded standard_wave divided by accelerator multiplier, bounded to wave 1."
22,100,https://the-tower-idle-tower-defense.fandom.com/wiki/AdvancedAnalysis,https://static.wikia.nocookie.net/the-tower-idle-tower-defense/images/1/1f/Wave_Accelerator_Mastery_Impact.png/revision/latest?cb=20250413183819,wiki_advanced_analysis_image_verified_2026-06-13,"Spawn Rate to Wave Count image row; Wave Accelerator image columns are rounded standard_wave divided by accelerator multiplier, bounded to wave 1."
24,150,https://the-tower-idle-tower-defense.fandom.com/wiki/AdvancedAnalysis,https://static.wikia.nocookie.net/the-tower-idle-tower-defense/images/1/1f/Wave_Accelerator_Mastery_Impact.png/revision/latest?cb=20250413183819,wiki_advanced_analysis_image_verified_2026-06-13,"Spawn Rate to Wave Count image row; Wave Accelerator image columns are rounded standard_wave divided by accelerator multiplier, bounded to wave 1."
26,200,https://the-tower-idle-tower-defense.fandom.com/wiki/AdvancedAnalysis,https://static.wikia.nocookie.net/the-tower-idle-tower-defense/images/1/1f/Wave_Accelerator_Mastery_Impact.png/revision/latest?cb=20250413183819,wiki_advanced_analysis_image_verified_2026-06-13,"Spawn Rate to Wave Count image row; Wave Accelerator image columns are rounded standard_wave divided by accelerator multiplier, bounded to wave 1."
28,250,https://the-tower-idle-tower-defense.fandom.com/wiki/AdvancedAnalysis,https://static.wikia.nocookie.net/the-tower-idle-tower-defense/images/1/1f/Wave_Accelerator_Mastery_Impact.png/revision/latest?cb=20250413183819,wiki_advanced_analysis_image_verified_2026-06-13,"Spawn Rate to Wave Count image row; Wave Accelerator image columns are rounded standard_wave divided by accelerator multiplier, bounded to wave 1."
