tier,regular_first_spawn_wave,regular_frequency_waves,regular_count_per_event,bonus_first_spawn_wave,bonus_frequency_waves,bonus_count_per_event,source_page,source_status,notes
1,15000,100,1,,,,Fleet_Enemies,live_wiki_row_verified_2026-06-13,low_tier_high_wave_fleets
2,14750,100,1,,,,Fleet_Enemies,live_wiki_row_verified_2026-06-13,low_tier_high_wave_fleets
3,14500,100,1,,,,Fleet_Enemies,live_wiki_row_verified_2026-06-13,low_tier_high_wave_fleets
4,14250,100,1,,,,Fleet_Enemies,live_wiki_row_verified_2026-06-13,low_tier_high_wave_fleets
5,14000,100,1,,,,Fleet_Enemies,live_wiki_row_verified_2026-06-13,low_tier_high_wave_fleets
6,13750,100,1,,,,Fleet_Enemies,live_wiki_row_verified_2026-06-13,low_tier_high_wave_fleets
7,13500,100,1,,,,Fleet_Enemies,live_wiki_row_verified_2026-06-13,low_tier_high_wave_fleets
8,13250,100,1,,,,Fleet_Enemies,live_wiki_row_verified_2026-06-13,low_tier_high_wave_fleets
9,13000,100,1,,,,Fleet_Enemies,live_wiki_row_verified_2026-06-13,low_tier_high_wave_fleets
10,12750,100,1,,,,Fleet_Enemies,live_wiki_row_verified_2026-06-13,low_tier_high_wave_fleets
11,12500,100,1,,,,Fleet_Enemies,live_wiki_row_verified_2026-06-13,low_tier_high_wave_fleets
12,12250,100,1,,,,Fleet_Enemies,live_wiki_row_verified_2026-06-13,low_tier_high_wave_fleets
13,12000,100,1,,,,Fleet_Enemies,live_wiki_row_verified_2026-06-13,low_tier_high_wave_fleets
14,2495,1000,1,11750,100,1,Fleet_Enemies,live_wiki_row_verified_2026-06-13,battle_condition_tier_with_bonus_spawn
15,1495,750,1,11500,100,1,Fleet_Enemies,live_wiki_row_verified_2026-06-13,battle_condition_tier_with_bonus_spawn
16,995,500,1,11250,100,1,Fleet_Enemies,live_wiki_row_verified_2026-06-13,battle_condition_tier_with_bonus_spawn
17,495,250,1,11000,100,1,Fleet_Enemies,live_wiki_row_verified_2026-06-13,battle_condition_tier_with_bonus_spawn
18,95,100,1,10750,100,1,Fleet_Enemies,live_wiki_row_verified_2026-06-13,battle_condition_tier_with_bonus_spawn
19,45,50,1,10500,100,1,Fleet_Enemies,live_wiki_row_verified_2026-06-13,battle_condition_tier_with_bonus_spawn
20,5,10,1,10250,100,1,Fleet_Enemies,live_wiki_row_verified_2026-06-13,battle_condition_tier_with_bonus_spawn
21,5,10,2,10000,100,1,Fleet_Enemies,live_wiki_row_verified_2026-06-13,battle_condition_tier_with_bonus_spawn
