formula_id,domain,canonical_formula_surface,materialized_surface,representation_preference,generator_kind,level_variable,metric,unit,start_level,end_level,level_step,base_value,delta_per_step,expression,proof_basis,materialized_view_status
wiki_verified_guardian_ally_upgrades_cooldown_seconds,guardians,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_guardian_ally_upgrades_cooldown_seconds,kb/guardians/tables/wiki-verified-guardian-ally-upgrades.csv,formula_first,exact_linear_generator_from_row_verified_table,level,cooldown_seconds,seconds,0,90,1,120.0,-1.0,value = 120.0 + ((level - 0.0) / 1.0) * -1.0,exactly reproduced from row-verified table,paired_with_primary_row_table_for_irregular_bit_costs
wiki_verified_guardian_attack_upgrades_cooldown_seconds,guardians,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_guardian_attack_upgrades_cooldown_seconds,kb/guardians/tables/wiki-verified-guardian-attack-upgrades.csv,formula_first,exact_linear_generator_from_row_verified_table,level,cooldown_seconds,seconds,0,90,1,120.0,-1.0,value = 120.0 + ((level - 0.0) / 1.0) * -1.0,exactly reproduced from row-verified table,paired_with_primary_row_table_for_irregular_bit_costs
wiki_verified_guardian_bounty_upgrades_multiplier,guardians,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_guardian_bounty_upgrades_multiplier,kb/guardians/tables/wiki-verified-guardian-bounty-upgrades.csv,formula_first,exact_linear_generator_from_row_verified_table,level,multiplier,multiplier,0,99,1,0.01,0.01,value = 0.01 + ((level - 0.0) / 1.0) * 0.01,exactly reproduced from row-verified table,paired_with_primary_row_table_for_irregular_bit_costs
wiki_verified_guardian_fetch_upgrades_cooldown_seconds,guardians,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_guardian_fetch_upgrades_cooldown_seconds,kb/guardians/tables/wiki-verified-guardian-fetch-upgrades.csv,formula_first,exact_linear_generator_from_row_verified_table,level,cooldown_seconds,seconds,0,60,1,120.0,-1.0,value = 120.0 + ((level - 0.0) / 1.0) * -1.0,exactly reproduced from row-verified table,paired_with_primary_row_table_for_irregular_bit_costs
wiki_verified_guardian_summon_upgrades_cooldown_seconds,guardians,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_guardian_summon_upgrades_cooldown_seconds,kb/guardians/tables/wiki-verified-guardian-summon-upgrades.csv,formula_first,exact_linear_generator_from_row_verified_table,level,cooldown_seconds,seconds,0,70,1,140.0,-1.0,value = 140.0 + ((level - 0.0) / 1.0) * -1.0,exactly reproduced from row-verified table,paired_with_primary_row_table_for_irregular_bit_costs
wall_lab_wall_fortification_value_multiplier,labs,kb/formulas/tables/canonical-formula-registry.csv#wall_lab_wall_fortification_value_multiplier,kb/labs/derived/materialized/wall-lab-wall-fortification.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value_multiplier,multiplier,1,60,1,1.2,0.2,value = 1.2 + ((level - 1.0) / 1.0) * 0.2,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wall_lab_wall_fortification_value_percent,labs,kb/formulas/tables/canonical-formula-registry.csv#wall_lab_wall_fortification_value_percent,kb/labs/derived/materialized/wall-lab-wall-fortification.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value_percent,percent_or_percentage_points,1,60,1,20.0,20.0,value = 20.0 + ((level - 1.0) / 1.0) * 20.0,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_lab_attack_speed_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_attack_speed_value,kb/labs/derived/materialized/wiki-lab-attack-speed.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,99,1,1.02,0.02,value = 1.02 + ((level - 1.0) / 1.0) * 0.02,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_lab_cash_bonus_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_cash_bonus_value,kb/labs/derived/materialized/wiki-lab-cash-bonus.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,99,1,1.02,0.02,value = 1.02 + ((level - 1.0) / 1.0) * 0.02,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_lab_chrono_field_duration_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_chrono_field_duration_value,kb/labs/derived/materialized/wiki-lab-chrono-field-duration.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,30,1,1.0,1.0,value = 1.0 + ((level - 1.0) / 1.0) * 1.0,exactly reproduced from row-verified table,moved_to_derived_materialized_view
