mechanic_id,mechanic_type,domain,authority_classification,authority_source,authority_reason_code,notes
ep_lambda_bullet_per_second,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_ep_cl_dps,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_ep_dw_dps,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_ep_sl_final_bonus,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_ep_slm_dps,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_ep_sm_dps,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_ep_uw_sl_coverage,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_ep_uw_total_damage,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_epd_aspd,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_epd_bounceshot,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_epd_bsc,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_epd_bst,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_known_definition_defect,Defined name text references vault without lambda parameter; fail closed or patch only with explicit evidence.
ep_lambda_epd_crit_chance,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_epd_critical,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_epd_dpm,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_epd_maxrend,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
ep_lambda_epd_msc,effective_paths_formula_id,damage,intentionally_de_scoped,kb/ledgers/tables/effective-paths-formula-registry.csv,ep_source_audit_blocked,From workbook defined name.
