module,family,rarity,value,measure,status
death_penalty,cannon,epic,5,pct,rebuilt_from_prior_notes
death_penalty,cannon,legendary,8,pct,rebuilt_from_prior_notes
death_penalty,cannon,mythic,11,pct,rebuilt_from_prior_notes
death_penalty,cannon,ancestral,15,pct,rebuilt_from_prior_notes
orbital_augment,armor,epic,2,count,rebuilt_from_prior_notes
orbital_augment,armor,legendary,4,count,rebuilt_from_prior_notes
orbital_augment,armor,mythic,6,count,rebuilt_from_prior_notes
orbital_augment,armor,ancestral,8,count,rebuilt_from_prior_notes
galaxy_compressor,generator,epic,10,seconds,rebuilt_from_prior_notes
galaxy_compressor,generator,legendary,13,seconds,rebuilt_from_prior_notes
galaxy_compressor,generator,mythic,17,seconds,rebuilt_from_prior_notes
galaxy_compressor,generator,ancestral,20,seconds,rebuilt_from_prior_notes
harmony_conductor,core,epic,15,pct,rebuilt_from_prior_notes
harmony_conductor,core,legendary,20,pct,rebuilt_from_prior_notes
harmony_conductor,core,mythic,25,pct,rebuilt_from_prior_notes
harmony_conductor,core,ancestral,30,pct,rebuilt_from_prior_notes
