source_family,contributor_id,semantic_unit_hint,destination_object_type,destination_id,resolver,value_surface_role,frozen_kb_value_policy
relic,relic__tower__lab_speed__pct,percent_points_or_pct_bonus,canonical_stat,lab_speed_multiplier,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__bot_range__m,meters,runtime_mechanic_param,bot.global.range_bonus_m,standard_scalar_param,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__damage__pct,pct_bonus,canonical_stat,tower_damage,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__ultimate_damage__pct,percent_points_or_pct_bonus,canonical_stat,ultimate_damage_multiplier,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__attack_speed__pct,percent_points_or_pct_bonus,canonical_stat,tower_attack_speed,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__crit_chance__pct,percent_points_or_pct_bonus,canonical_stat,tower_crit_chance_pct,pct_capped_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__crit_multiplier__pct,percent_points_or_pct_bonus,canonical_stat,tower_crit_multiplier,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__damage_per_meter__pct,percent_points_or_pct_bonus,canonical_stat,tower_damage_per_meter_multiplier,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__supercrit_chance__pct,percent_points_or_pct_bonus,canonical_stat,tower_supercrit_chance_pct,pct_capped_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__supercrit_multiplier__pct,percent_points_or_pct_bonus,canonical_stat,tower_supercrit_multiplier,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__rend_armor_multiplier__pct,percent_points_or_pct_bonus,canonical_stat,tower_rend_armor_multiplier,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__health__pct,pct_bonus,canonical_stat,tower_hp,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__health_regen__pct,pct_bonus,canonical_stat,tower_regen,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__defense_pct__pct,percent_points_or_pct_bonus,canonical_stat,tower_defense_pct,pct_capped_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__defense_absolute__pct,pct_bonus,canonical_stat,tower_defense_absolute,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__thorns__pct,percent_points_or_pct_bonus,canonical_stat,tower_thorns_damage_pct,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__knockback_force__pct,percent_points_or_pct_bonus,canonical_stat,tower_knockback_force,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__orb_speed__pct,percent_points_or_pct_bonus,canonical_stat,tower_orb_speed_rpm,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__wall_rebuild_seconds_reduction,wall_rebuild_seconds_reduction,canonical_stat,wall_rebuild_seconds,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__cash__pct,percent_points_or_pct_bonus,canonical_stat,cash_kill_multiplier,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__coins__pct,percent_points_or_pct_bonus,canonical_stat,coin_kill_multiplier,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__free_attack_upgrade__pct,percent_points_or_pct_bonus,canonical_stat,free_attack_upgrade_chance_pct,pct_capped_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__free_defense_upgrade__pct,percent_points_or_pct_bonus,canonical_stat,free_defense_upgrade_chance_pct,pct_capped_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__free_utility_upgrade__pct,percent_points_or_pct_bonus,canonical_stat,free_utility_upgrade_chance_pct,pct_capped_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__recovery_amount__pct,percent_points_or_pct_bonus,canonical_stat,recovery_amount_pct,standard_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__enemy_attack_level_skip__pct,percent_points_or_pct_bonus,canonical_stat,enemy_attack_level_skip_pct,pct_capped_scalar_stat,account_state_input,registry_only_no_invented_instance_values
relic,relic__tower__enemy_health_level_skip__pct,percent_points_or_pct_bonus,canonical_stat,enemy_health_level_skip_pct,pct_capped_scalar_stat,account_state_input,registry_only_no_invented_instance_values
