source_domain,stat_name,authority_source,formula_id,approved_exception_reason
workshop,Attack Speed,canonical_formula_registry,workshop_attack_speed_value,
workshop,Defense %,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Critical Chance,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Critical Factor,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Cash Bonus,canonical_formula_registry,workshop_cash_bonus_multiplier,
workshop,Coin / Kill Bonus,canonical_formula_registry,workshop_coins_kill_bonus_multiplier,
workshop,Enemy Attack Level Skip,canonical_formula_registry,workshop_enemy_skip_pct,
workshop,Enemy Health Level Skip,canonical_formula_registry,workshop_enemy_skip_pct,
workshop,Package Chance,canonical_formula_registry,workshop_package_chance_pct,
workshop,Range,canonical_formula_registry,workshop_range_m,
workshop,Thorn Damage,canonical_formula_registry,workshop_thorns_pct,
workshop,Wall Health,canonical_formula_registry,workshop_wall_health_pct,
workshop,Wall Rebuild,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Free Attack Upgrade,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Free Defense Upgrade,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Free Utility Upgrade,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Recovery Amount,canonical_formula_registry,workshop_recovery_amount_pct,
workshop,Max Amount,canonical_formula_registry,workshop_max_recovery_x,
workshop,Max Recovery,canonical_formula_registry,workshop_max_recovery_x,
workshop,Interest / Wave,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Wall Fortification,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Multishot Chance,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Multishot Targets,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Rapid Fire Chance,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Rapid Fire Duration,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Bounce Shot Chance,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Bounce Shot Targets,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Bounce Shot Range,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Super Critical Chance,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Super Critical Mult,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Rend Armor Chance,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Rend Armor Mult,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Knockback Chance,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Knockback Force,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Orb Speed,canonical_formula_registry,workshop_orb_speed_rpm,
workshop,Orbs,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Shockwave Size,canonical_formula_registry,workshop_shockwave_size,
workshop,Shockwave Frequency,canonical_formula_registry,workshop_shockwave_frequency_s,
workshop,Land Mine Chance,canonical_formula_registry,workshop_land_mine_chance_pct,
workshop,Land Mine Damage,canonical_formula_registry,workshop_land_mine_damage_pct,
workshop,Land Mine Radius,canonical_formula_registry,workshop_land_mine_radius,
workshop,Death Defy,canonical_formula_registry,workshop_death_defy_pct,
workshop,Cash / Wave,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
workshop,Coin / Wave,canonical_formula_registry,workshop_coins_wave_value,
lab,Critical Factor,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
lab,Coins / Kill Bonus,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
lab,Cash Bonus,canonical_formula_registry,wiki_lab_cash_bonus_value,
lab,Defense Absolute,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
lab,Damage / Meter,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
lab,Wall Rebuild,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
lab,Max Rend Armor Multiplier,approved_exception,,no_canonical_formula_registry_mapping_for_runtime_key
