source_family,contributor_id,semantic_unit_hint,destination_object_type,destination_id,resolver,value_surface_role,frozen_kb_value_policy
unlock,unlock__wall__enabled__boolean,boolean,capability,capability.wall.enabled,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
unlock,unlock__guardian__enabled__boolean,boolean,capability,capability.guardian.enabled,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
unlock,unlock__guardian__attack_chip__enabled__boolean,boolean,capability,capability.guardian.attack.enabled,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
unlock,unlock__guardian__ally_chip__enabled__boolean,boolean,capability,capability.guardian.ally.enabled,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
unlock,unlock__guardian__bounty_chip__enabled__boolean,boolean,capability,capability.guardian.bounty.enabled,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
unlock,unlock__guardian__fetch_chip__enabled__boolean,boolean,capability,capability.guardian.fetch.enabled,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
unlock,unlock__guardian__summon_chip__enabled__boolean,boolean,capability,capability.guardian.summon.enabled,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
unlock,unlock__guardian__scout_chip__enabled__boolean,boolean,capability,capability.guardian.scout.enabled,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
unlock,unlock__uw__golden_tower__enabled,boolean,capability,capability.uw.golden_tower.enabled,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
unlock,unlock__uw__black_hole__enabled,boolean,capability,capability.uw.black_hole.enabled,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
