stat_name,formula_type,base,per_level,floor,source_domain,notes
Attack Speed,linear,1.0,0.05,,workshop,value = 1.0 + 0.05 * level
Defense %,linear,0.0,0.5,,workshop,value = 0.5 * level
Critical Chance,linear,1.0,1.0,,workshop,value = 1.0 + level
Critical Factor,linear,1.2,0.1,,workshop,value = 1.2 + 0.1 * level
Cash Bonus,linear,1.0,0.01,,workshop,value = 1.0 + 0.01 * level
Coin / Kill Bonus,linear,1.0,0.01,,workshop,value = 1.0 + 0.01 * level
Enemy Attack Level Skip,linear,0.05,0.05,,workshop,value = 0.05 + 0.05 * level
Enemy Health Level Skip,linear,0.05,0.05,,workshop,value = 0.05 + 0.05 * level
Package Chance,linear,6.0,0.4,,workshop,value = 6.0 + 0.4 * level
Range,linear,26.5,0.5,,workshop,value = 26.5 + 0.5 * level
Thorn Damage,linear,0.0,1.0,,workshop,value = level
Wall Health,linear,0.2,0.001,,workshop,value = 0.2 + 0.001 * level
Wall Rebuild,linear_with_floor,600.0,-2.0,0.0,workshop,value = max(0.0; 600.0 - 2.0 * level)
Free Attack Upgrade,linear,0.0,0.5,,workshop,value = 0.5 * level
Free Defense Upgrade,linear,0.0,0.5,,workshop,value = 0.5 * level
Free Utility Upgrade,linear,0.0,0.5,,workshop,value = 0.5 * level
Recovery Amount,linear,14.0,0.4,,workshop,value = 14.0 + 0.4 * level
Max Amount,linear,1.0,0.031,,workshop,value = 1.0 + 0.031 * level
Max Recovery,linear,1.0,0.031,,workshop,value = 1.0 + 0.031 * level (alias for Max Amount)
Interest / Wave,linear,0.0,0.25,,workshop,value = 0.25 * level
Wall Fortification,linear,1.0,0.2,,workshop,value = 1.0 + (20.0 * level) / 100.0
Multishot Chance,linear,0.0,0.5,,workshop,value = 0.5 * level
Multishot Targets,linear,2.0,1.0,,workshop,value = 2.0 + level
Rapid Fire Chance,linear,0.0,0.4,,workshop,value = 0.4 * level
Rapid Fire Duration,linear,0.6,0.05,,workshop,value = 0.6 + 0.05 * level
Bounce Shot Chance,linear,0.0,0.8,,workshop,value = 0.8 * level
Bounce Shot Targets,linear,1.0,1.0,,workshop,value = 1.0 + level
Bounce Shot Range,linear,2.0,0.1,,workshop,value = 2.0 + 0.1 * level
Super Critical Chance,linear,0.0,0.2,,workshop,value = 0.2 * level
Super Critical Mult,linear,1.2,0.1,,workshop,value = 1.2 + 0.1 * level
Rend Armor Chance,linear,0.0,0.375,,workshop,value = 0.375 * level
Rend Armor Mult,linear_from_level_plus_one,0.0,0.0035,,workshop,value = 0.0035 * (level + 1)
Knockback Chance,linear,0.0,1.0,,workshop,value = 1.0 * level
Knockback Force,linear,0.4,0.142,,workshop,value = 0.4 + 0.142 * level
Orb Speed,linear,0.4,0.15,,workshop,value = 0.4 + 0.15 * level
Orbs,linear_with_floor,-1.0,1.0,0.0,workshop,value = max(0.0; level - 1.0)
Shockwave Size,linear,0.6,0.05,,workshop,value = 0.6 + 0.05 * level
Shockwave Frequency,linear_with_floor,20.0,-0.15,7.0,workshop,value = max(7.0; 20.0 - 0.15 * level)
Land Mine Chance,linear,0.0,0.6,,workshop,value = 0.6 * level
Land Mine Damage,linear,1.0,0.1,,workshop,value = 1.0 + 0.1 * level
Land Mine Radius,linear,0.0,0.03,,workshop,value = 0.03 * level
Death Defy,linear,0.0,0.4,,workshop,value = 0.4 * level
Cash / Wave,linear,0.0,4.0,,workshop,value = 4.0 * level
Coin / Wave,linear,0.0,4.0,,workshop,value = 4.0 * level
Critical Factor (lab),linear,1.0,0.03,,lab,value = 1.0 + 0.03 * level
Coins / Kill Bonus (lab),linear,1.0,0.02,,lab,value = 1.0 + 0.02 * level
Cash Bonus (lab),linear,1.0,0.02,,lab,value = 1.0 + 0.02 * level
Defense Absolute (lab),linear,1.0,0.03,,lab,value = 1.0 + 0.03 * level
Damage / Meter (lab),linear,1.0,0.02,,lab,value = 1.0 + 0.02 * level
Wall Rebuild (lab),linear,0.0,-10.0,,lab,value = -10.0 * level (reduction)
Max Rend Armor Multiplier (lab),linear,0.0,0.25,,lab,value = 0.25 * level
Super Tower Bonus (lab),linear,1.0,0.03,,lab,value = 1.03 + ((level - 1.0) / 1.0) * 0.03
