level,cooldown_seconds,cooldown_bits,find_chance_pct,find_chance_bits,double_find_chance_pct,double_find_chance_bits,status,source_url
0,120.0,0.0,0.1,0.0,0.02,0.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
1,119.0,2.0,0.11,20.0,0.03,10.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
2,118.0,4.0,0.12,25.0,0.04,15.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
3,117.0,6.0,0.13,30.0,0.05,20.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
4,116.0,8.0,0.14,35.0,0.06,25.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
5,115.0,10.0,0.15,40.0,0.07,30.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
6,114.0,12.0,0.16,45.0,0.08,35.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
7,113.0,14.0,0.17,50.0,0.09,40.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
8,112.0,16.0,0.18,55.0,0.0999999999999999,45.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
9,111.0,18.0,0.19,60.0,0.1099999999999999,50.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
10,110.0,20.0,0.2,65.0,0.1199999999999999,55.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
11,109.0,22.0,0.21,70.0,0.1299999999999999,60.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
12,108.0,24.0,0.22,75.0,0.1399999999999999,65.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
13,107.0,26.0,0.2300000000000001,80.0,0.15,70.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
14,106.0,28.0,0.2400000000000001,85.0,0.16,75.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
15,105.0,30.0,0.2500000000000001,90.0,0.17,80.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
16,104.0,32.0,0.2600000000000001,95.0,0.18,85.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
17,103.0,34.0,0.2700000000000001,100.0,0.19,90.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
18,102.0,36.0,0.2800000000000001,105.0,0.2,95.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
19,101.0,38.0,0.2900000000000001,110.0,0.21,100.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
20,100.0,40.0,0.3000000000000001,115.0,0.22,105.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
21,99.0,42.0,0.3100000000000001,120.0,0.23,110.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
22,98.0,44.0,0.3200000000000002,125.0,0.24,115.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
23,97.0,46.0,0.3300000000000002,130.0,0.25,120.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
24,96.0,48.0,0.3400000000000002,135.0,0.26,125.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
25,95.0,50.0,0.3500000000000002,140.0,0.2700000000000001,130.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
26,94.0,52.0,0.3600000000000002,145.0,0.2800000000000001,135.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
27,93.0,54.0,0.3700000000000002,150.0,0.2900000000000001,140.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
28,92.0,56.0,0.3800000000000002,155.0,0.3000000000000001,145.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
29,91.0,58.0,0.3900000000000002,160.0,0.3100000000000001,150.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
30,90.0,60.0,0.4000000000000002,165.0,0.3200000000000001,155.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
31,89.0,62.0,0.4100000000000002,170.0,0.3300000000000001,160.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
32,88.0,64.0,0.4200000000000002,175.0,0.3400000000000001,165.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
33,87.0,66.0,0.4300000000000002,180.0,0.3500000000000001,170.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
34,86.0,68.0,0.4400000000000003,185.0,0.3600000000000001,175.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
35,85.0,70.0,0.4500000000000003,190.0,0.3700000000000001,180.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
36,84.0,72.0,0.4600000000000003,195.0,0.3800000000000001,185.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
37,83.0,74.0,0.4700000000000003,200.0,0.3900000000000002,190.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
38,82.0,76.0,0.4800000000000003,205.0,0.4000000000000002,195.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
39,81.0,78.0,0.4900000000000003,210.0,0.4100000000000002,200.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
40,80.0,80.0,0.5000000000000003,215.0,0.4200000000000002,205.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
41,79.0,82.0,,,0.4300000000000002,210.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
42,78.0,84.0,,,0.4400000000000002,215.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
43,77.0,86.0,,,0.4500000000000002,220.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
44,76.0,88.0,,,0.4600000000000002,225.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
45,75.0,90.0,,,0.4700000000000002,230.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
46,74.0,92.0,,,0.4800000000000002,235.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
47,73.0,94.0,,,0.4900000000000002,240.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
48,72.0,96.0,,,0.5000000000000002,245.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
49,71.0,98.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
