level,cooldown_seconds,cooldown_bits,range_bonus_multiplier,range_bonus_bits,duration_seconds,duration_bits,status,source_url
0,105.0,0.0,2.0,0.0,5.0,0.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
1,104.0,1.0,2.1,10.0,6.0,10.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
2,103.0,3.0,2.2,15.0,7.0,20.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
3,102.0,5.0,2.3,20.0,8.0,30.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
4,101.0,7.0,2.4,25.0,9.0,40.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
5,100.0,9.0,2.5,30.0,10.0,50.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
6,99.0,11.0,2.6,35.0,11.0,60.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
7,98.0,13.0,2.7,40.0,12.0,70.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
8,97.0,15.0,2.8,45.0,13.0,80.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
9,96.0,17.0,2.9,50.0,14.0,90.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
10,95.0,19.0,3.0,55.0,15.0,100.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
11,94.0,21.0,3.1,60.0,16.0,110.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
12,93.0,23.0,3.2,65.0,17.0,120.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
13,92.0,25.0,3.3,70.0,18.0,130.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
14,91.0,27.0,3.4,75.0,19.0,140.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
15,90.0,29.0,3.5,80.0,20.0,150.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
16,89.0,31.0,3.6,85.0,21.0,160.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
17,88.0,33.0,3.7,90.0,22.0,170.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
18,87.0,35.0,3.8,95.0,23.0,180.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
19,86.0,37.0,3.9,100.0,24.0,190.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
20,85.0,39.0,4.0,105.0,25.0,200.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
21,84.0,41.0,4.1,110.0,26.0,210.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
22,83.0,43.0,4.2,115.0,27.0,220.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
23,82.0,45.0,4.3,120.0,28.0,230.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
24,81.0,47.0,4.4,125.0,29.0,240.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
25,80.0,49.0,4.5,130.0,30.0,250.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
26,79.0,51.0,4.6,135.0,31.0,260.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Chips
