level,cooldown_seconds,cooldown_bits,duration_seconds,duration_bits,cash_bonus_multiplier,cash_bonus_bits,status,source_url
0,140.0,0.0,5.0,0.0,1.0,0.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
1,139.0,1.0,6.0,15.0,2.0,100.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
2,138.0,3.0,7.0,25.0,3.0,200.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
3,137.0,5.0,8.0,35.0,4.0,300.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
4,136.0,7.0,9.0,45.0,5.0,400.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
5,135.0,9.0,10.0,55.0,6.0,500.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
6,134.0,11.0,11.0,65.0,7.0,600.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
7,133.0,13.0,12.0,75.0,8.0,700.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
8,132.0,15.0,13.0,85.0,9.0,800.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
9,131.0,17.0,14.0,95.0,10.0,900.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
10,130.0,19.0,15.0,105.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
11,129.0,21.0,16.0,115.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
12,128.0,23.0,17.0,125.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
13,127.0,25.0,18.0,135.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
14,126.0,27.0,19.0,145.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
15,125.0,29.0,20.0,155.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
16,124.0,31.0,21.0,165.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
17,123.0,33.0,22.0,175.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
18,122.0,35.0,23.0,185.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
19,121.0,37.0,24.0,195.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
20,120.0,39.0,25.0,205.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
21,119.0,41.0,26.0,215.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
22,118.0,43.0,27.0,225.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
23,117.0,45.0,28.0,235.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
24,116.0,47.0,29.0,245.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
25,115.0,49.0,30.0,255.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
26,114.0,51.0,31.0,265.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
27,113.0,53.0,32.0,275.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
28,112.0,55.0,33.0,285.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
29,111.0,57.0,34.0,295.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
30,110.0,59.0,35.0,305.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
31,109.0,61.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
32,108.0,63.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
33,107.0,65.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
34,106.0,67.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
35,105.0,69.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
36,104.0,71.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
37,103.0,73.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
38,102.0,75.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
39,101.0,77.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
40,100.0,79.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
41,99.0,81.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
42,98.0,83.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
43,97.0,85.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
44,96.0,87.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
45,95.0,89.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
46,94.0,91.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
47,93.0,93.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
48,92.0,95.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
49,91.0,97.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
50,90.0,99.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
51,89.0,101.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
52,88.0,103.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
