subject_type,subject,mechanic,interaction_type,behavior,rule_confidence,notes
enemy_class,boss,orb_kill,susceptibility,immune_except_boss_orb_hit_case,MEDIUM,Special-case lab exception
enemy_class,boss,death_ray,susceptibility,immune,HIGH,
enemy_class,boss,black_hole_pull,susceptibility,immune,HIGH,
enemy_class,boss,thorns,resistance,0.5_effectiveness,HIGH,Reduced thorn effect
enemy_class,elite,orb_kill,susceptibility,immune,HIGH,
enemy_class,elite,death_ray,susceptibility,immune,HIGH,
enemy_class,elite,black_hole_pull,susceptibility,immune,HIGH,
enemy_class,elite,shockwave,susceptibility,immune,HIGH,
enemy_class,fleet,orb_kill,susceptibility,immune,HIGH,
enemy_class,fleet,death_ray,susceptibility,immune,HIGH,
enemy_class,fleet,black_hole_pull,susceptibility,immune,HIGH,
enemy_class,fleet,black_hole_damage,susceptibility,immune,HIGH,
enemy_class,fleet,knockback,susceptibility,immune,HIGH,
enemy_class,fleet,thorns,resistance,0.1_effectiveness,HIGH,90 percent resistance
enemy_class,fleet,chrono_field,resistance,0.5_effectiveness,HIGH,50 percent resistance
enemy_class,fleet,poison_swamp_stun,resistance,0.5_effectiveness,HIGH,50 percent resistance
enemy_class,fleet,plasma_cannon,targeting,cannot_target,HIGH,
