wave_actual,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,Tier 10,Tier 11,Tier 12,Tier 13,Tier 14,Tier 15,Tier 16,Tier 17,Tier 18,Tier 19,Tier 20,Tier 21,Champion,Copper,Gold,Legend,Platinum,Silver
1,1.18,23.52,70.56,135.11,270.22,540.43,1030.0,2070.0,6200.0,18860.0,245180.0,14710000.0,147110000.0,882660000.0,5300000000.0,44130000000.0,264800000000.0,1320000000000.0,344240000000000.0,8.262e+16,1.983e+19,28610000.0,2.29,525.59,515059999999.99994,4019.9999999999995,137.24
10,4.81,96.19,288.56,552.57,1110.0,2210.0,4220.0,8450.0,25340.0,77290.0,1010000.0,61430000.0,631520000.0,3900000000.0,24210000000.0,201720000000.0,1210000000000.0,6050000000000.0,1570000000000000.0,3.7763e+17,9.063e+19,767030000.0,59.13,13590.0,16079999999999.998,103860.0,3550.0
20,13.65,272.94,818.83,1570.0,3140.0,6270.0,11990.0,23970.0,71920.0,219760.0,2870000.0,177760000.0,1880000000.0,11920000000.0,76130000000.0,634390000000.0,3810000000000.0,19030000000000.0,4950000000000000.0,1.19e+18,2.8501999999999997e+20,3710000000.0,281.13,64599.99999999999,83840000000000.0,493840.0,16870.0
30,28.76,575.27,1730.0,3300.0,6610.0,13220.0,25260.0,50530.0,151580.0,463740.0,6060000.0,379260000.0,4070000000.0000005,26260000000.0,170760000000.0,1420000000000.0,8539999999999.999,42690000000000.0,1.11e+16,2.66e+18,6.3932e+20,10120000000.0,758.75,174350.0,237860000000000.0,1330000.0,45520.0
40,50.41,1010.0,3020.0,5790.0,11580.0,23170.0,44270.0,88550.0,265640.0,813390.0,10640000.0,670290000.0,7260000000.0,47450000000.0,312260000000.0,2600000000000.0,15610000000000.0,78070000000000.0,2.03e+16,4.87e+18,1.1699999999999999e+21,20890000000.0,1550.0,357310.0,504200000000000.0,2730000.0,93300.0
50,81.33,1630.0,4880.0,9340.0,18690.0,37380.0,71440.0,142870.0,428620.0,1310000.0,17190000.0,1090000000.0,11890000000.0,78320000000.0,520070000000.00006,4330000000000.0,26000000000000.0,130020000000000.02,3.3799999999999996e+16,8.109999999999999e+18,1.95e+21,37920000000.0,2810.0,645440.0,934190000000000.0,4930000.0,168530.0
60,120.19,2400.0,7210.0,13810.0,27620.0,55240.0,105570.0,211130.0,633400.0,1940000.0,25420000.0,1620000000.0,17780000000.0,117860000000.0,788060000000.0,6570000000000.0,39400000000000.0,197010000000000.0,5.122e+16,1.229e+19,2.95e+21,61430000000.0,4530.0,1040000.0,1540000000000000.0,7960000.0,271910.0
70,167.99,3360.0,10080.0,19300.0,38600.0,77200.0,147550.0,295090.0,885280.0,2710000.0,35560000.0,2270000000.0,25080000000.0,167190000000.0,1120000000000.0,9370000000000.0,56220000000000.0,281089999999999.97,7.308e+16,1.754e+19,4.21e+21,92540000000.0,6800.0,1560000.0,2350000000000000.0,11950000.0,408250.0
80,229.96,4600.0,13800.0,26420.0,52840.0,105680.0,201980.0,403950.0,1210000.0,3720000.0,48720000.0,3120000000.0,34610000000.0,231760000000.0,1570000000000.0,13050000000000.0,78310000000000.0,391550000000000.0,1.018e+17,2.443e+19,5.86e+21,134940000000.0,9890.0,2270000.0,3470000000000000.0,17380000.0,593620.0
90,304.54,6090.0,18270.0,34990.0,69980.0,139960.0,267480.0,534960.0,1600000.0,4920000.0,64560000.0,4139999999.9999995,46150000000.0,310280000000.0,2109999999999.9998,17550000000000.0,105280000000000.0,526419999999999.94,1.3687e+17,3.285e+19,7.88e+21,188740000000.0,13800.0,3170000.0,4900000000000000.0,24250000.0,828170.0
100,402.95,8060.000000000001,24180.0,46300.0,92590.0,185180.0,353910.0,707810.0,2120000.0,6520000.0,85460000.0,5490000000.0,61430000000.0,414490000000.0,2820000000000.0,23530000000000.0,141170000000000.0,705840000000000.0,1.8352e+17,4.404e+19,1.057e+22,262010000000.0,19120.0,4390000.0,6860000000000000.0,33580000.0,1150000.0
150,1100.0,22070.0,66220.0,126800.0,253600.0,507200.0,993550.0,1990000.0,5960000.0,18320000.0,240400000.0,15570000000.0,176410000000.0,1210000000000.0,8330000000000.0,69400000000000.01,416380000000000.0,2080000000000000.0,5.4128999999999994e+17,1.2991e+20,3.118e+22,932440000000.0,65820.0,15120000.0,2.527e+16,118510000.0,3950000.0
200,2420.0,48470.0,145420.0,278470.0,556940.0,1110000.0,2180000.0,4470000.0,13420000.0,41260000.0,541880000.0,35290000000.0,403260000000.0,2780000000000.0,19390000000000.0,161560000000000.0,969360000000000.0,4850000000000000.0,1.26e+18,3.0244e+20,7.259e+22,2370000000000.0,162430.0,37320000.0,6.586e+16,299770000.0,9750000.0
250,4620.0,92370.0,277120.0,530660.0,1060000.0,2120000.0,4160000.0,8520000.0,25570000.0,78670000.0,1030000000.0,67590000000.0,777460000000.0,5400000000000.0,37900000000000.0,315820000000000.0,1890000000000000.0,9470000000000000.0,2.46e+18,5.912100000000001e+20,1.4188999999999999e+23,5260000000000.0,358500.0,82380000.0,1.4876e+17,661620000.0,21510000.0
300,7740.0,154750.0,464240.0,888970.0,1780000.0,3560000.0,7140000.0,14640000.0,43910000.0,135130000.0,1780000000.0,116530000000.0,1350000000000.0,9410000000000.0,66420000000000.0,553500000000000.0,3320000000000000.0,1.661e+16,4.3200000000000005e+18,1.04e+21,2.4868000000000002e+23,9740000000000.0,645040.0,148220000.0,2.7958e+17,1220000000.0,38700000.0
400,19180.0,383520.0,1150000.0,2200000.0,4410000.0,8810000.0,17690000.0,37180000.0,111540000.0,343500000.0,4520000000.0,297890000000.0,3470000000000.0,24450000000000.0,174180000000000.0,1450000000000000.0,8710000000000001.0,4.354e+16,1.132e+19,2.72e+21,6.5212e+23,29480000000000.0,1890000.0,435250000.0,8.6684e+17,3670000000.0,113650000.0
500,38940.0,778840.0,2340000.0,4470000.0,8950000.0,17900000.0,36830000.0,77390000.0,232180000.0,715350000.0,9410000000.0,623070000000.0,7310000000000.0,51780000000000.0,371460000000000.0,3100000000000000.0,1.857e+16,9.286e+16,2.414e+19,5.79e+21,1.3899999999999999e+24,71170000000000.0,4440000.0,1020000000.0,2.13e+18,8830000000.0,266459999.99999997
