formula_id,materialized_surface,status,rationale
wiki_verified_guardian_ally_upgrades_cooldown_seconds,kb/guardians/tables/wiki-verified-guardian-ally-upgrades.csv,paired_with_primary_row_table,formula canon retained; explicit row table needed for irregular bit-cost columns and audit
wiki_verified_guardian_attack_upgrades_cooldown_seconds,kb/guardians/tables/wiki-verified-guardian-attack-upgrades.csv,paired_with_primary_row_table,formula canon retained; explicit row table needed for irregular bit-cost columns and audit
wiki_verified_guardian_bounty_upgrades_multiplier,kb/guardians/tables/wiki-verified-guardian-bounty-upgrades.csv,paired_with_primary_row_table,formula canon retained; explicit row table needed for irregular bit-cost columns and audit
wiki_verified_guardian_fetch_upgrades_cooldown_seconds,kb/guardians/tables/wiki-verified-guardian-fetch-upgrades.csv,paired_with_primary_row_table,formula canon retained; explicit row table needed for irregular bit-cost columns and audit
wiki_verified_guardian_summon_upgrades_cooldown_seconds,kb/guardians/tables/wiki-verified-guardian-summon-upgrades.csv,paired_with_primary_row_table,formula canon retained; explicit row table needed for irregular bit-cost columns and audit
wall_lab_wall_fortification_value_multiplier,kb/labs/derived/materialized/wall-lab-wall-fortification.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wall_lab_wall_fortification_value_percent,kb/labs/derived/materialized/wall-lab-wall-fortification.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_attack_speed_value,kb/labs/derived/materialized/wiki-lab-attack-speed.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_cash_bonus_value,kb/labs/derived/materialized/wiki-lab-cash-bonus.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_chrono_field_duration_value,kb/labs/derived/materialized/wiki-lab-chrono-field-duration.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_coins_wave_value,kb/labs/derived/materialized/wiki-lab-coins-wave.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_damage_value,kb/labs/derived/materialized/wiki-lab-damage.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_defense_percent_value,kb/labs/derived/materialized/wiki-lab-defense-percent.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_enemy_attack_level_skip_value_percent_points,kb/labs/derived/materialized/wiki-lab-enemy-attack-level-skip.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_enemy_health_level_skip_value_percent_points,kb/labs/derived/materialized/wiki-lab-enemy-health-level-skip.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_health_regen_value,kb/labs/derived/materialized/wiki-lab-health-regen.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_health_value,kb/labs/derived/materialized/wiki-lab-health.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_labs_speed_value,kb/labs/derived/materialized/wiki-lab-labs-speed.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_range_value,kb/labs/derived/materialized/wiki-lab-range.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_recovery_package_chance_value,kb/labs/derived/materialized/wiki-lab-recovery-package-chance.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_lab_waves_required_value,kb/labs/derived/materialized/wiki-lab-waves-required.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_wall_lab_wall_health_value,kb/labs/derived/materialized/wiki-wall-lab-wall-health.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_wall_lab_wall_regen_value,kb/labs/derived/materialized/wiki-wall-lab-wall-regen.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
black_hole_basic_upgrades_duration_s,kb/ultimate-weapons/derived/materialized/black-hole-basic-upgrades.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
chrono_field_basic_upgrades_duration_s,kb/ultimate-weapons/derived/materialized/chrono-field-basic-upgrades.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
golden_tower_basic_upgrades_duration_s,kb/ultimate-weapons/derived/materialized/golden-tower-basic-upgrades.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
spotlight_basic_upgrades_extended_angle_deg,kb/ultimate-weapons/derived/materialized/spotlight-basic-upgrades-extended.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_death_wave_cell_bonus_levels_full_value_multiplier,kb/ultimate-weapons/derived/materialized/wiki-death-wave-cell-bonus-levels-full.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_death_wave_coin_bonus_levels_full_value_multiplier,kb/ultimate-weapons/derived/materialized/wiki-death-wave-coin-bonus-levels-full.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_death_wave_health_levels_full_value_pct_of_base_health,kb/ultimate-weapons/derived/materialized/wiki-death-wave-health-levels-full.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_verified_black_hole_coin_bonus_levels_full_value_multiplier,kb/ultimate-weapons/derived/materialized/wiki-verified-black-hole-coin-bonus-levels-full.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_verified_spotlight_missiles_lab_full_frequency_seconds,kb/ultimate-weapons/derived/materialized/wiki-verified-spotlight-missiles-lab-full.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_cash_bonus_multiplier,kb/workshop/derived/materialized/wiki-verified-cash-bonus-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_coins_kill_bonus_multiplier,kb/workshop/derived/materialized/wiki-verified-coins-kill-bonus-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_coins_wave_value,kb/workshop/derived/materialized/wiki-verified-coins-wave-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_attack_speed_value,kb/workshop/derived/materialized/wiki-verified-core-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_enemy_skip_pct,kb/workshop/derived/materialized/wiki-verified-core-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_death_defy_pct,kb/workshop/derived/materialized/wiki-verified-death-defy-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_attack_speed_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-attack-speed.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_cash_bonus_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-cash-bonus.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_cells_kill_bonus_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-cells-kill-bonus.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_coin_bonus_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-coin-bonus.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_damage_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-damage.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_def_abs_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-defense-absolute.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_enemy_level_skips_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-enemy-level-skips.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_free_upgrades_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-free-upgrades.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_health_regen_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-health-regen.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_health_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-health.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_land_mine_damage_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-land-mine-damage.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_orb_size_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-orb-size.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_packages_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-packages.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
enh_wall_health_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-wall-health.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_land_mine_chance_pct,kb/workshop/derived/materialized/wiki-verified-land-mine-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_land_mine_damage_pct,kb/workshop/derived/materialized/wiki-verified-land-mine-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_land_mine_radius,kb/workshop/derived/materialized/wiki-verified-land-mine-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_orb_speed_rpm,kb/workshop/derived/materialized/wiki-verified-orbs-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_range_m,kb/workshop/derived/materialized/wiki-verified-range-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_max_recovery_x,kb/workshop/derived/materialized/wiki-verified-recovery-packages-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_package_chance_pct,kb/workshop/derived/materialized/wiki-verified-recovery-packages-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_recovery_amount_pct,kb/workshop/derived/materialized/wiki-verified-recovery-packages-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_shockwave_frequency_s,kb/workshop/derived/materialized/wiki-verified-shockwave-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_shockwave_size,kb/workshop/derived/materialized/wiki-verified-shockwave-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_thorns_pct,kb/workshop/derived/materialized/wiki-verified-thorn-damage-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
workshop_wall_health_pct,kb/workshop/derived/materialized/wiki-verified-wall-workshop-summary.csv,derived_view_moved_to_separate_folder,human_browse_and_audit
wiki_verified_amplify_bot_duration_seconds,,not_materialized_exact_generator_primary,exact_live_wiki_rule_no_row_view_needed
wiki_verified_amplify_bot_cooldown_seconds,,not_materialized_exact_generator_primary,exact_live_wiki_rule_no_row_view_needed
wiki_verified_amplify_bot_bonus_multiplier,,not_materialized_exact_generator_primary,exact_live_wiki_rule_no_row_view_needed
wiki_verified_amplify_bot_range_m,,not_materialized_exact_generator_primary,exact_live_wiki_rule_no_row_view_needed
wiki_verified_flame_bot_damage_reduction_pct,,not_materialized_exact_generator_primary,exact_live_wiki_rule_no_row_view_needed
wiki_verified_flame_bot_cooldown_seconds,,not_materialized_exact_generator_primary,exact_live_wiki_rule_no_row_view_needed
wiki_verified_flame_bot_damage_multiplier,,not_materialized_exact_generator_primary,exact_live_wiki_rule_no_row_view_needed
