recovery_amount_pct,recovery_amount_bits,cooldown_seconds,cooldown_bits,max_recovery_multiplier,max_recovery_bits
1,0,120,0,1.1,0
2,5,119,1,1.2,1
3,10,118,2,1.3,2
4,15,117,3,1.4,3
5,20,116,4,1.5,4
6,25,115,5,1.6,5
7,30,114,6,1.7,6
8,35,113,7,1.8,7
9,40,112,8,1.9,8
10,45,111,9,2.0,9
11,50,110,10,2.1,10
12,55,109,11,2.2,11
13,60,108,12,2.3,12
14,65,107,13,2.4,13
15,70,106,14,2.5,14
16,75,105,15,2.6,15
17,80,104,16,2.7,16
18,85,103,17,2.8,17
19,90,102,18,2.9,18
20,95,101,19,3.0,19
21,100,100,20,3.1,20
22,105,99,21,3.2,21
23,110,98,22,3.3,22
24,115,97,23,3.4,23
25,120,96,24,3.5,24
26,125,95,25,3.6,25
27,130,94,26,3.7,26
28,135,93,27,3.8,27
29,140,92,28,3.9,28
30,145,91,29,4.0,29
31,150,90,30,4.1,30
