percentage_value_pct,percentage_bits,cooldown_seconds,cooldown_bits,targets,targets_bits
1,0,120,0,1,0
2,25,119,1,2,100
3,50,118,2,3,200
4,75,117,3,4,300
5,100,116,4,5,400
6,125,115,5,6,500
7,150,114,6,7,600
8,175,113,7,8,700
9,200,112,8,9,800
10,225,111,9,10,900
11,250,110,10,10,900
12,275,109,11,10,900
13,300,108,12,10,900
14,325,107,13,10,900
15,350,106,14,10,900
16,375,105,15,10,900
17,400,104,16,10,900
18,425,103,17,10,900
19,450,102,18,10,900
20,475,101,19,10,900
,,100,20,,
,,99,21,,
,,98,22,,
,,97,23,,
,,96,24,,
,,95,25,,
,,94,26,,
,,93,27,,
,,92,28,,
,,91,29,,
,,90,30,,
,,89,31,,
,,88,32,,
,,87,33,,
,,86,34,,
,,85,35,,
,,84,36,,
,,83,37,,
,,82,38,,
,,81,39,,
,,80,40,,
,,79,41,,
,,78,42,,
,,77,43,,
,,76,44,,
,,75,45,,
,,74,46,,
,,73,47,,
,,72,48,,
,,71,49,,
,,70,50,,
,,69,51,,
,,68,52,,
,,67,53,,
,,66,54,,
,,65,55,,
,,64,56,,
,,63,57,,
,,62,58,,
,,61,59,,
,,60,60,,
