level,multiplier,multiplier_bits,cooldown_seconds,cooldown_bits,targets,targets_bits,status,source_url
0,0.01,0.0,120.0,0.0,1.0,0.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
1,0.02,1.0,119.0,2.0,2.0,100.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
2,0.03,2.0,118.0,4.0,3.0,200.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
3,0.04,3.0,117.0,6.0,4.0,300.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
4,0.05,4.0,116.0,8.0,5.0,400.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
5,0.06,5.0,115.0,10.0,6.0,500.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
6,0.07,6.0,114.0,12.0,7.0,600.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
7,0.08,7.0,113.0,14.0,8.0,700.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
8,0.09,8.0,112.0,16.0,9.0,800.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
9,0.0999999999999999,9.0,111.0,18.0,10.0,900.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
10,0.1099999999999999,10.0,110.0,20.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
11,0.1199999999999999,11.0,109.0,22.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
12,0.1299999999999999,12.0,108.0,24.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
13,0.1399999999999999,13.0,107.0,26.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
14,0.15,14.0,106.0,28.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
15,0.16,15.0,105.0,30.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
16,0.17,16.0,104.0,32.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
17,0.18,17.0,103.0,34.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
18,0.19,18.0,102.0,36.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
19,0.2,19.0,101.0,38.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
20,0.21,20.0,100.0,40.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
21,0.22,21.0,99.0,42.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
