level,value,unit
1,-1.0,raw_number
2,-2.0,raw_number
3,-3.0,raw_number
4,-4.0,raw_number
5,-5.0,raw_number
6,-6.0,raw_number
7,-7.0,raw_number
8,-8.0,raw_number
9,-9.0,raw_number
10,-10.0,raw_number
11,-11.0,raw_number
12,-12.0,raw_number
13,-13.0,raw_number
14,-14.0,raw_number
15,-15.0,raw_number
16,-16.0,raw_number
17,-17.0,raw_number
18,-18.0,raw_number
19,-19.0,raw_number
20,-20.0,raw_number
21,-21.0,raw_number
22,-22.0,raw_number
23,-23.0,raw_number
24,-24.0,raw_number
25,-25.0,raw_number
26,-26.0,raw_number
27,-27.0,raw_number
28,-28.0,raw_number
29,-29.0,raw_number
30,-30.0,raw_number
31,-31.0,raw_number
32,-32.0,raw_number
33,-33.0,raw_number
34,-34.0,raw_number
35,-35.0,raw_number
36,-36.0,raw_number
37,-37.0,raw_number
38,-38.0,raw_number
39,-39.0,raw_number
40,-40.0,raw_number
41,-41.0,raw_number
42,-42.0,raw_number
43,-43.0,raw_number
44,-44.0,raw_number
45,-45.0,raw_number
46,-46.0,raw_number
47,-47.0,raw_number
48,-48.0,raw_number
49,-49.0,raw_number
50,-50.0,raw_number
51,-51.0,raw_number
52,-52.0,raw_number
53,-53.0,raw_number
54,-54.0,raw_number
55,-55.0,raw_number
56,-56.0,raw_number
57,-57.0,raw_number
58,-58.0,raw_number
59,-59.0,raw_number
60,-60.0,raw_number
61,-61.0,raw_number
62,-62.0,raw_number
63,-63.0,raw_number
64,-64.0,raw_number
65,-65.0,raw_number
66,-66.0,raw_number
67,-67.0,raw_number
68,-68.0,raw_number
69,-69.0,raw_number
70,-70.0,raw_number
71,-71.0,raw_number
72,-72.0,raw_number
73,-73.0,raw_number
74,-74.0,raw_number
75,-75.0,raw_number
76,-76.0,raw_number
77,-77.0,raw_number
78,-78.0,raw_number
79,-79.0,raw_number
80,-80.0,raw_number
81,-81.0,raw_number
82,-82.0,raw_number
83,-83.0,raw_number
84,-84.0,raw_number
85,-85.0,raw_number
86,-86.0,raw_number
87,-87.0,raw_number
88,-88.0,raw_number
89,-89.0,raw_number
90,-90.0,raw_number
91,-91.0,raw_number
92,-92.0,raw_number
93,-93.0,raw_number
94,-94.0,raw_number
95,-95.0,raw_number
96,-96.0,raw_number
97,-97.0,raw_number
98,-98.0,raw_number
99,-99.0,raw_number
100,-100.0,raw_number
