lab_canonical_id,lab_primary_name,raw_source_path,active_surface,source_kind,source_status,note
LAB_ATTACK_SPEED,Attack Speed,kb/labs/sources/raw/repo-cache/wiki/lab-attack-speed.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_CASH_BONUS,Cash Bonus,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-cash-bonus.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification.
LAB_CHRONO_FIELD_DURATION,Chrono Field Duration,kb/labs/sources/raw/repo-cache/wiki/lab-chrono-field-duration.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_COINS_PER_WAVE,Coins/Wave,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-coins-wave.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification.
LAB_DAMAGE,Damage,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-damage.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification.
LAB_DEFENSE_PERCENT,Defense %,kb/labs/sources/raw/repo-cache/wiki/lab-defense.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_ENEMY_ATTACK_LEVEL_SKIP,Enemy Attack Level Skip,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-enemy-attack-level-skip.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification in the verification sweep.
LAB_ENEMY_HEALTH_LEVEL_SKIP,Enemy Health Level Skip,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-enemy-health-level-skip.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification in the verification sweep.
LAB_GAME_SPEED,Game Speed,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Game_Speed,kb/labs/tables/wiki-game-speed-lab.csv,live_wiki,externally_verified_live_wiki_2026-03-14,Live wiki page externally verified in the verification sweep; a previous note-derived table was incorrect and was removed.
LAB_HEALTH,Health,kb/labs/sources/raw/repo-cache/wiki/lab-health.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_HEALTH_REGEN,Health Regen,kb/labs/sources/raw/repo-cache/wiki/lab-health-regen.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_LAB_SPEED,Labs Speed,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-labs-speed.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification.
LAB_RANGE,Range,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-range.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification.
LAB_RECOVERY_PACKAGE_CHANCE,Recovery Package Chance,kb/labs/sources/raw/repo-cache/wiki/lab-recovery-package-chance.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_WALL_FORTIFICATION,Wall Fortification,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Fortification ; https://the-tower-idle-tower-defense.fandom.com/wiki/Milestones,kb/labs/tables/wall-lab-wall-fortification.csv,live_wiki_conflict,verified_active_source_with_unlock_conflict,"Dedicated Wall Fortification page gives unlock Tier 14 Wave 60; Milestones page shows Wall Fortification at Tier 14 Wave 40. Ladder values are externally verified, unlock milestone remains source-conflicted."
LAB_WALL_HEALTH,Wall Health,kb/labs/sources/raw/repo-cache/wiki/wall-lab-wall-health.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_WALL_REGEN,Wall Regen,kb/labs/sources/raw/repo-cache/wiki/wall-lab-wall-regen.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_WAVES_REQUIRED,Waves Required,kb/labs/sources/raw/repo-cache/wiki/lab-waves-required.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
