module,slot,epic,legendary,mythic,ancestral,measure,status
astral_deliverance,cannon,20.0,40.0,60.0,80.0,pct,externally_verified_live_wiki_2026-03-14
being_annihilator,cannon,3.0,4.0,5.0,6.0,count,externally_verified_live_wiki_2026-03-14
death_penalty,cannon,5.0,8.0,11.0,15.0,pct,externally_verified_live_wiki_2026-03-14
havoc_bringer,cannon,10.0,13.0,15.0,20.0,pct,externally_verified_live_wiki_2026-03-14
shrink_ray,cannon,10.0,20.0,30.0,40.0,pct,externally_verified_live_wiki_2026-03-14
amplifying_strike,cannon,5.0,11.0,18.0,26.0,seconds,externally_verified_live_wiki_2026-03-14
anti_cube_portal,armor,10.0,15.0,20.0,25.0,multiplier,externally_verified_live_wiki_2026-03-14
negative_mass_projector,armor,1.0,1.5,2.0,2.5,pct_per_hit,externally_verified_live_wiki_2026-03-14
wormhole_redirector,armor,25.0,50.0,75.0,100.0,pct,externally_verified_live_wiki_2026-03-14
space_displacer,armor,15.0,20.0,25.0,30.0,pct,externally_verified_live_wiki_2026-03-14
sharp_fortitude,armor,1.25,1.5,2.0,2.5,multiplier,externally_verified_live_wiki_2026-03-14
orbital_augment,armor,2.0,4.0,6.0,8.0,count,externally_verified_live_wiki_2026-03-14
singularity_harness,generator,5.0,8.0,11.0,15.0,m,externally_verified_live_wiki_2026-03-14
galaxy_compressor,generator,10.0,13.0,17.0,20.0,seconds,externally_verified_live_wiki_2026-03-14
pulsar_harvester,generator,1.0,1.5,2.0,2.5,pct,externally_verified_live_wiki_2026-03-14
black_hole_digestor,generator,3.0,5.0,7.0,10.0,pct,externally_verified_live_wiki_2026-03-14
project_funding,generator,12.5,25.0,50.0,100.0,pct,externally_verified_live_wiki_2026-03-14
restorative_bonus,generator,15.0,20.0,25.0,30.0,seconds,externally_verified_live_wiki_2026-03-14
om_chip,core,2.0,4.0,7.0,15.0,multiplier,externally_verified_live_wiki_2026-03-14
harmony_conductor,core,15.0,20.0,25.0,30.0,pct,externally_verified_live_wiki_2026-03-14
dimension_core,core,5.0,10.0,15.0,20.0,count,externally_verified_live_wiki_2026-03-14
multiverse_nexus,core,20.0,10.0,1.0,-10.0,seconds_offset,externally_verified_live_wiki_2026-03-14
magnetic_hook,core,1.0,2.0,3.0,4.0,count,externally_verified_live_wiki_2026-03-14
primordial_collapse,core,50.0,55.0,65.0,80.0,pct,externally_verified_live_wiki_2026-03-14
