perk_name,category,effect,max_picks,stacking_type,effect_stat_name,effect_stat_id,notes,source
x1.20 Max Health,standard,Max Health multiplier ×1.20,5,multiplicative,Health,tower_hp,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
x1.15 Damage,standard,Damage multiplier ×1.15,5,multiplicative,,,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
x1.15 All Coin Bonuses,standard,All coin bonuses multiplier ×1.15,5,multiplicative,,,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
x1.15 Defense Absolute,standard,Defense Absolute multiplier ×1.15,5,,Defense Absolute,,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
x1.15 Cash Bonus,standard,Cash bonus multiplier ×1.15,5,,,,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
x1.75 Health Regen,standard,Health Regen multiplier ×1.75,5,,Health Regen,tower_regen,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
Interest x1.50,standard,Interest multiplier ×1.50,5,,,,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
Land Mine Damage x3.50,standard,Land mine damage multiplier ×3.50,5,,,,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
Free Upgrade Chance for All +5.0%,standard,+5.0 percentage points to free upgrade chance (all),5,,,,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
Defense Percent +4.00,standard,+4.00 percentage points Defense Percent,5,additive,Defense %,def_pct,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
Bounce Shot +2,standard,+2 Bounce Shot,3,,,,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
Perk Wave Requirement -20.00%,standard,−20.00% waves required,3,additive,Perk Wave Requirement,,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
Orbs +1,standard,+1 Orb,2,,,,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
Unlock a Random Ultimate Weapon,standard,Unlocks a random UW for the run,1,,,,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
Increase Max Game Speed by +1.00,standard,+1.00 to max game speed,1,,,,Standard perk.,kb/perks/sources/wiki-perks-baselines.md
4 More Smart Missiles,ultimate_weapon,+4 Smart Missiles,1,,,,UW perk.,kb/perks/sources/wiki-perks-baselines.md
Swamp Radius x1.5,ultimate_weapon,Poison Swamp radius ×1.5,1,,,,UW perk.,kb/perks/sources/wiki-perks-baselines.md
+1 Wave on Death Wave,ultimate_weapon,+1 wave on Death Wave,1,,,,UW perk.,kb/perks/sources/wiki-perks-baselines.md
Extra Set of Inner Mines,ultimate_weapon,+1 extra set of Inner Land Mines,1,,,,UW perk.,kb/perks/sources/wiki-perks-baselines.md
Golden Tower Bonus x1.5,ultimate_weapon,Golden Tower bonus ×1.5,1,,,,UW perk.,kb/perks/sources/wiki-perks-baselines.md
Chain Lightning Damage x2,ultimate_weapon,Chain Lightning damage ×2,1,,,,UW perk.,kb/perks/sources/wiki-perks-baselines.md
Chrono Field Duration +5s,ultimate_weapon,+5s Chrono Field duration,1,,,,UW perk.,kb/perks/sources/wiki-perks-baselines.md
Black Hole Duration +12.0s,ultimate_weapon,+12.0s Black Hole duration,1,,,,UW perk.,kb/perks/sources/wiki-perks-baselines.md
Spotlight Damage Bonus x1.5,ultimate_weapon,Spotlight damage bonus ×1.5,1,,,,UW perk.,kb/perks/sources/wiki-perks-baselines.md
"x1.50 Tower Damage, but Bosses Have 8x Health",trade_off,Tower Damage ×1.50 / Boss Health ×8,1,,,,Trade-off perk.,kb/perks/sources/wiki-perks-baselines.md
"x1.80 coins, but Tower Max Health -70%",trade_off,Coins ×1.80 / Tower Max Health −70%,1,,,,Trade-off perk.,kb/perks/sources/wiki-perks-baselines.md
"Enemies Have -50% Health, but Tower Health Regen and Lifesteal -90%",trade_off,Enemy Health −50% / Tower Health Regen −90% and Lifesteal −90%,1,,,,Trade-off perk.,kb/perks/sources/wiki-perks-baselines.md
"Enemies Damage -50%, but Tower Damage -50%",trade_off,Enemy Damage −50% / Tower Damage −50%,1,,,,Trade-off perk.,kb/perks/sources/wiki-perks-baselines.md
"Ranged Enemies Attack Distance Reduced, But Tower Ranged Enemies Damage x3",trade_off,Ranged enemy attack distance reduced / Ranged enemy damage ×3,1,,,,Trade-off perk.,kb/perks/sources/wiki-perks-baselines.md
"Enemies Speed -40%, But Enemies Damage x2.5",trade_off,Enemy Speed −40% / Enemy Damage ×2.5,1,,,,Trade-off perk.,kb/perks/sources/wiki-perks-baselines.md
"x12.00 Cash Per Wave, But Enemy Kill Don't Give Cash",trade_off,Cash per wave ×12.00 / Enemy kills give no cash,1,,,,Trade-off perk.,kb/perks/sources/wiki-perks-baselines.md
"Tower Health Regen x8.00, But Tower Max Max Health -60%",trade_off,Tower Health Regen ×8.00 / Tower Max Health −60%,1,,,,Trade-off perk.,kb/perks/sources/wiki-perks-baselines.md
"Boss Health -70%, But Boss Speed +50%",trade_off,Boss Health −70% / Boss Speed +50%,1,,,,Trade-off perk.,kb/perks/sources/wiki-perks-baselines.md
"Lifesteal x2.50, But Knockback force -70%",trade_off,Lifesteal ×2.50 / Knockback force −70%,1,,,,Trade-off perk.,kb/perks/sources/wiki-perks-baselines.md
