level,time,cost,value_pct,source_ref,source_url,verification_status
1,16d 16h 0m 0s,1.00q,2,internalized_source_snapshot,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Battle_Condition_Reduction,live_wiki_row_verified_2026-03-14
2,33d 8h 0m 0s,2.10q,4,internalized_source_snapshot,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Battle_Condition_Reduction,live_wiki_row_verified_2026-03-14
3,50d 0h 0m 0s,4.20q,6,internalized_source_snapshot,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Battle_Condition_Reduction,live_wiki_row_verified_2026-03-14
4,66d 16h 0m 0s,8.6q,8,internalized_source_snapshot,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Battle_Condition_Reduction,live_wiki_row_verified_2026-03-14
5,83d 8h 0m 0s,17.7q,10,internalized_source_snapshot,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Battle_Condition_Reduction,live_wiki_row_verified_2026-03-14
6,100d 0h 10m 0s,36.2q,12,internalized_source_snapshot,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Battle_Condition_Reduction,live_wiki_row_verified_2026-03-14
7,116d 16h 0m 0s,74.2q,14,internalized_source_snapshot,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Battle_Condition_Reduction,live_wiki_row_verified_2026-03-14
8,133d 8h 0m 0s,152.2q,16,internalized_source_snapshot,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Battle_Condition_Reduction,live_wiki_row_verified_2026-03-14
9,150d 0h 0m 0s,311.9q,18,internalized_source_snapshot,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Battle_Condition_Reduction,live_wiki_row_verified_2026-03-14
10,166d 16h 0m 0s,639.4q,20,internalized_source_snapshot,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Battle_Condition_Reduction,live_wiki_row_verified_2026-03-14
