,,=Sum(C$5:C66),,,,,=Sum(H$5:H66),,=Sum(J$5:J66),,=Sum(L$5:L66),,,,,,=Sum(R$5:R66),,=Sum(T$5:T66),,=Sum(V$5:V66),,,,,,=Sum(AB$5:AB66),,=Sum(AD$5:AD66),,=Sum(AF$5:AF66),,,,,,=Sum(AL$5:AL66),,=Sum(AN$5:AN66),,=Sum(AP$5:AP66),,,,,,=Sum(AV$5:AV66),,=Sum(AX$5:AX66),,=Sum(AZ$5:AZ66),,,,,,=Sum(BF$5:BF66),,=Sum(BH$5:BH66),,=Sum(BJ$5:BJ66),,,,,,=Sum(BP$5:BP66),,=Sum(BR$5:BR66),,=Sum(BT$5:BT66),,,,,,=Sum(BZ$5:BZ66),,=Sum(CB$5:CB66),,=Sum(CD$5:CD66),,,,,,=Sum(CJ$5:CJ66),,=Sum(CL$5:CL66),,=Sum(CN$5:CN66),,,,
,,,,=Sum(E$5:E66),,,,,,,,,=Sum(N$5:N66),,,,,,,,,,=Sum(X$5:X66),,,,,,,,,,=Sum(AH$5:AH66),,,,,,,,,,=Sum(AR$5:AR66),,,,,,,,,,=Sum(BB$5:BB66),,,,,,,,,,=Sum(BL$5:BL66),,,,,,,,,,=Sum(BV$5:BV66),,,,,,,,,,=Sum(CF$5:CF66),,,,,,,,,,=Sum(CP$5:CP66),,
=Images!$I$3,Unlock Costs per UW,,Unlock Costs per UW+,,=Images!$J$2,Chain Lightning,,,,,,Chain Lightning +,,,=Images!$H$2,Smart Missiles,,,,,,Smart Missiles +,,,=Images!$L$2,Death Wave,,,,,,Death Wave +,,,=Images!$K$2,Chrono Field,,,,,,Chrono Field +,,,=Images!$G$2,Inner Land Mines,,,,,,Inner Land Mines +,,,=Images!$M$2,Golden Tower,,,,,,Golden Tower +,,,=Images!$N$2,Poison Swamp,,,,,,Poison Swamp +,,,=Images!$I$2,Black Hole,,,,,,Black Hole +,,,=Images!$E$4,Spotlight,,,,,,Spotlight +,,,
,UW,Cost,UW+,Cost,,Damage,Cost,Quantity,Cost,Chance,Cost,Smite,Cost,ROI Cost,,Damage,Cost,Quantity,Cost,Cooldown,Cost,Cover Fire,Cost,ROI Cost,,Damage ,Cost,Quantity,Cost,Cooldown,Cost,Kill Wall,Cost,ROI Cost,,Duration,Cost,– Speed,Cost,Cooldown,Cost,Chrono Loop,Cost,ROI Cost,,Damage ,Cost,Quantity,Cost,Cooldown,Cost,Charged Mines,Cost,ROI Cost,,Multiplier,Cost,Duration,Cost,Cooldown,Cost,Golden Combo,Cost,ROI Cost,,Damage,Cost,Duration,Cost,Cooldown,Cost,Death Creep,Cost,ROI Cost,,Size,Cost,Duration,Cost,Cooldown,Cost,Consume,Cost,ROI Cost,,Multiplier,Cost,Angle,Cost,Quantity,Cost,Light Range,Cost,ROI Cost,
ULTIMATE WEAPONS UNLOCKS,0.0,0.0,0.0,0.0,CHAIN LIGHTNING,2.0,0.0,1.0,0.0,0.05,0.0,Locked,0.0,0.0,SMART MISSILES,10.0,0.0,5.0,0.0,180.0,0.0,Locked,0.0,0.0,DEATH WAVE,2.0,0.0,1.0,0.0,300.0,0.0,Locked,0.0,0.0,CHRONO FIELD,5.0,0.0,0.2,0.0,180.0,0.0,Locked,0.0,0.0,INNER LAND MINES,10.0,0.0,3.0,0.0,200.0,0.0,Locked,0.0,0.0,GOLDEN TOWER,5.0,0.0,15.0,0.0,300.0,0.0,Locked,0.0,0.0,POISON SWAMP,10.0,0.0,30.0,0.0,125.0,0.0,Locked,0.0,0.0,BLACK HOLE,30.0,0.0,15.0,0.0,200.0,0.0,Locked,0.0,0.0,SPOTLIGHT,8.0,0.0,30.0,0.0,1.0,0.0,Locked,0.0,0.0,
,1.0,5.0,1.0,500.0,,3.0,5.0,2.0,30.0,0.065,8.0,0.0005,0.0,=EP_NEXT_UWP_COST(),,11.0,5.0,6.0,4.0,170.0,8.0,13.0,0.0,=EP_NEXT_UWP_COST(),,3.0,5.0,2.0,200.0,=AE5-10,8.0,3.0,0.0,=EP_NEXT_UWP_COST(),,6.0,5.0,0.25,15.0,170.0,10.0,0.1,0.0,=EP_NEXT_UWP_COST(),,11.0,5.0,=AW5+1,50.0,=AY5-10,8.0,0.5,0.0,=EP_NEXT_UWP_COST(),,=BE5+0.8,5.0,=BG5+1,5.0,=BI5-10,10.0,0.0003,0.0,=EP_NEXT_UWP_COST(),,11.0,5.0,35.0,10.0,120.0,8.0,1.2,0.0,=EP_NEXT_UWP_COST(),,=BY5+2,5.0,=CA5+1,5.0,=CC5-10,10.0,0.0005,0.0,=EP_NEXT_UWP_COST(),,=CI5+1.4,5.0,31.0,5.0,2.0,375.0,0.01,0.0,=EP_NEXT_UWP_COST(),
,2.0,50.0,2.0,625.0,,5.0,11.0,3.0,75.0,0.08,26.0,=M6+0.0005,300.0,300.0,,13.0,11.0,7.0,12.0,160.0,24.0,12.0,300.0,300.0,,5.0,11.0,3.0,500.0,=AE6-10,24.0,4.0,400.0,400.0,,7.0,14.0,0.3,25.0,160.0,31.0,0.15,400.0,400.0,,13.0,11.0,=AW6+1,125.0,=AY6-10,24.0,1.5,300.0,300.0,,=BE6+0.8,13.0,=BG6+1,14.0,=BI6-10,28.0,=BK6+0.03%,300.0,300.0,,13.0,11.0,40.0,20.0,115.0,26.0,1.9,300.0,300.0,,=BY6+2,12.0,=CA6+1,14.0,=CC6-10,28.0,=CE6+0.0005,400.0,400.0,,=CI6+1.4,13.0,32.0,16.0,3.0,850.0,=CO6+0.01,400.0,400.0,
,3.0,150.0,3.0,750.0,,9.0,17.0,4.0,150.0,0.095,44.0,=M7+0.0005,375.0,375.0,,16.0,17.0,8.0,35.0,150.0,40.0,11.0,375.0,375.0,,9.0,17.0,4.0,850.0,=AE7-10,40.0,6.0,500.0,500.0,,8.0,23.0,0.35,40.0,150.0,52.0,0.2,500.0,500.0,,16.0,17.0,=AW7+1,250.0,=AY7-10,40.0,2.9,360.0,360.0,,=BE7+0.8,22.0,=BG7+1,23.0,=BI7-10,46.0,=BK7+0.03%,360.0,360.0,,16.0,17.0,45.0,35.0,110.0,44.0,2.6,375.0,375.0,,=BY7+2,19.0,=CA7+1,23.0,=CC7-10,46.0,=CE7+0.0005,500.0,500.0,,=CI7+1.4,21.0,33.0,27.0,4.0,2500.0,=CO7+0.01,500.0,500.0,
,4.0,300.0,4.0,975.0,,14.0,23.0,5.0,400.0,0.11,62.0,=M8+0.0005,475.0,475.0,,20.0,23.0,9.0,70.0,140.0,56.0,10.0,475.0,475.0,,14.0,23.0,5.0,1400.0,=AE8-10,56.0,9.0,610.0,610.0,,9.0,32.0,0.4,60.0,140.0,73.0,0.25,610.0,610.0,,20.0,23.0,=AW8,Max,=AY8-10,56.0,4.7,430.0,430.0,,=BE8+0.8,32.0,=BG8+1,32.0,=BI8-10,64.0,=BK8+0.03%,430.0,430.0,,20.0,23.0,50.0,55.0,105.0,62.0,3.3,475.0,475.0,,=BY8+2,26.0,=CA8+1,32.0,=CC8-10,64.0,=CE8+0.0005,610.0,610.0,,=CI8+1.4,30.0,34.0,38.0,4.0,Max,=CO8+0.01,610.0,610.0,
,5.0,800.0,5.0,1250.0,,22.0,29.0,=I9,Max,0.125,80.0,=M9+0.0005,600.0,600.0,,26.0,29.0,10.0,120.0,130.0,72.0,9.0,600.0,600.0,,22.0,29.0,=AC9,Max,=AE9-10,72.0,13.0,730.0,730.0,,10.0,41.0,0.45,120.0,130.0,94.0,0.3,730.0,730.0,,26.0,29.0,,,=AY9-10,72.0,6.9,510.0,510.0,,=BE9+0.8,43.0,=BG9+1,41.0,=BI9-10,82.0,=BK9+0.03%,510.0,510.0,,26.0,29.0,55.0,100.0,100.0,80.0,4.0,600.0,600.0,,=BY9+2,34.0,=CA9+1,41.0,=CC9-10,82.0,=CE9+0.0005,730.0,730.0,,=CI9+1.4,40.0,35.0,49.0,,,=CO9+0.01,730.0,730.0,
,6.0,1250.0,6.0,1650.0,,32.0,35.0,,,0.14,98.0,=M10+0.0005,725.0,725.0,,34.0,35.0,11.0,180.0,120.0,88.0,8.0,725.0,725.0,,32.0,35.0,,,=AE10-10,88.0,18.0,860.0,860.0,,11.0,50.0,0.5,150.0,120.0,115.0,0.35,860.0,860.0,,34.0,35.0,,,=AY10-10,88.0,9.5,620.0,620.0,,=BE10+0.8,55.0,=BG10+1,50.0,=BI10-10,100.0,=BK10+0.03%,620.0,620.0,,34.0,35.0,60.0,120.0,95.0,98.0,4.7,725.0,725.0,,=BY10+2,43.0,=CA10+1,50.0,=CC10-10,100.0,=CE10+0.0005,860.0,860.0,,=CI10+1.4,52.0,36.0,60.0,,,=CO10+0.01,860.0,860.0,
