duration_s,duration_stones,source_ref
36,263,internalized_source_snapshot
37,285,internalized_source_snapshot
38,308,internalized_source_snapshot
39,332,internalized_source_snapshot
40,356,internalized_source_snapshot
41,380,internalized_source_snapshot
42,404,internalized_source_snapshot
43,428,internalized_source_snapshot
44,452,internalized_source_snapshot
45,476,internalized_source_snapshot
46,530,internalized_source_snapshot
47,614,internalized_source_snapshot
48,728,internalized_source_snapshot
49,872,internalized_source_snapshot
50,1046,internalized_source_snapshot
51,1250,internalized_source_snapshot
52,1484,internalized_source_snapshot
53,1748,internalized_source_snapshot
