provenance,source_page,uw,stat,target_cooldown_seconds,step_cost_stones
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,300,0
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,290,10
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,280,28
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,270,46
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,260,64
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,250,82
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,240,100
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,230,118
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,220,136
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,210,154
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,200,172
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,190,190
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,180,208
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,170,226
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,160,244
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,150,262
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,140,300
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,130,368
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,120,476
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,110,644
wiki_fact,Golden_Tower/Basic_Upgrades,Golden Tower,Cooldown,100,872
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,300,0
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,290,8
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,280,24
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,270,40
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,260,56
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,250,72
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,240,88
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,230,104
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,220,120
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,210,136
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,200,152
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,190,168
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,180,184
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,170,200
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,160,216
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,150,232
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,140,248
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,130,264
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,120,280
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,110,346
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,100,512
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,90,688
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,80,874
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,70,1070
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,60,1276
wiki_fact,Death_Wave/Basic_Upgrades,Death Wave,Cooldown,50,1492
