level,time,cost,value_additive_seconds
1,1d 16h 0m,1000000,1.0
2,2d 0h 21m,1310000,2.0
3,2d 8h 53m,1850000,3.0
4,2d 17h 54m,3550000,4.0
5,3d 3h 49m,8500000,5.0
6,3d 15h 6m,20290000,6.0
7,4d 4h 17m,44330000,7.0
8,4d 19h 58m,88160000,8.0
9,5d 14h 49m,161660000,9.0
10,6d 13h 31m,277370000,10.0
11,7d 16h 49m,450680000,11.0
12,9d 1h 30m,700090000,12.0
13,10d 16h 23m,1050000000,13.0
14,12d 14h 21m,1520000000,14.0
15,14d 20h 18m,2140000000,15.0
16,17d 11h 9m,2950000000,16.0
17,20d 11h 54m,3980000000,17.0
18,23d 23h 32m,5270000000,18.0
19,27d 23h 6m,6880000000,19.0
20,32d 11h 40m,8840000000,20.0
