level,time,cost,value,unit,source_status
1,0d 20h 0m,"250,000",0.8,rotation_speed,live_wiki_row_verified
2,1d 4h 21m,"560,000",1.6,rotation_speed,live_wiki_row_verified
3,1d 12h 53m,"1,100,000",2.4,rotation_speed,live_wiki_row_verified
4,1d 21h 54m,"2,800,000",3.2,rotation_speed,live_wiki_row_verified
5,2d 7h 49m,"7,750,000",4.0,rotation_speed,live_wiki_row_verified
6,2d 19h 6m,"19,540,000",4.8,rotation_speed,live_wiki_row_verified
7,3d 8h 17m,"43,580,000",5.6,rotation_speed,live_wiki_row_verified
8,3d 23h 58m,"87,410,000",6.4,rotation_speed,live_wiki_row_verified
9,4d 18h 49m,"160,910,000",7.2,rotation_speed,live_wiki_row_verified
10,5d 17h 31m,"276,620,000",8.0,rotation_speed,live_wiki_row_verified
11,6d 20h 49m,"449,930,000",8.8,rotation_speed,live_wiki_row_verified
12,8d 5h 30m,"699,340,000",9.6,rotation_speed,live_wiki_row_verified
13,9d 20h 23m,"1,050,000,000",10.4,rotation_speed,live_wiki_row_verified
14,11d 18h 21m,"1,520,000,000",11.2,rotation_speed,live_wiki_row_verified
15,14d 0h 18m,"2,140,000,000",12.0,rotation_speed,live_wiki_row_verified
16,16d 15h 9m,"2,950,000,000",12.8,rotation_speed,live_wiki_row_verified
17,19d 15h 54m,"3,980,000,000",13.6,rotation_speed,live_wiki_row_verified
18,23d 3h 32m,"5,270,000,000",14.4,rotation_speed,live_wiki_row_verified
19,27d 3h 6m,"6,880,000,000",15.2,rotation_speed,live_wiki_row_verified
20,31d 15h 40m,"8,840,000,000",16.0,rotation_speed,live_wiki_row_verified
