level,unlock_cost_stones,value,ability,description,source_status
1,300,13,Smart Missiles - Cover Fire,Launch an additional Smart Missile every x seconds.,live_wiki_row_verified_v70
2,375,12,Smart Missiles - Cover Fire,Launch an additional Smart Missile every x seconds.,live_wiki_row_verified_v70
3,475,11,Smart Missiles - Cover Fire,Launch an additional Smart Missile every x seconds.,live_wiki_row_verified_v70
4,600,10,Smart Missiles - Cover Fire,Launch an additional Smart Missile every x seconds.,live_wiki_row_verified_v70
5,725,9,Smart Missiles - Cover Fire,Launch an additional Smart Missile every x seconds.,live_wiki_row_verified_v70
6,925,8,Smart Missiles - Cover Fire,Launch an additional Smart Missile every x seconds.,live_wiki_row_verified_v70
7,1150,7,Smart Missiles - Cover Fire,Launch an additional Smart Missile every x seconds.,live_wiki_row_verified_v70
8,1450,6,Smart Missiles - Cover Fire,Launch an additional Smart Missile every x seconds.,live_wiki_row_verified_v70
9,1800,5,Smart Missiles - Cover Fire,Launch an additional Smart Missile every x seconds.,live_wiki_row_verified_v70
10,2200,4,Smart Missiles - Cover Fire,Launch an additional Smart Missile every x seconds.,live_wiki_row_verified_v70
11,2650,3,Smart Missiles - Cover Fire,Launch an additional Smart Missile every x seconds.,live_wiki_row_verified_v70
12,3150,2,Smart Missiles - Cover Fire,Launch an additional Smart Missile every x seconds.,live_wiki_row_verified_v70
