level,value,unit
1,1.0,raw_number
2,2.0,raw_number
3,3.0,raw_number
4,4.0,raw_number
5,5.0,raw_number
6,6.0,raw_number
7,7.0,raw_number
8,8.0,raw_number
9,9.0,raw_number
10,10.0,raw_number
11,11.0,raw_number
12,12.0,raw_number
13,13.0,raw_number
14,14.0,raw_number
15,15.0,raw_number
16,16.0,raw_number
17,17.0,raw_number
18,18.0,raw_number
19,19.0,raw_number
20,20.0,raw_number
21,21.0,raw_number
22,22.0,raw_number
23,23.0,raw_number
24,24.0,raw_number
25,25.0,raw_number
26,26.0,raw_number
27,27.0,raw_number
28,28.0,raw_number
29,29.0,raw_number
30,30.0,raw_number
