level,value,unit
1,0.2,percent_points
2,0.4,percent_points
3,0.6,percent_points
4,0.8,percent_points
5,1.0,percent_points
6,1.2,percent_points
7,1.4,percent_points
8,1.6,percent_points
9,1.8,percent_points
10,2.0,percent_points
11,2.2,percent_points
12,2.4,percent_points
13,2.6,percent_points
14,2.8,percent_points
15,3.0,percent_points
16,3.2,percent_points
17,3.4,percent_points
18,3.6,percent_points
19,3.8,percent_points
20,4.0,percent_points
21,4.2,percent_points
22,4.4,percent_points
23,4.6,percent_points
24,4.8,percent_points
25,5.0,percent_points
26,5.2,percent_points
27,5.4,percent_points
28,5.6,percent_points
29,5.8,percent_points
30,6.0,percent_points
31,6.2,percent_points
32,6.4,percent_points
33,6.6,percent_points
34,6.8,percent_points
35,7.0,percent_points
36,7.2,percent_points
37,7.4,percent_points
38,7.6,percent_points
39,7.8,percent_points
40,8.0,percent_points
41,8.2,percent_points
42,8.4,percent_points
43,8.6,percent_points
44,8.8,percent_points
45,9.0,percent_points
46,9.2,percent_points
47,9.4,percent_points
48,9.6,percent_points
49,9.8,percent_points
50,10.0,percent_points
