level,value,unit
1,1.03,raw_number
2,1.06,raw_number
3,1.09,raw_number
4,1.12,raw_number
5,1.15,raw_number
6,1.18,raw_number
7,1.21,raw_number
8,1.24,raw_number
9,1.27,raw_number
10,1.3,raw_number
11,1.33,raw_number
12,1.36,raw_number
13,1.39,raw_number
14,1.42,raw_number
15,1.45,raw_number
16,1.48,raw_number
17,1.51,raw_number
18,1.54,raw_number
19,1.57,raw_number
20,1.6,raw_number
21,1.63,raw_number
22,1.66,raw_number
23,1.69,raw_number
24,1.72,raw_number
25,1.75,raw_number
26,1.78,raw_number
27,1.81,raw_number
28,1.84,raw_number
29,1.87,raw_number
30,1.9,raw_number
31,1.93,raw_number
32,1.96,raw_number
33,1.99,raw_number
34,2.02,raw_number
35,2.05,raw_number
36,2.08,raw_number
37,2.11,raw_number
38,2.14,raw_number
39,2.17,raw_number
40,2.2,raw_number
41,2.23,raw_number
42,2.26,raw_number
43,2.29,raw_number
44,2.32,raw_number
45,2.35,raw_number
46,2.38,raw_number
47,2.41,raw_number
48,2.44,raw_number
49,2.47,raw_number
50,2.5,raw_number
51,2.53,raw_number
52,2.56,raw_number
53,2.59,raw_number
54,2.62,raw_number
55,2.65,raw_number
56,2.68,raw_number
57,2.71,raw_number
58,2.74,raw_number
59,2.77,raw_number
60,2.8,raw_number
61,2.83,raw_number
62,2.86,raw_number
63,2.89,raw_number
64,2.92,raw_number
65,2.95,raw_number
66,2.98,raw_number
67,3.01,raw_number
68,3.04,raw_number
69,3.07,raw_number
70,3.1,raw_number
71,3.13,raw_number
72,3.16,raw_number
73,3.19,raw_number
74,3.22,raw_number
75,3.25,raw_number
76,3.28,raw_number
77,3.31,raw_number
78,3.34,raw_number
79,3.37,raw_number
80,3.4,raw_number
81,3.43,raw_number
82,3.46,raw_number
83,3.49,raw_number
84,3.52,raw_number
85,3.55,raw_number
86,3.58,raw_number
87,3.61,raw_number
88,3.64,raw_number
89,3.67,raw_number
90,3.7,raw_number
91,3.73,raw_number
92,3.76,raw_number
93,3.79,raw_number
94,3.82,raw_number
95,3.85,raw_number
96,3.88,raw_number
97,3.91,raw_number
98,3.94,raw_number
99,3.97,raw_number
100,4.0,raw_number
