level,value,unit
1,2.0,percent
2,4.0,percent
3,6.0,percent
4,8.0,percent
5,10.0,percent
6,12.0,percent
7,14.0,percent
8,16.0,percent
9,18.0,percent
10,20.0,percent
11,22.0,percent
12,24.0,percent
13,26.0,percent
14,28.0,percent
15,30.0,percent
16,32.0,percent
17,34.0,percent
18,36.0,percent
19,38.0,percent
20,40.0,percent
21,42.0,percent
22,44.0,percent
23,46.0,percent
24,48.0,percent
25,50.0,percent
26,52.0,percent
27,54.0,percent
28,56.0,percent
29,58.0,percent
30,60.0,percent
31,62.0,percent
32,64.0,percent
33,66.0,percent
34,68.0,percent
35,70.0,percent
36,72.0,percent
37,74.0,percent
38,76.0,percent
39,78.0,percent
40,80.0,percent
41,82.0,percent
42,84.0,percent
43,86.0,percent
44,88.0,percent
45,90.0,percent
46,92.0,percent
47,94.0,percent
48,96.0,percent
49,98.0,percent
50,100.0,percent
