raw_lab_name,category_wiki,category_ui,category_detail,source_basis,mapping_confidence,notes
Game Speed,main_research,main,main,ids_exact_name + wiki_category_model,high,
Starting Cash,main_research,main,main,ids_exact_name + wiki_category_model,high,
Workshop Attack Discount,main_research,main,main,ids_exact_name + wiki_category_model,high,
Workshop Defense Discount,main_research,main,main,ids_exact_name + wiki_category_model,high,
Workshop Utility Discount,main_research,main,main,ids_exact_name + wiki_category_model,high,
Labs Coin Discount,main_research,main,main,ids_exact_name + wiki_category_model,high,
Labs Speed,main_research,main,main,ids_exact_name + wiki_category_model,high,
Buy Multiplier,main_research,main,main,ids_exact_name + wiki_category_model,high,
More Round Stats,main_research,main,main,ids_exact_name + wiki_category_model,high,
Target Priority,main_research,main,main,ids_exact_name + wiki_category_model,high,
Card Presets,main_research,main,main,ids_exact_name + wiki_category_model,high,
Workshop Respec,main_research,main,main,ids_exact_name + wiki_category_model,high,
Reroll Daily Mission,main_research,main,main,ids_exact_name + wiki_category_model,high,
Workshop Enhancements,main_research,main,main,ids_exact_name + wiki_category_model,high,
Enhancement Attack - Coin Discount,main_research,main,main,ids_exact_name + wiki_category_model,high,
Enhancement Defense - Coin Discount,main_research,main,main,ids_exact_name + wiki_category_model,high,
Enhancement Utility - Coin Discount,main_research,main,main,ids_exact_name + wiki_category_model,high,
Dissonant Echo - Attack,attack_research,attack,dissonant_echo,ids_exact_name + v28_echo_lab_source,high,Targets Attack Dissonance echo boost.
Dissonant Echo - Defense,defense_research,defense,dissonant_echo,ids_exact_name + v28_echo_lab_source,high,Targets Defense Dissonance echo boost.
Dissonant Echo - Utility,utility_research,utility,dissonant_echo,ids_exact_name + v28_echo_lab_source,high,Targets Utility Dissonance echo boost.
Dissonant Echo - Ultimate Weapons,ultimate_weapon_research,ultimate_weapons,dissonant_echo,ids_exact_name + v28_echo_lab_source,high,Targets Ultimate Weapon Dissonance echo boost.
Damage,attack_research,attack,attack,ids_exact_name + wiki_category_model,high,
Attack Speed,attack_research,attack,attack,ids_exact_name + wiki_category_model,high,
Critical Factor,attack_research,attack,attack,ids_exact_name + wiki_category_model,high,
Range,attack_research,attack,attack,ids_exact_name + wiki_category_model,high,
Damage / Meter,attack_research,attack,attack,ids_exact_name + wiki_category_model,high,
Super Crit Chance,attack_research,attack,attack,ids_exact_name + wiki_category_model,high,
Super Crit Multi,attack_research,attack,attack,ids_exact_name + wiki_category_model,high,
Max Rend Armor Multiplier,attack_research,attack,attack,ids_exact_name + wiki_category_model,high,
Light Speed Shots,attack_research,attack,attack,ids_exact_name + wiki_category_model,high,
Health,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Health Regen,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Defense Absolute,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Defense %,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Orbs Speed,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Land Mine Damage,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Land Mine Decay,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Shockwave Size,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Orb Boss Hit,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Wall Health,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Wall Rebuild,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Wall Regen,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Wall Thorns,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Wall Invincibility,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Wall Fortification,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Garlic Thorns,defense_research,defense,defense,ids_exact_name + wiki_category_model,high,
Cash Bonus,utility_research,utility,utility,ids_exact_name + wiki_category_model,high,
Cash / Wave,utility_research,utility,utility,ids_exact_name + wiki_category_model,high,
Coins / Kill Bonus,utility_research,utility,utility,ids_exact_name + wiki_category_model,high,
Coins / Wave,utility_research,utility,utility,ids_exact_name + wiki_category_model,high,
Interest,utility_research,utility,utility,ids_exact_name + wiki_category_model,high,
Max Interest,utility_research,utility,utility,ids_exact_name + wiki_category_model,high,
Package After Boss,utility_research,utility,utility,ids_exact_name + wiki_category_model,high,
Recovery Package Amount,utility_research,utility,utility,ids_exact_name + wiki_category_model,high,
Recovery Package Max,utility_research,utility,utility,ids_exact_name + wiki_category_model,high,
Recovery Package Chance,utility_research,utility,utility,ids_exact_name + wiki_category_model,high,
Enemy Attack Level Skip,utility_research,utility,utility,ids_exact_name + wiki_category_model,high,
Enemy Health Level Skip,utility_research,utility,utility,ids_exact_name + wiki_category_model,high,
Missile Despawn Time,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Missiles Explosion,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Missile Radius,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Chrono Field Duration,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Chrono Field Damage Reduction,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Chrono Field Reduction %,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Swamp Radius,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Swamp Stun,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Swamp Stun Chance,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Swamp Stun Time,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
