lab_canonical_id,lab_primary_name,raw_source_path,active_surface,source_kind,source_status,note
LAB_ATTACK_SPEED,Attack Speed,kb/labs/sources/raw/repo-cache/wiki/lab-attack-speed.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_CASH_BONUS,Cash Bonus,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-cash-bonus.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification.
LAB_CHRONO_FIELD_DURATION,Chrono Field Duration,kb/labs/sources/raw/repo-cache/wiki/lab-chrono-field-duration.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_COINS_PER_WAVE,Coins/Wave,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-coins-wave.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification.
LAB_DAMAGE,Damage,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-damage.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification.
LAB_DEFENSE_PERCENT,Defense %,kb/labs/sources/raw/repo-cache/wiki/lab-defense.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_ENEMY_ATTACK_LEVEL_SKIP,Enemy Attack Level Skip,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-enemy-attack-level-skip.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification in the verification sweep.
LAB_ENEMY_HEALTH_LEVEL_SKIP,Enemy Health Level Skip,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-enemy-health-level-skip.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification in the verification sweep.
LAB_ENERGY_SHIELD_EXTRA_HIT,Energy Shield Extra Hit,https://the-tower-idle-tower-defense.game-vault.net/wiki/Lab/Energy_Shield_Extra_Hit,kb/labs/tables/lab-values.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-04-05,Materialized from externally verified live wiki page table on 2026-04-05.
LAB_FLAME_BOT_BURN_STACK,Flame Bot - Burn Stack,kb/ledgers/tables/towersim-static-ledger.csv#Flame_Bot_Burn_Stack,kb/labs/tables/lab-track-summary.csv,bundled_static_ledger_formula_summary,bundled_static_ledger_verified,"Materialized from the sanctioned static ledger row stating 5 levels adding 1 stack each level with a 10-stack cap; current QE resolution only requires the linear stack-bonus formula."
LAB_ENHANCEMENT_ATTACK_COIN_DISCOUNT,Enhancement Attack - Coin Discount,kb/ledgers/tables/towersim-static-ledger.csv#Enhancement_Coin_Discount,kb/labs/tables/lab-track-summary.csv,bundled_static_ledger_formula_summary,bundled_static_ledger_verified_shared_formula_max_unconfirmed,"Branch-specific lab summary materialized from the shared sanctioned Enhancement Coin Discount mechanic; 0.30 percent per level is source-backed, max ladder remains unconfirmed but is not required for current QE formula resolution."
LAB_ENHANCEMENT_DEFENSE_COIN_DISCOUNT,Enhancement Defense - Coin Discount,kb/ledgers/tables/towersim-static-ledger.csv#Enhancement_Coin_Discount,kb/labs/tables/lab-track-summary.csv,bundled_static_ledger_formula_summary,bundled_static_ledger_verified_shared_formula_max_unconfirmed,"Branch-specific lab summary materialized from the shared sanctioned Enhancement Coin Discount mechanic; 0.30 percent per level is source-backed, max ladder remains unconfirmed but is not required for current QE formula resolution."
LAB_ENHANCEMENT_UTILITY_COIN_DISCOUNT,Enhancement Utility - Coin Discount,kb/ledgers/tables/towersim-static-ledger.csv#Enhancement_Coin_Discount,kb/labs/tables/lab-track-summary.csv,bundled_static_ledger_formula_summary,bundled_static_ledger_verified_shared_formula_max_unconfirmed,"Branch-specific lab summary materialized from the shared sanctioned Enhancement Coin Discount mechanic; 0.30 percent per level is source-backed, max ladder remains unconfirmed but is not required for current QE formula resolution."
LAB_GAME_SPEED,Game Speed,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Game_Speed,kb/labs/tables/wiki-game-speed-lab.csv,live_wiki,externally_verified_live_wiki_2026-03-14,Live wiki page externally verified in the verification sweep; a previous note-derived table was incorrect and was removed.
LAB_HEALTH,Health,kb/labs/sources/raw/repo-cache/wiki/lab-health.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_HEALTH_REGEN,Health Regen,kb/labs/sources/raw/repo-cache/wiki/lab-health-regen.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_INNER_LAND_MINE_CHRONO_JUMP,Inner Land Mine - Chrono Jump,kb/ultimate-weapons/tables/wiki-verified-inner-land-mine-chrono-jump.csv,kb/ultimate-weapons/tables/wiki-verified-inner-land-mine-chrono-jump.csv,bundled_row_table_verified,generated_r47_patch1_from_verified_table,Patched into active lab registries from bundled wiki-verified UW table.
LAB_INNER_MINE_BLAST_RADIUS,Inner Mine Blast Radius,kb/ultimate-weapons/tables/wiki-verified-inner-mine-blast-radius.csv,kb/ultimate-weapons/tables/wiki-verified-inner-mine-blast-radius.csv,bundled_row_table_verified,generated_r47_patch1_from_verified_table,Patched into active lab registries from bundled wiki-verified UW table.
LAB_INNER_MINE_ROTATION_SPEED,Inner Mine Rotation Speed,kb/ultimate-weapons/tables/wiki-verified-inner-mine-rotation-speed.csv,kb/ultimate-weapons/tables/wiki-verified-inner-mine-rotation-speed.csv,bundled_row_table_verified,generated_r47_patch1_from_verified_table,Patched into active lab registries from bundled wiki-verified UW table.
LAB_LABS_COIN_DISCOUNT,Labs Coin Discount,https://the-tower-idle-tower-defense.game-vault.net/wiki/Lab/Labs_Coin_Discount,kb/labs/tables/lab-values.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-04-05,Materialized from externally verified live wiki page table on 2026-04-05.
LAB_LAB_SPEED,Labs Speed,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-labs-speed.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification.
LAB_LAND_MINE_DECAY,Land Mine Decay,https://the-tower-idle-tower-defense.game-vault.net/wiki/Lab/Land_Mine_Decay,kb/labs/tables/lab-values.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-04-05,Materialized from externally verified live wiki page table on 2026-04-05.
LAB_MISSILE_BARRAGE_QUANTITY,Missile Barrage Quantity,kb/ultimate-weapons/tables/wiki-verified-missile-barrage-quantity.csv,kb/ultimate-weapons/tables/wiki-verified-missile-barrage-quantity.csv,bundled_row_table_verified,generated_r47_patch1_from_verified_table,Patched into active lab registries from bundled wiki-verified UW table.
LAB_MISSILE_RADIUS,Missile Radius,kb/ultimate-weapons/tables/wiki-verified-missiles-radius.csv,kb/ultimate-weapons/tables/wiki-verified-missiles-radius.csv,bundled_row_table_verified,generated_r47_patch1_from_verified_table,Patched into active lab registries from bundled wiki-verified UW table.
LAB_ORB_BOSS_HIT,Orb Boss Hit,kb/global-rules/tables/note-derived-orb-boss-hit-levels-1-10.csv,kb/labs/tables/lab-values.csv,bundled_row_table_verified,generated_from_sanctioned_kb_table_2026-04-05,Materialized from the sanctioned orb-boss-hit KB row table into the active lab value registry.
LAB_ORB_SPEED,Orbs Speed,https://the-tower-idle-tower-defense.game-vault.net/wiki/Lab/Orb_Speed,kb/labs/tables/lab-values.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-04-05,Materialized from externally verified live wiki page table on 2026-04-05.
LAB_RANGE,Range,live wiki page table (externally verified 2026-03-14),kb/labs/tables/wiki-lab-range.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-03-14,Generated from live wiki level/value table after external verification.
LAB_RECHARGE_DEMON_MODE,Recharge Demon Mode,https://the-tower-idle-tower-defense.game-vault.net/wiki/Lab/Recharge_Demon_Mode,kb/labs/tables/lab-values.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-04-05,Materialized from externally verified live wiki page table on 2026-04-05.
LAB_RECHARGE_MISSILE_BARRAGE,Recharge Missile Barrage,kb/ultimate-weapons/tables/wiki-verified-recharge-missile-barrage.csv,kb/ultimate-weapons/tables/wiki-verified-recharge-missile-barrage.csv,bundled_row_table_verified,generated_r47_patch1_from_verified_table,Patched into active lab registries from bundled wiki-verified UW table.
LAB_RECHARGE_NUKE,Recharge Nuke,https://the-tower-idle-tower-defense.game-vault.net/wiki/Lab/Recharge_Nuke,kb/labs/tables/lab-values.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-04-05,Materialized from externally verified live wiki page table on 2026-04-05.
LAB_RECHARGE_SECOND_WIND,Recharge Second Wind,https://the-tower-idle-tower-defense.game-vault.net/wiki/Lab/Recharge_Second_Wind,kb/labs/tables/lab-values.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-04-05,Materialized from externally verified live wiki page table on 2026-04-05.
LAB_RECOVERY_PACKAGE_CHANCE,Recovery Package Chance,kb/labs/sources/raw/repo-cache/wiki/lab-recovery-package-chance.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_SECOND_WIND_BLAST,Second Wind Blast,https://the-tower-idle-tower-defense.game-vault.net/wiki/Lab/Second_Wind_Blast,kb/labs/tables/lab-values.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-04-05,Materialized from externally verified live wiki page table on 2026-04-05.
LAB_SHOCKWAVE_SIZE,Shockwave Size,https://the-tower-idle-tower-defense.game-vault.net/wiki/Lab/Shockwave_Size,kb/labs/tables/lab-values.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-04-05,Materialized from externally verified live wiki page table on 2026-04-05.
LAB_SWAMP_RADIUS,Swamp Radius,kb/ultimate-weapons/tables/wiki-verified-swamp-radius.csv,kb/ultimate-weapons/tables/wiki-verified-swamp-radius.csv,bundled_row_table_verified,generated_r47_patch1_from_verified_table,Patched into active lab registries from bundled wiki-verified UW table.
LAB_SWAMP_REND_ADDITIONAL_ENEMIES,Swamp Rend - Additional Enemies,kb/ultimate-weapons/tables/wiki-verified-swamp-rend-additional-enemies.csv,kb/ultimate-weapons/tables/wiki-verified-swamp-rend-additional-enemies.csv,bundled_row_table_verified,generated_r47_patch1_from_verified_table,Patched into active lab registries from bundled wiki-verified UW table.
LAB_SWAMP_STUN_CHANCE,Swamp Stun Chance,kb/ultimate-weapons/tables/wiki-verified-swamp-stun-chance.csv,kb/ultimate-weapons/tables/wiki-verified-swamp-stun-chance.csv,bundled_row_table_verified,generated_r47_patch1_from_verified_table,Patched into active lab registries from bundled wiki-verified UW table.
LAB_SWAMP_STUN_TIME,Swamp Stun Time,kb/ultimate-weapons/tables/wiki-verified-swamp-stun-time.csv,kb/ultimate-weapons/tables/wiki-verified-swamp-stun-time.csv,bundled_row_table_verified,generated_r47_patch1_from_verified_table,Patched into active lab registries from bundled wiki-verified UW table.
LAB_WALL_FORTIFICATION,Wall Fortification,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Fortification ; https://the-tower-idle-tower-defense.fandom.com/wiki/Milestones,kb/labs/tables/wall-lab-wall-fortification.csv,live_wiki_conflict,verified_active_source_with_unlock_conflict,"Dedicated Wall Fortification page gives unlock Tier 14 Wave 60; Milestones page shows Wall Fortification at Tier 14 Wave 40. Ladder values are externally verified, unlock milestone remains source-conflicted."
LAB_WALL_HEALTH,Wall Health,kb/labs/sources/raw/repo-cache/wiki/wall-lab-wall-health.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_WALL_REGEN,Wall Regen,kb/labs/sources/raw/repo-cache/wiki/wall-lab-wall-regen.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_WAVES_REQUIRED,Waves Required,kb/labs/sources/raw/repo-cache/wiki/lab-waves-required.csv,kb/labs/tables/lab-values.csv,bundled_wiki_cache,externally_verified_live_wiki_2026-03-14,Bundled rowset matched live wiki table in the verification sweep.
LAB_WORKSHOP_ATTACK_DISCOUNT,Workshop Attack Discount,https://the-tower-idle-tower-defense.game-vault.net/wiki/Lab/Workshop_Attack_Discount,kb/labs/tables/lab-values.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-04-05,Materialized from externally verified live wiki page table on 2026-04-05.
LAB_WORKSHOP_DEFENSE_DISCOUNT,Workshop Defense Discount,https://the-tower-idle-tower-defense.game-vault.net/wiki/Lab/Workshop_Defense_Discount,kb/labs/tables/lab-values.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-04-05,Materialized from externally verified live wiki page table on 2026-04-05.
LAB_WORKSHOP_UTILITY_DISCOUNT,Workshop Utility Discount,https://the-tower-idle-tower-defense.game-vault.net/wiki/Lab/Workshop_Utility_Discount,kb/labs/tables/lab-values.csv,live_wiki_generated_table,externally_verified_live_wiki_2026-04-05,Materialized from externally verified live wiki page table on 2026-04-05.
