lab_canonical_id,lab_primary_name,level_min,level_max,value_min,value_max,unit,formula_family,linear_step,active_source_surface,verification_status
LAB_ATTACK_SPEED,Attack Speed,1,99,1.02,2.98,raw_number,linear,0.02,tables/cache/wiki/lab_attack_speed.csv,externally_verified_live_wiki_2026-03-14
LAB_BATTLE_CONDITION_REDUCTION,Battle Condition Reduction,1,10,2,20,percent,linear,2,kb/tournaments/tables/battle-condition-reduction-lab.csv,bundled_row_table_verified
LAB_BLACK_HOLE_DAMAGE,Black Hole Damage,1,10,0.2,2.0,percent,linear,0.2,kb/ultimate-weapons/tables/wiki-verified-black-hole-damage.csv,bundled_row_table_verified
LAB_BLACK_HOLE_DISABLE_RANGED_ENEMIES,Black Hole Disable Ranged Enemies,1,1,1,1,bool,constant,0,kb/ledgers/tables/towersim-static-ledger.csv#Black_Hole_Disable_Ranged_Enemies,bundled_static_ledger_verified
LAB_CASH_PER_WAVE,Cash / Wave,1,99,1.02,2.98,raw_number,linear,0.02,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Cash_Per_Wave,externally_verified_live_wiki_2026-03-18
LAB_CASH_BONUS,Cash Bonus,1,99,1.02,2.98,raw_number,linear,0.02,kb/labs/tables/wiki-lab-cash-bonus.csv,externally_verified_live_wiki_2026-03-14
LAB_CHAIN_LIGHTNING_SHOCK,Chain Lightning Shock,1,1,1,1,bool,constant,0,kb/ledgers/tables/towersim-static-ledger.csv#Chain_Lightning_Shock,bundled_static_ledger_verified
LAB_CHAIN_THUNDER,Chain Thunder,1,30,3.0,90.0,percent,linear,3.0,kb/ultimate-weapons/tables/wiki-verified-chain-thunder.csv,bundled_row_table_verified
LAB_CHRONO_FIELD_DAMAGE_REDUCTION,Chrono Field Damage Reduction,1,1,10.0,10.0,percent,linear,0.0,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_chrono_field_damage_reduction_unlock,bundled_formula_verified
LAB_CHRONO_FIELD_DURATION,Chrono Field Duration,1,30,1.0,30.0,raw_number,linear,1.0,tables/cache/wiki/lab_chrono_field_duration.csv,externally_verified_live_wiki_2026-03-14
LAB_CHRONO_FIELD_RANGE,Chrono Field Range,1,20,3.0,60.0,range_m,linear,3.0,kb/ultimate-weapons/tables/wiki-verified-chrono-field-range.csv,bundled_row_table_verified
LAB_CHRONO_FIELD_REDUCTION_PCT,Chrono Field Reduction %,1,30,0.5,15.0,percent,linear,0.5,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_chrono_field_reduction_pct_lab,bundled_formula_verified
LAB_COINS_PER_WAVE,Coins/Wave,1,99,1.02,2.98,raw_number,linear,0.02,kb/labs/tables/wiki-lab-coins-wave.csv,externally_verified_live_wiki_2026-03-14
LAB_DAMAGE,Damage,1,100,1.02,3.0,raw_number,linear,0.02,kb/labs/tables/wiki-lab-damage.csv,externally_verified_live_wiki_2026-03-14
LAB_DEATH_WAVE_ARMOR_STRIPPING,Death Wave Armor Stripping,1,10,1.0,10.0,count,linear,1.0,kb/ultimate-weapons/tables/wiki-verified-death-wave-armor-stripping.csv,bundled_row_table_verified
LAB_DEATH_WAVE_CELLS_BONUS,Death Wave Cells Bonus,1,20,1.1,3.0,multiplier,linear,0.1,kb/formulas/tables/canonical-formula-registry.csv#wiki_death_wave_cell_bonus_levels_full_value_multiplier,bundled_formula_verified
LAB_DEATH_WAVE_DAMAGE_AMPLIFIER,Death Wave Damage Amplifier,1,30,6.5,50.0,multiplier,linear,1.5,kb/ultimate-weapons/tables/wiki-verified-death-wave-damage-amplifier.csv,bundled_row_table_verified
LAB_DEFENSE_PERCENT,Defense %,1,50,0.2,10.0,percent_points,linear,0.2,tables/cache/wiki/lab_defense.csv,externally_verified_live_wiki_2026-03-14
LAB_ENEMY_ATTACK_LEVEL_SKIP,Enemy Attack Level Skip,1,20,0.1,2.0,percent_points,linear,0.1,kb/labs/tables/wiki-lab-enemy-attack-level-skip.csv,externally_verified_live_wiki_2026-03-14
LAB_ENEMY_HEALTH_LEVEL_SKIP,Enemy Health Level Skip,1,20,0.1,2.0,percent_points,linear,0.1,kb/labs/tables/wiki-lab-enemy-health-level-skip.csv,externally_verified_live_wiki_2026-03-14
LAB_ENHANCEMENT_ATTACK_COIN_DISCOUNT,Enhancement Attack - Coin Discount,1,,0.3,,percent,linear,0.3,kb/ledgers/tables/towersim-static-ledger.csv#Enhancement_Coin_Discount,bundled_static_ledger_verified_shared_formula_max_unconfirmed
