path,canonical_id,domain,surface_type,canonicality
kb/advisory/prompts/diagnosis-subprompt.txt,advisory.prompts.diagnosis_subprompt,advisory,prompts,advisory_noncanonical
kb/advisory/prompts/optimization-subprompt.txt,advisory.prompts.optimization_subprompt,advisory,prompts,advisory_noncanonical
kb/advisory/prompts/retrieval-map.yaml,advisory.prompts.retrieval_map,advisory,prompts,advisory_noncanonical
kb/advisory/prompts/system-prompt.txt,advisory.prompts.system_prompt,advisory,prompts,advisory_noncanonical
kb/advisory/reasoning/build-optimisation-playbook.md,advisory.reasoning.build_optimisation_playbook,advisory,reasoning,advisory_noncanonical
kb/advisory/reasoning/farming-efficiency-framework.md,advisory.reasoning.farming_efficiency_framework,advisory,reasoning,advisory_noncanonical
kb/advisory/reasoning/query-playbook.md,advisory.reasoning.query_playbook,advisory,reasoning,advisory_noncanonical
kb/advisory/reasoning/reasoning-index.md,advisory.reasoning.reasoning_index,advisory,reasoning,advisory_noncanonical
kb/advisory/reasoning/stone-allocation-framework.md,advisory.reasoning.stone_allocation_framework,advisory,reasoning,advisory_noncanonical
kb/advisory/reasoning/survivability-and-wave-death-model.md,advisory.reasoning.survivability_and_wave_death_model,advisory,reasoning,advisory_noncanonical
kb/advisory/reasoning/tournament-strategy-framework.md,advisory.reasoning.tournament_strategy_framework,advisory,reasoning,advisory_noncanonical
kb/advisory/strategy/account-current-logic.md,advisory.strategy.account_current_logic,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/battle-condition-strategy-notes.md,advisory.strategy.battle_condition_strategy_notes,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/build-survivability-models.md,advisory.strategy.build_survivability_models,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/difficulty-transition-models.md,advisory.strategy.difficulty_transition_models,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/guardian-progression-notes.md,advisory.strategy.guardian_progression_notes,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/optimisation-method.md,advisory.strategy.optimisation_method,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/optimisation-objectives.md,advisory.strategy.optimisation_objectives,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/stone-allocation-evaluation-template.md,advisory.strategy.stone_allocation_evaluation_template,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/strategy-index.md,advisory.strategy.strategy_index,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/system-progression-models.md,advisory.strategy.system_progression_models,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/testing-protocol.md,advisory.strategy.testing_protocol,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/tournament-meta-models.md,advisory.strategy.tournament_meta_models,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/tower-bot-medal-optimization-sheet.md,advisory.strategy.tower_bot_medal_optimization_sheet,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/tower-econ-break-even-analysis.md,advisory.strategy.tower_econ_break_even_analysis,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/tower-econ-mechanics-reference.md,advisory.strategy.tower_econ_mechanics_reference_v3,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/ultimate-weapon-economy-strategy-notes.md,advisory.strategy.uw_economy_strategy_notes,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/wiki-strategy-addendum.md,advisory.strategy.wiki_strategy_addendum_v1,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/wiki-strategy-addendum.md,advisory.strategy.wiki_strategy_addendum_v2,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/wiki-strategy-addendum.md,advisory.strategy.wiki_strategy_addendum_v3,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/wiki-strategy-addendum.md,advisory.strategy.wiki_strategy_addendum_v4,advisory,strategy,advisory_noncanonical
kb/advisory/strategy/wiki-strategy-baselines.md,advisory.strategy.wiki_strategy_baselines,advisory,strategy,advisory_noncanonical
kb/bots/contracts/bot-runtime-contract.md,bots.contract.runtime,bots,contract,canonical
kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-formulas.csv,bots.source.all_bots_formulas,bots,source,raw_source_artifact
kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,bots.source.all_bots_values,bots,source,raw_source_artifact
kb/bots/sources/raw/effective-paths/sheet-exports/dvt-bot-formulas.csv,bots.source.dvt_bot_formulas,bots,source,raw_source_artifact
kb/bots/sources/raw/effective-paths/sheet-exports/dvt-bot-values.csv,bots.source.dvt_bot_values,bots,source,raw_source_artifact
kb/bots/tables/bot-labs-summary.yaml,bots.table.bot_labs_summary_v2,bots,table,canonical_or_package_table
kb/bots/tables/flame-bot-tracks-and-costs.csv,bots.table.fb_tracks_and_costs_v2,bots,table,canonical_or_package_table
kb/bots/tables/golden-bot-tracks.yaml,bots.table.gb_tracks_v2,bots,table,canonical_or_package_table
kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,cards.source.cards_common,cards,source,raw_source_artifact
kb/cards/sources/raw/repo-cache/wiki/cards-epic.csv,cards.source.cards_epic,cards,source,raw_source_artifact
kb/cards/sources/raw/repo-cache/wiki/cards-rare.csv,cards.source.cards_rare,cards,source,raw_source_artifact
kb/cards/sources/raw/repo-inputs/cards/card-masteries.csv,cards.source.card_masteries_v1,cards,source,raw_source_artifact
kb/cards/sources/wiki-cards-and-card-masteries.md,cards.source.wiki_cards_and_card_masteries,cards,source,supporting_reference
kb/cards/tables/card-masteries.csv,cards.table.card_masteries,cards,table,canonical_or_package_table
kb/cards/tables/wiki-card-mastery-lab-costs.csv,cards.table.wiki_card_mastery_lab_costs,cards,table,canonical_or_package_table
kb/cards/tables/wiki-card-slots-and-costs.csv,cards.table.wiki_card_slots_and_costs,cards,table,canonical_or_package_table
kb/cards/tables/card-base-ladders.csv,cards.table.card_values_common_and_rare,cards,table,canonical_or_package_table
kb/combat/contracts/enemy-class-interaction-matrix.csv,combat.contract.enemy_class_interaction_matrix,combat,contract,canonical_runtime_doc
kb/combat/contracts/runtime-damage-pipeline.csv,combat.contract.runtime_damage_pipeline,combat,contract,canonical_runtime_doc
kb/combat/contracts/runtime-effect-catalog.csv,combat.contract.runtime_effect_catalog,combat,contract,canonical_runtime_doc
kb/combat/contracts/runtime-exception-matrix.csv,combat.contract.runtime_exception_matrix,combat,contract,canonical_runtime_doc
kb/combat/contracts/towersim-mechanics-runtime-corrected.md,combat.contract.towersim_mechanics_runtime_corrected,combat,contract,canonical_runtime_doc
kb/combat/notes/core-system-interactions.md,combat.note.core_system_interactions,combat,note,canonical_note
kb/combat/tables/combat-global-assumptions.csv,combat.table.global-assumptions,combat,table,canonical
kb/economy/contracts/economy-currency-contract.md,economy.contract.currency,economy,contract,canonical
kb/economy/sources/raw/repo-inputs/economy/labs-values.csv,economy.source.labs_values_v1,economy,source,raw_source_artifact
kb/economy/sources/raw/repo-inputs/economy/vault-stats.csv,economy.source.vault_stats_v1,economy,source,raw_source_artifact
kb/economy/sources/raw/repo-inputs/economy/wse-presets.csv,economy.source.wse_presets_v1,economy,source,raw_source_artifact
kb/economy/tables/currency-summary.csv,economy.table.currency-summary,economy,table,canonical
kb/economy/tables/vault-overview.csv,economy.table.vault-overview,economy,table,canonical
kb/enemies/notes/boss-progression-system.md,enemies.note.boss_progression_system,enemies,note,canonical_note
kb/enemies/notes/enemy-scaling-curves.md,enemies.note.enemy_scaling_curves,enemies,note,canonical_note
kb/enemies/notes/enemy-scaling-model.md,enemies.note.enemy_scaling_model,enemies,note,canonical_note
kb/enemies/notes/survivability-limits.md,enemies.note.survivability_limits,enemies,note,canonical_note
kb/enemies/notes/wave-progression-system.md,enemies.note.wave_progression_system,enemies,note,canonical_note
kb/enemies/sources/raw/repo-cache/wiki/lab-enemy-attack-level-skip.csv,enemies.source.lab_enemy_attack_level_skip,enemies,source,raw_source_artifact
kb/enemies/sources/raw/repo-cache/wiki/lab-enemy-health-level-skip.csv,enemies.source.lab_enemy_health_level_skip,enemies,source,raw_source_artifact
kb/enemies/sources/raw/repo-inputs/combat/boss-hit-interval.csv,enemies.source.boss_hit_interval_v1,enemies,source,raw_source_artifact
kb/enemies/sources/raw/repo-inputs/combat/enemy-damage-table.csv,enemies.source.enemy_damage_table,enemies,source,raw_source_artifact
kb/enemies/sources/raw/repo-inputs/combat/enemy-health-table.csv,enemies.source.enemy_health_table,enemies,source,raw_source_artifact
kb/enemies/sources/raw/repo-legacy/tier-wave-damage.csv,enemies.source.tier_wave_damage,enemies,source,raw_source_artifact
kb/enemies/sources/raw/repo-legacy/tournament-wave-damage.csv,enemies.source.tournament_wave_damage,enemies,source,raw_source_artifact
kb/enemies/sources/wiki-enemy-and-wave-baselines.md,enemies.source.wiki_enemy_and_wave_baselines,enemies,source,supporting_reference
kb/enemies/sources/wiki-fleet-and-special-interactions.md,enemies.source.wiki_fleet_and_special_interactions,enemies,source,supporting_reference
kb/enemies/tables/boss-hit-interval.csv,enemies.table.boss_hit_interval,enemies,table,canonical_or_package_table
kb/enemies/tables/enemy-damage-scaling-long.csv,enemies.table.enemy_damage_scaling_long_v3,enemies,table,canonical_or_package_table
kb/enemies/tables/enemy-damage-table.csv,enemies.table.enemy_damage_table,enemies,table,canonical_or_package_table
kb/enemies/tables/enemy-health-scaling-long.csv,enemies.table.enemy_health_scaling_long_v3,enemies,table,canonical_or_package_table
kb/enemies/tables/enemy-health-table.csv,enemies.table.enemy_health_table,enemies,table,canonical_or_package_table
kb/enemies/tables/enemy-level-skip-workshop-reference.csv,enemies.table.enemy_level_skip_workshop_reference,enemies,table,canonical_or_package_table
kb/enemies/tables/note-derived-boss-properties.csv,enemies.table.wiki_boss_properties,enemies,table,canonical_table
kb/enemies/tables/note-derived-elite-cells-t14-t21.csv,enemies.table.wiki_elite_cells_t14_t21,enemies,table,canonical_table
kb/enemies/tables/note-derived-elite-spawn-rules.csv,enemies.table.wiki_elite_spawn_rules,enemies,table,canonical_table
kb/enemies/tables/note-derived-enemy-spawn-caps.csv,enemies.table.wiki_enemy_spawn_caps,enemies,table,canonical_table
kb/enemies/tables/note-derived-enemy-spawn-structure.csv,enemies.table.wiki_enemy_spawn_structure,enemies,table,canonical_table
kb/enemies/tables/note-derived-enemy-types.csv,enemies.table.wiki_enemy_types,enemies,table,canonical_table
kb/enemies/tables/note-derived-fleet-enemy-resistances.csv,enemies.table.wiki_fleet_enemy_resistances,enemies,table,canonical_table
kb/enemies/tables/wiki-advanced-analysis-spawn-rate-wave-thresholds.csv,enemies.table.wiki_advanced_analysis_spawn_rate_wave_thresholds,enemies,table,canonical_table
kb/enemies/tables/wiki-verified-elite-spawn-thresholds.csv,enemies.table.wiki_verified_elite_spawn_thresholds,enemies,table,canonical_table
kb/enemies/tables/wiki-verified-fleet-spawn-thresholds.csv,enemies.table.wiki_verified_fleet_spawn_thresholds,enemies,table,canonical_table
kb/global-rules/contracts/aliases.yaml,global_rules.contract.aliases,global-rules,contract,canonical_runtime_doc
kb/global-rules/contracts/canonical-stats.yaml,global_rules.contract.canonical_stats,global-rules,contract,canonical_runtime_doc
kb/global-rules/contracts/capabilities.yaml,global_rules.contract.capabilities,global-rules,contract,canonical_runtime_doc
kb/global-rules/contracts/contributor-mappings-full.yaml,global_rules.contract.contributor_mappings_full,global-rules,contract,canonical_runtime_doc
kb/global-rules/contracts/contributors.yaml,global_rules.contract.contributors,global-rules,contract,canonical_runtime_doc
kb/global-rules/contracts/domain-coverage.yaml,global_rules.contract.domain_coverage,global-rules,contract,canonical_runtime_doc
