path,domain,surface_type,canonicality,evidence_class,closure_status,notes
kb/advisory/prompts/diagnosis-subprompt.txt,advisory,prompts,advisory_noncanonical,mixed,noncanonical,
kb/advisory/prompts/optimization-subprompt.txt,advisory,prompts,advisory_noncanonical,mixed,noncanonical,
kb/advisory/prompts/retrieval-map.yaml,advisory,prompts,advisory_noncanonical,mixed,noncanonical,
kb/advisory/prompts/system-prompt.txt,advisory,prompts,advisory_noncanonical,mixed,noncanonical,
kb/advisory/reasoning/build-optimisation-playbook.md,advisory,reasoning,advisory_noncanonical,mixed,noncanonical,
kb/advisory/reasoning/farming-efficiency-framework.md,advisory,reasoning,advisory_noncanonical,mixed,noncanonical,
kb/advisory/reasoning/query-playbook.md,advisory,reasoning,advisory_noncanonical,mixed,noncanonical,
kb/advisory/reasoning/reasoning-index.md,advisory,reasoning,advisory_noncanonical,mixed,noncanonical,
kb/advisory/reasoning/stone-allocation-framework.md,advisory,reasoning,advisory_noncanonical,mixed,noncanonical,
kb/advisory/reasoning/survivability-and-wave-death-model.md,advisory,reasoning,advisory_noncanonical,mixed,noncanonical,
kb/advisory/reasoning/tournament-strategy-framework.md,advisory,reasoning,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/account-current-logic.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/battle-condition-strategy-notes.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/build-survivability-models.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/difficulty-transition-models.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/guardian-progression-notes.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/optimisation-method.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/optimisation-objectives.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/stone-allocation-evaluation-template.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/strategy-index.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/system-progression-models.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/testing-protocol.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/tournament-meta-models.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/tower-bot-medal-optimization-sheet.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/tower-econ-break-even-analysis.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/tower-econ-mechanics-reference.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/ultimate-weapon-economy-strategy-notes.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/wiki-strategy-addendum.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/advisory/strategy/wiki-strategy-baselines.md,advisory,strategy,advisory_noncanonical,mixed,noncanonical,
kb/bots/contracts/bot-runtime-contract.md,bots,contract,canonical,wiki-verified,external_source_closed,Bot semantics
kb/bots/notes/bot-system.md,bots,note,canonical,wiki-verified,external_source_closed,Canonical bot note
kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-formulas.csv,bots,source,raw_source_artifact,ep_raw,supporting_reference,preserve source-faithful naming
kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,bots,source,raw_source_artifact,ep_raw,supporting_reference,preserve source-faithful naming
kb/bots/sources/raw/effective-paths/sheet-exports/dvt-bot-formulas.csv,bots,source,raw_source_artifact,ep_raw,supporting_reference,preserve source-faithful naming
kb/bots/sources/raw/effective-paths/sheet-exports/dvt-bot-values.csv,bots,source,raw_source_artifact,ep_raw,supporting_reference,preserve source-faithful naming
kb/bots/sources/wiki-bot-baselines.md,bots,source,supporting,wiki-verified,supporting_reference,Bot provenance
kb/bots/tables/bot-labs-summary.yaml,bots,table,canonical_table,mixed,uploaded_corpus_closed,Canonical within frozen package corpus; upstream external closure not always available.
kb/bots/tables/flame-bot-tracks-and-costs.csv,bots,table,canonical_table,mixed,uploaded_corpus_closed,Canonical within frozen package corpus; upstream external closure not always available.
kb/bots/tables/golden-bot-tracks.yaml,bots,table,canonical_table,mixed,uploaded_corpus_closed,Canonical within frozen package corpus; upstream external closure not always available.
kb/cards/contracts/card-runtime-contract.md,cards,contract,canonical,wiki-verified,external_source_closed,Card semantics note
kb/cards/notes/card-system.md,cards,note,canonical,derived-and-reproducible,uploaded_corpus_closed,Canonical cards note
kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,cards,source,raw_source_artifact,wiki_raw,supporting_reference,preserve source-faithful naming
kb/cards/sources/raw/repo-cache/wiki/cards-epic.csv,cards,source,raw_source_artifact,wiki_raw,supporting_reference,preserve source-faithful naming
kb/cards/sources/raw/repo-cache/wiki/cards-rare.csv,cards,source,raw_source_artifact,wiki_raw,supporting_reference,preserve source-faithful naming
kb/cards/sources/raw/repo-inputs/cards/card-masteries.csv,cards,source,raw_source_artifact,repo_raw,supporting_reference,preserve source-faithful naming
kb/cards/sources/wiki-cards-and-card-masteries.md,cards,source,supporting_reference,wiki,supporting_reference,
kb/cards/tables/card-base-ladders.csv,cards,table,canonical_table,wiki,external_source_closed,Externally source-closed from uploaded primary evidence and/or wiki.
kb/cards/tables/card-masteries.csv,cards,table,canonical_table,repo,uploaded_corpus_closed,Canonical within frozen package corpus; upstream external closure not always available.
kb/cards/tables/wiki-card-mastery-lab-costs.csv,cards,table,canonical_table,wiki,external_source_closed,Externally source-closed from uploaded primary evidence and/or wiki.
kb/cards/tables/wiki-card-slots-and-costs.csv,cards,table,canonical_table,wiki,external_source_closed,Externally source-closed from uploaded primary evidence and/or wiki.
kb/combat/contracts/enemy-class-interaction-matrix.csv,combat,contract,canonical_runtime_doc,derived,supporting_reference,
kb/combat/contracts/runtime-damage-pipeline.csv,combat,contract,canonical_runtime_doc,derived,supporting_reference,
kb/combat/contracts/runtime-effect-catalog.csv,combat,contract,canonical_runtime_doc,derived,supporting_reference,
kb/combat/contracts/runtime-exception-matrix.csv,combat,contract,canonical_runtime_doc,derived,supporting_reference,
kb/combat/contracts/towersim-mechanics-runtime-corrected.md,combat,contract,canonical_runtime_doc,mixed,supporting_reference,
kb/combat/notes/combat-system.md,combat,note,canonical,derived-and-reproducible,uploaded_corpus_closed,Combat cross-domain ownership note
kb/combat/notes/core-system-interactions.md,combat,note,canonical_note,mixed,supporting_reference,
kb/combat/sources/combat-wiki-and-runtime-status.md,combat,source,supporting,derived-and-reproducible,supporting_reference,Combat provenance note
kb/combat/tables/combat-global-assumptions.csv,combat,table,assumption_surface,assumption-labeled,modeled_assumption,Explicit assumption table
kb/economy/contracts/economy-currency-contract.md,economy,contract,canonical,derived-and-reproducible,uploaded_corpus_closed,Domain contract for economy surfaces
kb/economy/notes/economy-system.md,economy,note,canonical,derived-and-reproducible,uploaded_corpus_closed,Authored canonical economy scope note
kb/economy/sources/raw/repo-inputs/economy/labs-values.csv,economy,source,raw_source_artifact,repo_raw,supporting_reference,preserve source-faithful naming
kb/economy/sources/raw/repo-inputs/economy/vault-stats.csv,economy,source,raw_source_artifact,repo_raw,supporting_reference,preserve source-faithful naming; empty table in current package
kb/economy/sources/raw/repo-inputs/economy/wse-presets.csv,economy,source,raw_source_artifact,repo_raw,supporting_reference,preserve source-faithful naming
kb/economy/sources/wiki-economy-and-vault-baselines.md,economy,source,supporting,wiki-verified,supporting_reference,Wiki provenance note
kb/economy/tables/currency-summary.csv,economy,table,canonical,wiki-verified,external_source_closed,High-level economy identity table
kb/economy/tables/economy-resource-flows.csv,economy,table,canonical,derived-and-reproducible,uploaded_corpus_closed,Normalized source->sink bridge table
kb/economy/tables/vault-overview.csv,economy,table,canonical,wiki-verified,external_source_closed,High-level Vault ownership table
kb/enemies/notes/boss-progression-system.md,enemies,note,canonical_note,mixed,supporting_reference,
kb/enemies/notes/enemy-scaling-curves.md,enemies,note,canonical_note,mixed,supporting_reference,
kb/enemies/notes/enemy-scaling-model.md,enemies,note,canonical_note,mixed,supporting_reference,
kb/enemies/notes/survivability-limits.md,enemies,note,canonical_note,mixed,supporting_reference,
kb/enemies/notes/wave-progression-system.md,enemies,note,canonical_note,mixed,supporting_reference,
kb/enemies/sources/enemy-system-baselines.md,enemies,source,supporting,derived-and-reproducible,supporting_reference,Enemy provenance / ownership note
kb/enemies/sources/raw/repo-cache/wiki/lab-enemy-attack-level-skip.csv,enemies,source,raw_source_artifact,wiki_raw,supporting_reference,preserve source-faithful naming
kb/enemies/sources/raw/repo-cache/wiki/lab-enemy-health-level-skip.csv,enemies,source,raw_source_artifact,wiki_raw,supporting_reference,preserve source-faithful naming
