source_family,contributor_id,destination_object_type,destination_id,registration_status
workshop,workshop__tower__health__flat,canonical_stat,tower_hp,registered
workshop,workshop__tower__regen__flat,canonical_stat,tower_regen,registered
workshop,workshop__tower__damage__flat,canonical_stat,tower_damage,registered
workshop,workshop__tower__attack_speed__flat,canonical_stat,tower_attack_speed,registered
workshop,workshop__tower__crit_chance__pct,canonical_stat,tower_crit_chance_pct,registered
workshop,workshop__tower__crit_multiplier__multiplier,canonical_stat,tower_crit_multiplier,registered
workshop,workshop__tower__range__m,canonical_stat,tower_range_m,registered
workshop,workshop__tower__damage_per_meter__multiplier,canonical_stat,tower_damage_per_meter_multiplier,registered
workshop,workshop__tower__multishot_chance__pct,canonical_stat,tower_multishot_chance_pct,registered
workshop,workshop__tower__multishot_targets__count,canonical_stat,tower_multishot_targets,registered
workshop,workshop__tower__rapid_fire_chance__pct,canonical_stat,tower_rapid_fire_chance_pct,registered
workshop,workshop__tower__rapid_fire_duration__seconds,canonical_stat,tower_rapid_fire_duration_seconds,registered
workshop,workshop__tower__bounce_shot_chance__pct,canonical_stat,tower_bounce_shot_chance_pct,registered
workshop,workshop__tower__bounce_shot_targets__count,canonical_stat,tower_bounce_shot_targets,registered
workshop,workshop__tower__bounce_shot_range__m,canonical_stat,tower_bounce_shot_range_m,registered
workshop,workshop__tower__supercrit_chance__pct,canonical_stat,tower_supercrit_chance_pct,registered
workshop,workshop__tower__supercrit_multiplier__multiplier,canonical_stat,tower_supercrit_multiplier,registered
workshop,workshop__tower__rend_armor_chance__pct,canonical_stat,tower_rend_armor_chance_pct,registered
workshop,workshop__tower__rend_armor_multiplier__multiplier,canonical_stat,tower_rend_armor_multiplier,registered
workshop,workshop__tower__defense_pct__pct,canonical_stat,tower_defense_pct,registered
workshop,workshop__tower__defense_absolute__flat,canonical_stat,tower_defense_absolute,registered
workshop,workshop__tower__thorns_damage__pct,canonical_stat,tower_thorns_damage_pct,registered
workshop,workshop__tower__lifesteal__pct,canonical_stat,tower_lifesteal_pct,registered
workshop,workshop__tower__knockback_chance__pct,canonical_stat,tower_knockback_chance_pct,registered
workshop,workshop__tower__knockback_force__flat,canonical_stat,tower_knockback_force,registered
workshop,workshop__tower__orb_speed__rpm,canonical_stat,tower_orb_speed_rpm,registered
workshop,workshop__tower__orb_count__count,canonical_stat,tower_orb_count,registered
workshop,workshop__tower__shockwave_size__m,canonical_stat,tower_shockwave_size_m,registered
workshop,workshop__tower__shockwave_interval__seconds,canonical_stat,tower_shockwave_interval_seconds,registered
workshop,workshop__tower__land_mine_chance__pct,canonical_stat,tower_land_mine_chance_pct,registered
workshop,workshop__tower__land_mine_damage__flat,canonical_stat,tower_land_mine_damage,registered
workshop,workshop__tower__land_mine_radius__m,canonical_stat,tower_land_mine_radius_m,registered
workshop,workshop__tower__death_defy_chance__pct,canonical_stat,tower_death_defy_chance_pct,registered
workshop,workshop__tower__cash_kill_bonus__multiplier,canonical_stat,cash_kill_multiplier,registered
workshop,workshop__tower__cash_per_wave__flat,canonical_stat,cash_per_wave,registered
workshop,workshop__tower__coin_kill_bonus__multiplier,canonical_stat,coins_per_kill_bonus,registered
workshop,workshop__tower__coins_per_wave__flat,canonical_stat,coins_per_wave,registered
workshop,workshop__tower__free_attack_upgrade__pct,canonical_stat,free_attack_upgrade_chance_pct,registered
workshop,workshop__tower__free_defense_upgrade__pct,canonical_stat,free_defense_upgrade_chance_pct,registered
workshop,workshop__tower__free_utility_upgrade__pct,canonical_stat,free_utility_upgrade_chance_pct,registered
workshop,workshop__tower__interest_per_wave__pct,canonical_stat,interest_per_wave_pct,registered
workshop,workshop__tower__recovery_amount__pct,canonical_stat,recovery_amount_pct,registered
workshop,workshop__tower__max_recovery__multiplier,canonical_stat,max_recovery_multiplier,registered
workshop,workshop__tower__package_chance__pct,canonical_stat,package_chance_pct,registered
workshop,workshop__tower__enemy_attack_level_skip__pct,canonical_stat,enemy_attack_level_skip_pct,registered
