upstream_node_id,downstream_node_id,verification_status,notes
source_input::workshop:Health,state::tower.hp,verified,Workshop Health routes to tower_hp.
state::tower.hp,state::wall.hp,verified,wall_hp depends on tower_hp.
source_input::workshop:Orbs,state::tower.orb_count,verified,Workshop Orbs routes to tower_orb_count.
source_input::workshop:Free Attack Upgrade,state::tower.free_attack_upgrade_chance_pct,verified,Direct workshop contribution.
source_input::workshop:Free Defense Upgrade,state::tower.free_defense_upgrade_chance_pct,verified,Direct workshop contribution.
source_input::workshop:Free Utility Upgrade,state::tower.free_utility_upgrade_chance_pct,verified,Direct workshop contribution.
state::tower.free_upgrade_multiplier,state::tower.free_attack_upgrade_chance_pct,verified,Shared enhancement support multiplier.
state::tower.free_upgrade_multiplier,state::tower.free_defense_upgrade_chance_pct,verified,Shared enhancement support multiplier.
state::tower.free_upgrade_multiplier,state::tower.free_utility_upgrade_chance_pct,verified,Shared enhancement support multiplier.
source_input::workshop:Enemy Attack Level Skip,state::tower.enemy_attack_level_skip_pct,verified,Direct workshop contribution.
source_input::workshop:Enemy Health Level Skip,state::tower.enemy_health_level_skip_pct,verified,Direct workshop contribution.
state::tower.enemy_attack_level_skip_pct,runtime_surface::attack_wave,verified,Progression runtime consumer.
state::tower.enemy_health_level_skip_pct,runtime_surface::health_wave,verified,Progression runtime consumer.
source_input::workshop:Defense %,state::tower.defense_pct,verified,Direct workshop contribution.
source_input::workshop:Thorn Damage,state::tower.thorns_damage_pct,verified,Direct workshop contribution.
source_input::workshop:Orb Speed,state::tower.orb_speed_rpm,verified,Direct workshop contribution.
