node_id,node_kind,is_publishable,verification_status,blocker_reason,notes
source_input::workshop:Health,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Orbs,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Free Attack Upgrade,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Free Defense Upgrade,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Free Utility Upgrade,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Enemy Attack Level Skip,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Enemy Health Level Skip,source_input,false,verified,,Mutable workshop track.
state::tower.hp,state,true,verified,,Closed canonical stat.
state::wall.hp,state,true,verified,,Depends on tower_hp.
state::tower.orb_count,state,true,verified,,Closed canonical stat.
state::tower.free_upgrade_multiplier,state,true,verified,,Enhancement support node.
state::tower.free_attack_upgrade_chance_pct,state,true,verified,,Closed canonical stat with support node.
state::tower.free_defense_upgrade_chance_pct,state,true,verified,,Closed canonical stat with support node.
state::tower.free_utility_upgrade_chance_pct,state,true,verified,,Closed canonical stat with support node.
state::tower.enemy_attack_level_skip_pct,state,true,verified,,Closed canonical stat.
state::tower.enemy_health_level_skip_pct,state,true,verified,,Closed canonical stat.
runtime_surface::attack_wave,runtime_surface,false,verified,,Consumer surface for progression engine.
runtime_surface::health_wave,runtime_surface,false,verified,,Consumer surface for progression engine.
source_input::workshop:Defense %,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Thorn Damage,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Orb Speed,source_input,false,verified,,Mutable workshop track.
state::tower.defense_pct,state,true,verified,,Closed canonical stat.
state::tower.thorns_damage_pct,state,true,verified,,Closed canonical stat.
state::tower.orb_speed_rpm,state,true,verified,,Closed canonical stat.
