mutation_class,trigger_key,source_node_id,verification_status,notes
workshop_level_change,Health,source_input::workshop:Health,verified,Workshop override trigger.
workshop_level_change,Orbs,source_input::workshop:Orbs,verified,Workshop override trigger.
workshop_level_change,Free Attack Upgrade,source_input::workshop:Free Attack Upgrade,verified,Workshop override trigger.
workshop_level_change,Free Defense Upgrade,source_input::workshop:Free Defense Upgrade,verified,Workshop override trigger.
workshop_level_change,Free Utility Upgrade,source_input::workshop:Free Utility Upgrade,verified,Workshop override trigger.
workshop_level_change,Enemy Attack Level Skip,source_input::workshop:Enemy Attack Level Skip,verified,Workshop override trigger.
workshop_level_change,Enemy Health Level Skip,source_input::workshop:Enemy Health Level Skip,verified,Workshop override trigger.
workshop_level_change,Defense %,source_input::workshop:Defense %,verified,Workshop override trigger.
workshop_level_change,Thorn Damage,source_input::workshop:Thorn Damage,verified,Workshop override trigger.
workshop_level_change,Orb Speed,source_input::workshop:Orb Speed,verified,Workshop override trigger.
