path,domain,surface_type,canonicality,closure_status,evidence_class,notes
kb/advisory/prompts/diagnosis-subprompt.txt,advisory,prompts,advisory_noncanonical,noncanonical,mixed,
kb/advisory/prompts/optimization-subprompt.txt,advisory,prompts,advisory_noncanonical,noncanonical,mixed,
kb/advisory/prompts/retrieval-map.yaml,advisory,prompts,advisory_noncanonical,noncanonical,mixed,
kb/advisory/prompts/system-prompt.txt,advisory,prompts,advisory_noncanonical,noncanonical,mixed,
kb/advisory/reasoning/build-optimisation-playbook.md,advisory,reasoning,advisory_noncanonical,noncanonical,mixed,
kb/advisory/reasoning/farming-efficiency-framework.md,advisory,reasoning,advisory_noncanonical,noncanonical,mixed,
kb/advisory/reasoning/query-playbook.md,advisory,reasoning,advisory_noncanonical,noncanonical,mixed,
kb/advisory/reasoning/reasoning-index.md,advisory,reasoning,advisory_noncanonical,noncanonical,mixed,
kb/advisory/reasoning/stone-allocation-framework.md,advisory,reasoning,advisory_noncanonical,noncanonical,mixed,
kb/advisory/reasoning/survivability-and-wave-death-model.md,advisory,reasoning,advisory_noncanonical,noncanonical,mixed,
kb/advisory/reasoning/tournament-strategy-framework.md,advisory,reasoning,advisory_noncanonical,noncanonical,mixed,
kb/advisory/strategy/account-current-logic.md,advisory,strategy,advisory_noncanonical,noncanonical,mixed,
kb/advisory/strategy/battle-condition-strategy-notes.md,advisory,strategy,advisory_noncanonical,noncanonical,mixed,
kb/advisory/strategy/build-survivability-models.md,advisory,strategy,advisory_noncanonical,noncanonical,mixed,
kb/advisory/strategy/difficulty-transition-models.md,advisory,strategy,advisory_noncanonical,noncanonical,mixed,
kb/advisory/strategy/guardian-progression-notes.md,advisory,strategy,advisory_noncanonical,noncanonical,mixed,
kb/advisory/strategy/optimisation-method.md,advisory,strategy,advisory_noncanonical,noncanonical,mixed,
kb/advisory/strategy/optimisation-objectives.md,advisory,strategy,advisory_noncanonical,noncanonical,mixed,
kb/advisory/strategy/stone-allocation-evaluation-template.md,advisory,strategy,advisory_noncanonical,noncanonical,mixed,
kb/advisory/strategy/strategy-index.md,advisory,strategy,advisory_noncanonical,noncanonical,mixed,
kb/advisory/strategy/system-progression-models.md,advisory,strategy,advisory_noncanonical,noncanonical,mixed,
kb/advisory/strategy/testing-protocol.md,advisory,strategy,advisory_noncanonical,noncanonical,mixed,
kb/advisory/strategy/tournament-meta-models.md,advisory,strategy,advisory_noncanonical,noncanonical,mixed,
