defined_name,formula_or_ref
DVT_MOD_SubStat_Value_Array,Data_Val_Tables!$FD$2:$FQ$76
DVT_Mod_ArmorIncreaseArray,Data_Val_Tables!$EH$21:$EH$30
DVT_Mod_Armor_Substats,Data_Val_Tables!$EZ$3:$EZ$30
DVT_Mod_Base_Rarity,Data_Val_Tables!$EV$4:$EV$19
DVT_Mod_Base_Rarity_Uniques,Data_Val_Tables!$EW$4:$EW$16
DVT_Mod_CannonIncreaseArray,Data_Val_Tables!$EG$21:$EG$30
DVT_Mod_Cannon_Substats,Data_Val_Tables!$EY$3:$EY$30
DVT_Mod_CoreIncreaseArray,Data_Val_Tables!$EJ$21:$EJ$30
DVT_Mod_Core_Substats,Data_Val_Tables!$FB$3:$FB$30
DVT_Mod_GeneratorIncreaseArray,Data_Val_Tables!$EI$21:$EI$30
DVT_Mod_Generator_Substats,Data_Val_Tables!$FA$3:$FA$30
DVT_Mod_Stat_Rarity,Data_Val_Tables!$EX$4:$EX$10
DVT_Mod_StepsIncrease,Data_Val_Tables!$EF$21:$EF$30
DVT_Mod_StepsIncreaseNext,Data_Val_Tables!$EF$22:$EF$31
DVT_mod_BaseStatArray,Data_Val_Tables!$EF$4:$EJ$17
EPG_MODULE_BONUS,"LAMBDA(prim_bonus, has_ass, ass_bonus, stone_bac, lab_bac, prim_bonus*IF(has_ass, ((ass_bonus-1)*(1+stone_bac+lab_bac)*0.01)+1, 1))"
EPG_MODULE_LEVEL_LIMIT,"LAMBDA(input_text, LET(
  raw, IFERROR(INDEX(SPLIT(input_text, "" ""), 1), input_text),
  IFS(
    raw=""none"", 0,
    raw=""all"", 300,
    ISNUMBER(raw), raw,
    TRUE, 0
  )
))"
IDS_MOD_ARMOR_ASSIST_LEVEL,LAMBDA('_IDS'!$BI$2)
IDS_MOD_ARMOR_ASSIST_MULT_CAP,LAMBDA('_IDS'!$BH$4)
IDS_MOD_ARMOR_ASSIST_NAME,"LAMBDA(preset, INDEX('_IDS'!$BH$9:$BH$25, MATCH(preset, '_IDS'!$BG$7:$BG$23, 0), 1))"
IDS_MOD_ARMOR_ASSIST_SUBSTATS,"LAMBDA(name, LET(
  mods, '_IDS'!$BG$27:$BJ,
  level, IDS_MOD_ARMOR_ASSIST_LEVEL(),
  IDS_MOD_SUBSTATS_HELPER(name, level, mods)
))"
IDS_MOD_ARMOR_ASSIST_SUBSTAT_CAP,LAMBDA('_IDS'!$BH$5)
IDS_MOD_ARMOR_BONUS,"LAMBDA(name, XLOOKUP(name, '_IDS'!$BG$27:$BG$227, '_IDS'!$BI$29:$BI$229))"
IDS_MOD_ARMOR_LEVEL,"LAMBDA(name, XLOOKUP(name, '_IDS'!$BG$27:$BG$227, '_IDS'!$BH$29:$BH$229))"
IDS_MOD_ARMOR_NAME,"LAMBDA(preset, INDEX('_IDS'!$BH$8:$BH$24, MATCH(preset, '_IDS'!$BG$7:$BG$23, 0), 1))"
IDS_MOD_ARMOR_RARITY,"LAMBDA(name, IFERROR(XLOOKUP(name, '_IDS'!$BG$27:$BG$227, '_IDS'!$BG$29:$BG$229), """"))"
IDS_MOD_ARMOR_SUBSTATS,"LAMBDA(name, LET(
  mods, '_IDS'!$BG$27:$BJ,
  level, IDS_MOD_ARMOR_LEVEL(name),
  IDS_MOD_SUBSTATS_HELPER(name, level, mods)
))"
IDS_MOD_CANNON_ASSIST_LEVEL,LAMBDA('_IDS'!$BD$2)
IDS_MOD_CANNON_ASSIST_MULT_CAP,LAMBDA('_IDS'!$BC$4)
IDS_MOD_CANNON_ASSIST_NAME,"LAMBDA(preset, INDEX('_IDS'!$BC$9:$BC$25, MATCH(preset, '_IDS'!$BB$7:$BB$23, 0), 1))"
IDS_MOD_CANNON_ASSIST_SUBSTATS,"LAMBDA(name, LET(
  mods, '_IDS'!$BB$27:$BE,
  level, IDS_MOD_CANNON_ASSIST_LEVEL(),
  IDS_MOD_SUBSTATS_HELPER(name, level, mods)
))"
IDS_MOD_CANNON_ASSIST_SUBSTAT_CAP,LAMBDA('_IDS'!$BC$5)
IDS_MOD_CANNON_BONUS,"LAMBDA(name, XLOOKUP(name, '_IDS'!$BB$27:$BB$227, '_IDS'!$BD$29:$BD$229))"
IDS_MOD_CANNON_LEVEL,"LAMBDA(name, XLOOKUP(name, '_IDS'!$BB$27:$BB$227, '_IDS'!$BC$29:$BC$229))"
IDS_MOD_CANNON_NAME,"LAMBDA(preset, INDEX('_IDS'!$BC$8:$BH$24, MATCH(preset, '_IDS'!$BB$7:$BB$23, 0), 1))"
IDS_MOD_CANNON_RARITY,"LAMBDA(name, IFERROR(XLOOKUP(name, '_IDS'!$BB$27:$BB$227, '_IDS'!$BB$29:$BB$229), """"))"
IDS_MOD_CANNON_SUBSTAT,"LAMBDA(modname, statname, LET(
  substats, IDS_MOD_CANNON_SUBSTATS(modname),
  substatNames, INDEX(substats, , 1),
  substatValues, INDEX(substats, , 4),
  IFERROR(XLOOKUP(statname, substatNames, substatValues), 0)
))"
IDS_MOD_CANNON_SUBSTATS,"LAMBDA(name, LET(
  mods, '_IDS'!$BB$27:$BE,
  level, IDS_MOD_CANNON_LEVEL(name), IDS_MOD_SUBSTATS_HELPER(name, level, mods)
))"
IDS_MOD_CORE_ASSIST_LEVEL,LAMBDA('_IDS'!$BS$2)
IDS_MOD_CORE_ASSIST_MULT_CAP,LAMBDA('_IDS'!$BR$4)
IDS_MOD_CORE_ASSIST_NAME,"LAMBDA(preset, INDEX('_IDS'!$BR$9:$BR$25, MATCH(preset, '_IDS'!$BQ$7:$BQ$23, 0), 1))"
IDS_MOD_CORE_ASSIST_SUBSTATS,"LAMBDA(name, LET(
  mods, '_IDS'!$BQ$27:$BT,
  level, IDS_MOD_CORE_ASSIST_LEVEL(),
  IDS_MOD_SUBSTATS_HELPER(name, level, mods)
))"
IDS_MOD_CORE_ASSIST_SUBSTAT_CAP,LAMBDA('_IDS'!$BR$5)
IDS_MOD_CORE_BONUS,"LAMBDA(name, XLOOKUP(name, '_IDS'!$BQ$27:$BQ$227, '_IDS'!$BS$29:$BS$229))"
IDS_MOD_CORE_LEVEL,"LAMBDA(name, XLOOKUP(name, '_IDS'!$BQ$27:$BQ$227, '_IDS'!$BR$29:$BR$229))"
IDS_MOD_CORE_NAME,"LAMBDA(preset, INDEX('_IDS'!$BR$8:$BR$24, MATCH(preset, '_IDS'!$BQ$7:$BQ$23, 0), 1))"
IDS_MOD_CORE_RARITY,"LAMBDA(name, IFERROR(XLOOKUP(name, '_IDS'!$BQ$27:$BQ$227, '_IDS'!$BQ$29:$BQ$229), """"))"
IDS_MOD_CORE_SUBSTATS,"LAMBDA(name, LET(
  mods, '_IDS'!$BQ$27:$BT,
  level, IDS_MOD_CORE_LEVEL(name),
  IDS_MOD_SUBSTATS_HELPER(name, level, mods)
))"
IDS_MOD_GENERATOR_ASSIST_LEVEL,LAMBDA('_IDS'!$BN$2)
IDS_MOD_GENERATOR_ASSIST_MULT_CAP,LAMBDA('_IDS'!$BM$4)
IDS_MOD_GENERATOR_ASSIST_NAME,"LAMBDA(preset, INDEX('_IDS'!$BM$9:$BM$25, MATCH(preset, '_IDS'!$BL$7:$BL$23, 0), 1))"
IDS_MOD_GENERATOR_ASSIST_SUBSTATS,"LAMBDA(name, LET(
  mods, '_IDS'!$BL$27:$BO,
  level, IDS_MOD_GENERATOR_ASSIST_LEVEL(),
  IDS_MOD_SUBSTATS_HELPER(name, level, mods)
))"
IDS_MOD_GENERATOR_ASSIST_SUBSTAT_CAP,LAMBDA('_IDS'!$BM$5)
IDS_MOD_GENERATOR_BONUS,"LAMBDA(name, XLOOKUP(name, '_IDS'!$BL$27:$BL$227, '_IDS'!$BN$29:$BN$229))"
IDS_MOD_GENERATOR_LEVEL,"LAMBDA(name, XLOOKUP(name, '_IDS'!$BL$27:$BL$227, '_IDS'!$BM$29:$BM$229))"
IDS_MOD_GENERATOR_NAME,"LAMBDA(preset, INDEX('_IDS'!$BM$8:$BM$24, MATCH(preset, '_IDS'!$BL$7:$BL$23, 0), 1))"
IDS_MOD_GENERATOR_RARITY,"LAMBDA(name, IFERROR(XLOOKUP(name, '_IDS'!$BL$27:$BL$227, '_IDS'!$BL$29:$BL$229), """"))"
IDS_MOD_GENERATOR_SUBSTATS,"LAMBDA(name, LET(
  mods, '_IDS'!$BL$27:$BO,
  level, IDS_MOD_GENERATOR_LEVEL(name),
  IDS_MOD_SUBSTATS_HELPER(name, level, mods)
))"
