rarity,cannon_damage_base,armor_hp_base,generator_coin_base,core_uw_base
Common,0.012,0.012,0.011,0.04
Rare,0.032,0.032,0.013,0.06
Rare+,0.052,0.052,0.016,0.09
Epic,0.072,0.072,0.019,0.13
Epic+,0.102,0.102,0.023,0.16
Legendary,0.132,0.132,0.026,0.21
Legendary+,0.162,0.162,0.029,0.26
Mythic,0.202,0.202,0.033,0.31
Mythic+,0.252,0.252,0.036,0.36
Ancestral,0.302,0.302,0.041,0.41
Ancestral 1*,0.314,0.314,0.043,0.426
Ancestral 2*,0.326,0.326,0.044,0.443
Ancestral 3*,0.338,0.338,0.046,0.459
Ancestral 4*,0.35,0.35,0.048,0.476
Ancestral 5*,0.362,0.362,0.049,0.492
