level,cannon_additive_bonus,armor_additive_bonus,generator_additive_bonus,core_additive_bonus
1,0.0,0.0,0.0,0.0
2,0.002,0.002,0.001,0.01
3,0.004,0.004,0.002,0.02
4,0.006,0.006,0.003,0.03
5,0.008,0.008,0.004,0.04
6,0.01,0.01,0.005,0.05
7,0.012,0.012,0.006,0.06
8,0.014,0.014,0.007,0.07
9,0.016,0.016,0.008,0.08
10,0.018,0.018,0.009,0.09
11,0.02,0.02,0.01,0.1
12,0.022,0.022,0.011,0.11
13,0.024,0.024,0.012,0.12
14,0.026,0.026,0.013,0.13
15,0.028,0.028,0.014,0.14
16,0.03,0.03,0.015,0.15
17,0.032,0.032,0.016,0.16
18,0.034,0.034,0.017,0.17
19,0.036,0.036,0.018,0.18
20,0.038,0.038,0.019,0.19
21,0.042,0.042,0.02,0.205
22,0.046,0.046,0.021,0.22
23,0.05,0.05,0.022,0.235
24,0.054,0.054,0.023,0.25
25,0.058,0.058,0.024,0.265
26,0.062,0.062,0.025,0.28
27,0.066,0.066,0.026,0.295
28,0.07,0.07,0.027,0.31
29,0.074,0.074,0.028,0.325
30,0.078,0.078,0.029,0.34
31,0.084,0.084,0.031,0.36
32,0.09,0.09,0.033,0.38
33,0.096,0.096,0.035,0.4
34,0.102,0.102,0.037,0.42
35,0.108,0.108,0.039,0.44
36,0.114,0.114,0.041,0.46
37,0.12,0.12,0.043,0.48
38,0.126,0.126,0.045,0.5
39,0.132,0.132,0.047,0.52
40,0.138,0.138,0.049,0.54
41,0.146,0.146,0.052,0.565
42,0.154,0.154,0.055,0.59
43,0.162,0.162,0.058,0.615
44,0.17,0.17,0.061,0.64
45,0.178,0.178,0.064,0.665
46,0.186,0.186,0.067,0.69
47,0.194,0.194,0.07,0.715
48,0.202,0.202,0.073,0.74
49,0.21,0.21,0.076,0.765
50,0.218,0.218,0.079,0.79
51,0.226,0.226,0.082,0.815
52,0.234,0.234,0.085,0.84
53,0.242,0.242,0.088,0.865
54,0.25,0.25,0.091,0.89
55,0.258,0.258,0.094,0.915
56,0.266,0.266,0.097,0.94
57,0.274,0.274,0.1,0.965
58,0.282,0.282,0.103,0.99
59,0.29,0.29,0.106,1.015
60,0.298,0.298,0.109,1.04
61,0.31,0.31,0.112,1.07
62,0.322,0.322,0.115,1.1
63,0.334,0.334,0.118,1.13
64,0.346,0.346,0.121,1.16
65,0.358,0.358,0.124,1.19
