rarity,level,slot,total_multiplier
Common,1,cannon,1.012
Common,1,armor,1.012
Common,1,generator,1.011
Common,1,core,1.04
Common,2,cannon,1.014
Common,2,armor,1.014
Common,2,generator,1.012
Common,2,core,1.05
Common,3,cannon,1.016
Common,3,armor,1.016
Common,3,generator,1.013
Common,3,core,1.06
Common,4,cannon,1.018
Common,4,armor,1.018
Common,4,generator,1.014
Common,4,core,1.07
Common,5,cannon,1.02
Common,5,armor,1.02
Common,5,generator,1.015
Common,5,core,1.08
Common,6,cannon,1.022
Common,6,armor,1.022
Common,6,generator,1.016
Common,6,core,1.09
Common,7,cannon,1.024
Common,7,armor,1.024
Common,7,generator,1.017
Common,7,core,1.1
Common,8,cannon,1.026
Common,8,armor,1.026
Common,8,generator,1.018
Common,8,core,1.11
Common,9,cannon,1.028
Common,9,armor,1.028
Common,9,generator,1.019
Common,9,core,1.12
Common,10,cannon,1.03
Common,10,armor,1.03
Common,10,generator,1.02
Common,10,core,1.13
Common,11,cannon,1.032
Common,11,armor,1.032
Common,11,generator,1.021
Common,11,core,1.14
Common,12,cannon,1.034
Common,12,armor,1.034
Common,12,generator,1.022
Common,12,core,1.15
Common,13,cannon,1.036
Common,13,armor,1.036
Common,13,generator,1.023
Common,13,core,1.16
Common,14,cannon,1.038
Common,14,armor,1.038
Common,14,generator,1.024
Common,14,core,1.17
Common,15,cannon,1.04
Common,15,armor,1.04
Common,15,generator,1.025
Common,15,core,1.18
Common,16,cannon,1.042
Common,16,armor,1.042
Common,16,generator,1.026
Common,16,core,1.19
Common,17,cannon,1.044
Common,17,armor,1.044
Common,17,generator,1.027
Common,17,core,1.2
Common,18,cannon,1.046
Common,18,armor,1.046
Common,18,generator,1.028
Common,18,core,1.21
Common,19,cannon,1.048
Common,19,armor,1.048
Common,19,generator,1.029
Common,19,core,1.22
Common,20,cannon,1.05
Common,20,armor,1.05
Common,20,generator,1.03
Common,20,core,1.23
Common,21,cannon,1.054
Common,21,armor,1.054
Common,21,generator,1.031
Common,21,core,1.245
Common,22,cannon,1.058
Common,22,armor,1.058
Common,22,generator,1.032
Common,22,core,1.26
Common,23,cannon,1.062
Common,23,armor,1.062
Common,23,generator,1.033
Common,23,core,1.275
Common,24,cannon,1.066
Common,24,armor,1.066
Common,24,generator,1.034
