slot,substat,rarity,value,unit,source
Cannon,Attack Speed,Common,0.3,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Attack Speed,Rare,0.5,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Attack Speed,Epic,0.7,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Attack Speed,Legendary,1,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Attack Speed,Mythic,3,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Attack Speed,Ancestral,5,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Crit Chance,Rare,3,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Crit Chance,Epic,4,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Crit Chance,Legendary,6,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Crit Chance,Mythic,8,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Crit Chance,Ancestral,10,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Crit Factor,Common,2,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Crit Factor,Rare,4,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Crit Factor,Epic,6,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Crit Factor,Legendary,8,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Crit Factor,Mythic,12,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Crit Factor,Ancestral,15,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Attack Range,Common,2,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Attack Range,Rare,4,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Attack Range,Epic,8,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Attack Range,Legendary,12,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Attack Range,Mythic,20,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Attack Range,Ancestral,30,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Damage / Meter,Common,0.005,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Damage / Meter,Rare,0.01,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Damage / Meter,Epic,0.025,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Damage / Meter,Legendary,0.04,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Damage / Meter,Mythic,0.075,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Damage / Meter,Ancestral,0.15,flat,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Multishot Chance,Rare,3,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Multishot Chance,Epic,5,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Multishot Chance,Legendary,7,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Multishot Chance,Mythic,10,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Multishot Chance,Ancestral,13,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Multishot Targets,Epic,1,count,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Multishot Targets,Legendary,2,count,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Multishot Targets,Mythic,3,count,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Multishot Targets,Ancestral,4,count,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Rapid Fire Chance,Rare,2,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Rapid Fire Chance,Epic,4,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Rapid Fire Chance,Legendary,6,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Rapid Fire Chance,Mythic,9,percent,prompt_extracted_wiki_excerpt_needs_row_audit
Cannon,Rapid Fire Chance,Ancestral,12,percent,prompt_extracted_wiki_excerpt_needs_row_audit
