assist_level,stone_cost,efficiency_percent,provenance
0,0,1.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
1,15,2.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
2,18,3.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
3,21,4.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
4,24,5.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
5,27,6.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
6,30,7.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
7,33,8.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
8,36,9.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
9,39,10.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
10,42,11.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
11,45,12.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
12,48,13.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
13,51,14.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
14,54,15.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
15,57,16.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
16,60,17.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
17,63,18.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
18,66,19.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
19,69,20.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
20,72,21.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
21,75,22.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
22,78,23.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
23,81,24.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
24,84,25.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
25,87,26.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
26,90,27.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
27,93,28.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
28,96,29.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
29,99,30.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
30,102,31.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
31,105,32.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
32,108,33.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
33,111,34.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
34,114,35.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
35,117,36.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
36,120,37.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
37,123,38.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
38,126,39.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
39,129,40.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
40,132,41.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
41,135,42.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
42,138,43.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
43,141,44.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
44,144,45.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
45,147,46.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
46,150,47.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
47,153,48.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
48,156,49.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
49,159,50.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
50,162,51.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
51,165,52.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
52,168,53.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
53,171,54.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
54,174,55.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
55,177,56.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
56,180,57.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
57,183,58.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
58,186,59.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
59,189,60.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
60,192,61.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
61,195,62.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
62,198,63.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
63,201,64.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
64,204,65.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
65,207,66.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
66,210,67.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
67,213,68.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
68,216,69.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
69,219,70.0,Effective Paths Modules v5.12: DVT_Modules!H2:J71
