stone_level,assist_efficiency_pct,assist_efficiency_frac
0,1,0.01
1,2,0.02
2,3,0.03
3,4,0.04
4,5,0.05
5,6,0.06
6,7,0.07
7,8,0.08
8,9,0.09
9,10,0.1
10,11,0.11
11,12,0.12
12,13,0.13
13,14,0.14
14,15,0.15
15,16,0.16
16,17,0.17
17,18,0.18
18,19,0.19
19,20,0.2
20,21,0.21
21,22,0.22
22,23,0.23
23,24,0.24
24,25,0.25
25,26,0.26
26,27,0.27
27,28,0.28
28,29,0.29
29,30,0.3
30,31,0.31
31,32,0.32
32,33,0.33
33,34,0.34
34,35,0.35
35,36,0.36
36,37,0.37
37,38,0.38
38,39,0.39
39,40,0.4
40,41,0.41
41,42,0.42
42,43,0.43
43,44,0.44
44,45,0.45
45,46,0.46
46,47,0.47
47,48,0.48
48,49,0.49
49,50,0.5
50,51,0.51
51,52,0.52
52,53,0.53
53,54,0.54
54,55,0.55
55,56,0.56
56,57,0.57
57,58,0.58
58,59,0.59
59,60,0.6
60,61,0.61
61,62,0.62
62,63,0.63
63,64,0.64
64,65,0.65
65,66,0.66
66,67,0.67
67,68,0.68
68,69,0.69
69,70,0.7
70,71,0.71
71,72,0.72
72,73,0.73
73,74,0.74
74,75,0.75
75,76,0.76
76,77,0.77
77,78,0.78
78,79,0.79
79,80,0.8
80,81,0.81
81,82,0.82
82,83,0.83
83,84,0.84
84,85,0.85
85,86,0.86
86,87,0.87
87,88,0.88
88,89,0.89
89,90,0.9
90,91,0.91
91,92,0.92
92,93,0.93
93,94,0.94
94,95,0.95
95,96,0.96
96,97,0.97
97,98,0.98
98,99,0.99
99,100,1.0
100,101,1.01
101,102,1.02
102,103,1.03
103,104,1.04
104,105,1.05
105,106,1.06
106,107,1.07
107,108,1.08
108,109,1.09
109,110,1.1
110,111,1.11
111,112,1.12
112,113,1.13
113,114,1.14
114,115,1.15
115,116,1.16
116,117,1.17
117,118,1.18
118,119,1.19
119,120,1.2
120,121,1.21
121,122,1.22
122,123,1.23
123,124,1.24
124,125,1.25
125,126,1.26
126,127,1.27
127,128,1.28
128,129,1.29
129,130,1.3
130,131,1.31
131,132,1.32
132,133,1.33
133,134,1.34
134,135,1.35
135,136,1.36
136,137,1.37
137,138,1.38
138,139,1.39
139,140,1.4
140,141,1.41
141,142,1.42
142,143,1.43
143,144,1.44
144,145,1.45
145,146,1.46
146,147,1.47
147,148,1.48
148,149,1.49
149,150,1.5
150,151,1.51
151,152,1.52
152,153,1.53
153,154,1.54
154,155,1.55
155,156,1.56
156,157,1.57
157,158,1.58
158,159,1.59
159,160,1.6
160,161,1.61
161,162,1.62
162,163,1.63
163,164,1.64
164,165,1.65
165,166,1.66
166,167,1.67
167,168,1.68
168,169,1.69
169,170,1.7
170,171,1.71
171,172,1.72
172,173,1.73
173,174,1.74
174,175,1.75
175,176,1.76
176,177,1.77
177,178,1.78
178,179,1.79
179,180,1.8
180,181,1.81
181,182,1.82
182,183,1.83
183,184,1.84
184,185,1.85
185,186,1.86
186,187,1.87
187,188,1.88
188,189,1.89
189,190,1.9
190,191,1.91
191,192,1.92
192,193,1.93
193,194,1.94
194,195,1.95
195,196,1.96
196,197,1.97
197,198,1.98
198,199,1.99
199,200,2.0
200,201,2.01
