surface_id,category,source_type,source_item_id,publisher,consumer_notes
derived::module.drop_policy.reroll_shard_drop_chance_pct,drop_policy,wiki_truth,reroll_shard_drop_chance_pct,query_module_drop_economy,Consumed by reroll income calculator
derived::module.drop_policy.reroll_shards_per_boss,drop_policy,wiki_truth_plus_qe_lab,reroll_shards_per_boss_by_tier,query_module_drop_economy,Consumed by reroll income calculator
derived::module.drop_policy.common_module_drop_chance_pct,drop_policy,wiki_truth_plus_qe_lab,common_module_drop_chance_pct,query_module_drop_economy,Consumed by shard income calculator
derived::module.drop_policy.rare_module_drop_chance_pct,drop_policy,wiki_truth_plus_qe_lab,rare_module_drop_chance_pct,query_module_drop_economy,Consumed by shard income calculator
derived::module.shatter_policy.common_module_shards,shatter_policy,wiki_truth_plus_qe_lab,common_module_shards,query_module_drop_economy,Consumed by shard income calculator
derived::module.shatter_policy.rare_module_shards,shatter_policy,wiki_truth_plus_qe_lab,rare_module_shards,query_module_drop_economy,Consumed by shard income calculator
derived::module.drop_policy.expected_shatter_equivalent_shards_per_boss,drop_policy,derived_from_closed_truth,common_module_drop_chance_pct|rare_module_drop_chance_pct|common_module_shards|rare_module_shards,query_module_drop_economy,Lower-bound/derived component assuming dropped common+rare modules are shattered
derived::module.lab.reroll_shards_bonus,lab_policy,account_state_plus_wiki,reroll_shards_bonus_per_level,query_module_lab_policy,Upstream to drop economy publisher
derived::module.lab.common_drop_chance_bonus_pct,lab_policy,account_state_plus_wiki,common_drop_chance_bonus_per_level,query_module_lab_policy,Upstream to drop economy publisher
derived::module.lab.rare_drop_chance_bonus_pct,lab_policy,account_state_plus_wiki,rare_drop_chance_bonus_per_level,query_module_lab_policy,Upstream to drop economy publisher
derived::module.lab.daily_mission_shards_bonus,lab_policy,account_state_plus_wiki,daily_mission_shards_bonus_per_level,query_module_lab_policy,Upstream to mission economy publisher
derived::module.lab.shatter_shards_bonus_pct,lab_policy,account_state_plus_wiki,shatter_shards_bonus_per_level,query_module_lab_policy,Upstream to drop economy publisher
derived::module.mission_policy.base_daily_mission_shards,mission_policy,wiki_truth,base_daily_mission_shards_by_highest_tier,query_module_mission_economy,Consumed by mission economy
derived::module.mission_policy.total_daily_mission_shards,mission_policy,wiki_truth_plus_qe_lab,base_daily_mission_shards_by_highest_tier|daily_mission_shards_bonus_per_level,query_module_mission_economy,Consumed by shard income calculator
derived::module.draw_policy.common_rate_pct,draw_policy,wiki_truth,common_draw_rate_pct,query_module_draw_policy,Consumed by shard income calculator lower bound
derived::module.draw_policy.rare_rate_pct,draw_policy,wiki_truth,rare_draw_rate_pct,query_module_draw_policy,Consumed by shard income calculator lower bound
derived::module.draw_policy.epic_rate_pct,draw_policy,wiki_truth,epic_draw_rate_pct,query_module_draw_policy,Currently informative only until epic EV closes
derived::module.draw_policy.epic_pity_draws,draw_policy,wiki_truth,epic_pity_draws,query_module_draw_policy,Currently informative only until full EV closes
derived::module.draw_policy.ten_pull_minimum_rare,draw_policy,wiki_truth,ten_pull_minimum_rare,query_module_draw_policy,Currently informative only until full EV closes
derived::module.draw_policy.gem_cost_per_draw,draw_policy,wiki_truth,gem_cost_per_draw,query_module_draw_policy,Consumed by shard income calculator lower bound
planner.manual_policy.module.missions_per_week,planner_policy,manual_qe_routed,daily_mission_frequency_policy,query_module_runtime_policy,Consumed by planner resource state and shard income calculator

derived::module.reroll_policy.common_submodule_reroll_rate_pct,reroll_policy,wiki_truth,common_submodule_reroll_rate_pct,module_submodule_reroll_policy,Consumed by submodule reroll spend calculator
derived::module.reroll_policy.rare_submodule_reroll_rate_pct,reroll_policy,wiki_truth,rare_submodule_reroll_rate_pct,module_submodule_reroll_policy,Consumed by submodule reroll spend calculator
derived::module.reroll_policy.epic_submodule_reroll_rate_pct,reroll_policy,wiki_truth,epic_submodule_reroll_rate_pct,module_submodule_reroll_policy,Consumed by submodule reroll spend calculator
derived::module.reroll_policy.legendary_submodule_reroll_rate_pct,reroll_policy,wiki_truth,legendary_submodule_reroll_rate_pct,module_submodule_reroll_policy,Consumed by submodule reroll spend calculator
derived::module.reroll_policy.mythic_submodule_reroll_rate_pct,reroll_policy,wiki_truth,mythic_submodule_reroll_rate_pct,module_submodule_reroll_policy,Consumed by submodule reroll spend calculator
derived::module.reroll_policy.ancestral_submodule_reroll_rate_pct,reroll_policy,wiki_truth,ancestral_submodule_reroll_rate_pct,module_submodule_reroll_policy,Consumed by submodule reroll spend calculator
