highest_tier_unlocked,base_daily_mission_shards,source_note
1,0,Wiki Daily Missions rewards table
2,3,Wiki Daily Missions rewards table
3,5,Wiki Daily Missions rewards table
4,8,Wiki Daily Missions rewards table
5,12,Wiki Daily Missions rewards table
6,15,Wiki Daily Missions rewards table
7,20,Wiki Daily Missions rewards table
8,25,Wiki Daily Missions rewards table
9,30,Wiki Daily Missions rewards table
10,34,Wiki Daily Missions rewards table
11,38,Wiki Daily Missions rewards table
12,42,Wiki Daily Missions rewards table
13,48,Wiki Daily Missions rewards table
14,55,Wiki Daily Missions rewards table
15,60,Wiki Daily Missions rewards table
16,65,Wiki Daily Missions rewards table
17,70,Wiki Daily Missions rewards table
18,75,Wiki Daily Missions rewards table
19,80,Wiki Daily Missions rewards table
20,85,Wiki Daily Missions rewards table
21,90,Wiki Daily Missions rewards table
