effect,common,rare,epic,legendary,mythic,ancestral,source_ref
Cash Bonus,0.1,0.2,0.3,0.5,1.2,2.5,internalized_source_snapshot
Cash / Wave,30,50,100,200,500,1000,internalized_source_snapshot
Coins / Kill Bonus,0.1,0.2,0.3,0.4,0.5,0.6,internalized_source_snapshot
Coins / Wave,20,35,60,120,200,350,internalized_source_snapshot
Free Attack Upgrade [%],2,4,6,8,10,12,internalized_source_snapshot
Free Defense Upgrade [%],2,4,6,8,10,12,internalized_source_snapshot
Free Utility Upgrade [%],2,4,6,8,10,12,internalized_source_snapshot
Interest / Wave [%],,,2,4,6,8,internalized_source_snapshot
Recovery Amount [%],,,3,5,7,10,internalized_source_snapshot
Max Recovery,,,0.4,0.7,1.0,1.5,internalized_source_snapshot
Package Chance [%],,,5,8,11,15,internalized_source_snapshot
Enemy Attack Level Skip [%],,,2,4,6,8,internalized_source_snapshot
Enemy Health Level Skip [%],,,2,4,6,8,internalized_source_snapshot
