perk_id,perk_name,effect_index,target_stat_id,operation,effect_value,scope,status,source,spb_applies,spb_formula_class,integrality_policy
PERK_X1_20_MAX_HEALTH,x1.20 Max Health,1,tower_hp,multiplier,1.20,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_X1_15_DAMAGE,x1.15 Damage,1,tower_damage,multiplier,1.15,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_X1_15_ALL_COIN_BONUSES,x1.15 All Coin Bonuses,1,coins_per_kill_bonus,multiplier,1.15,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_X1_15_DEFENSE_ABSOLUTE,x1.15 Defense Absolute,1,absolute_defense,multiplier,1.15,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_X1_15_CASH_BONUS,x1.15 Cash Bonus,1,cash_bonus,multiplier,1.15,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_X1_75_HEALTH_REGEN,x1.75 Health Regen,1,tower_regen,multiplier,1.75,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_INTEREST_X1_50,Interest x1.50,1,interest,multiplier,1.50,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_LAND_MINE_DAMAGE_X3_50,Land Mine Damage x3.50,1,land_mine_damage,multiplier,3.50,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_FREE_UPGRADE_CHANCE_FOR_ALL_5_0,Free Upgrade Chance for All +5.0%,1,free_upgrade_chance_all,percentage_points_add,5.0,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_DEFENSE_PERCENT_4_00,Defense Percent +4.00,1,def_pct,percentage_points_add,4.00,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_BOUNCE_SHOT_2,Bounce Shot +2,1,bounce_shot_count,count_add,2,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,no,additive,round_final
PERK_PERK_WAVE_REQUIREMENT_20_00,Perk Wave Requirement -20.00%,1,perk_wave_requirement,remaining_fraction,0.80,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_ORBS_1,Orbs +1,1,orb_count,count_add,1,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,no,additive,round_final
PERK_UNLOCK_A_RANDOM_ULTIMATE_WEAPON,Unlock a Random Ultimate Weapon,1,random_uw_unlock,special_unlock,1,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,,,
PERK_INCREASE_MAX_GAME_SPEED_BY_1_00,Increase Max Game Speed by +1.00,1,max_game_speed,raw_add,1.00,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_4_MORE_SMART_MISSILES,4 More Smart Missiles,1,uw_smart_missiles,count_add,4,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,round_final
PERK_SWAMP_RADIUS_X1_5,Swamp Radius x1.5,1,uw_poison_swamp_radius,multiplier,1.50,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_1_WAVE_ON_DEATH_WAVE,+1 Wave on Death Wave,1,uw_death_wave_waves,count_add,1,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,round_final
PERK_EXTRA_SET_OF_INNER_MINES,Extra Set of Inner Mines,1,uw_inner_land_mines_sets,count_add,1,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,round_final
