perk_id,perk_name,category,max_picks,stacking_type,effect_count,source_class,status
PERK_X1_20_MAX_HEALTH,x1.20 Max Health,standard,5,multiplicative,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_X1_15_DAMAGE,x1.15 Damage,standard,5,multiplicative,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_X1_15_ALL_COIN_BONUSES,x1.15 All Coin Bonuses,standard,5,multiplicative,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_X1_15_DEFENSE_ABSOLUTE,x1.15 Defense Absolute,standard,5,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_X1_15_CASH_BONUS,x1.15 Cash Bonus,standard,5,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_X1_75_HEALTH_REGEN,x1.75 Health Regen,standard,5,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_INTEREST_X1_50,Interest x1.50,standard,5,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_LAND_MINE_DAMAGE_X3_50,Land Mine Damage x3.50,standard,5,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_FREE_UPGRADE_CHANCE_FOR_ALL_5_0,Free Upgrade Chance for All +5.0%,standard,5,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_DEFENSE_PERCENT_4_00,Defense Percent +4.00,standard,5,additive,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_BOUNCE_SHOT_2,Bounce Shot +2,standard,3,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_PERK_WAVE_REQUIREMENT_20_00,Perk Wave Requirement -20.00%,standard,3,additive,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_ORBS_1,Orbs +1,standard,2,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_UNLOCK_A_RANDOM_ULTIMATE_WEAPON,Unlock a Random Ultimate Weapon,standard,1,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_INCREASE_MAX_GAME_SPEED_BY_1_00,Increase Max Game Speed by +1.00,standard,1,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_4_MORE_SMART_MISSILES,4 More Smart Missiles,ultimate_weapon,1,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_SWAMP_RADIUS_X1_5,Swamp Radius x1.5,ultimate_weapon,1,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_1_WAVE_ON_DEATH_WAVE,+1 Wave on Death Wave,ultimate_weapon,1,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_EXTRA_SET_OF_INNER_MINES,Extra Set of Inner Mines,ultimate_weapon,1,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_GOLDEN_TOWER_BONUS_X1_5,Golden Tower Bonus x1.5,ultimate_weapon,1,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_CHAIN_LIGHTNING_DAMAGE_X2,Chain Lightning Damage x2,ultimate_weapon,1,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_CHRONO_FIELD_DURATION_5S,Chrono Field Duration +5s,ultimate_weapon,1,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_BLACK_HOLE_DURATION_12_0S,Black Hole Duration +12.0s,ultimate_weapon,1,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_SPOTLIGHT_DAMAGE_BONUS_X1_5,Spotlight Damage Bonus x1.5,ultimate_weapon,1,named_rule,1,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_X1_50_TOWER_DAMAGE_BUT_BOSSES_HAVE_8X_HEALTH,"x1.50 Tower Damage, but Bosses Have 8x Health",trade_off,1,named_rule,2,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_X1_80_COINS_BUT_TOWER_MAX_HEALTH_70,"x1.80 coins, but Tower Max Health -70%",trade_off,1,named_rule,2,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_ENEMIES_HAVE_50_HEALTH_BUT_TOWER_HEALTH_REGEN_AND_LIFESTEAL_90,"Enemies Have -50% Health, but Tower Health Regen and Lifesteal -90%",trade_off,1,named_rule,3,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_ENEMIES_DAMAGE_50_BUT_TOWER_DAMAGE_50,"Enemies Damage -50%, but Tower Damage -50%",trade_off,1,named_rule,2,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_RANGED_ENEMIES_ATTACK_DISTANCE_REDUCED_BUT_TOWER_RANGED_ENEMIES_DAMAGE_X3,"Ranged Enemies Attack Distance Reduced, But Tower Ranged Enemies Damage x3",trade_off,1,named_rule,2,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_ENEMIES_SPEED_40_BUT_ENEMIES_DAMAGE_X2_5,"Enemies Speed -40%, But Enemies Damage x2.5",trade_off,1,named_rule,2,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_X12_00_CASH_PER_WAVE_BUT_ENEMY_KILL_DON_T_GIVE_CASH,"x12.00 Cash Per Wave, But Enemy Kill Don't Give Cash",trade_off,1,named_rule,2,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_TOWER_HEALTH_REGEN_X8_00_BUT_TOWER_MAX_MAX_HEALTH_60,"Tower Health Regen x8.00, But Tower Max Max Health -60%",trade_off,1,named_rule,2,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_BOSS_HEALTH_70_BUT_BOSS_SPEED_50,"Boss Health -70%, But Boss Speed +50%",trade_off,1,named_rule,2,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
PERK_LIFESTEAL_X2_50_BUT_KNOCKBACK_FORCE_70,"Lifesteal x2.50, But Knockback force -70%",trade_off,1,named_rule,2,live_wiki_perks_page_verified_2026_03_14,row_verified_against_live_wiki_perks_page
