bc_name,description,source_ref
Death Ray Resistance,"Instead of destroying enemies, death ray deals x% enemy health as damage",internalized_source_snapshot
Thorns Resistance,Thorns deals x% damage,internalized_source_snapshot
Enemy Attack Speed,Enemy attack speed is increased by x%,internalized_source_snapshot
Knockback Resistance,Knockback force applied to enemies is reduced by x%,internalized_source_snapshot
Plasma Cannon Resistance,Plasma Cannon deals x% of normal damage,internalized_source_snapshot
More Enemies,x% more enemies spawn,internalized_source_snapshot
Orb Resistance,"Instead of destroying enemies, orbs deal x% enemy health as damage",internalized_source_snapshot
More Bosses,Bosses spawn every x waves instead of 10,internalized_source_snapshot
Enemy Speed,Enemies move x% faster,internalized_source_snapshot
Armored Enemies,Enemies block the first x hits,internalized_source_snapshot
Ultimate Weapon Durations,"Reduce the durations of Chrono Field, Golden Tower, Poison Swamp, and Black Hole by Xs",internalized_source_snapshot
