league,wave_actual,bc_key,bc_variant,value_raw,value_num,value_unit,value_kind
champion,0,armored_enemies,,1,1.0,hits,hits_blocked
champion,0,basic_ultimate,boss,0.01,0.01,ratio,probability
champion,0,basic_ultimate,fast,0.01,0.01,ratio,probability
champion,0,basic_ultimate,protector,0.01,0.01,ratio,probability
champion,0,basic_ultimate,range,0.01,0.01,ratio,probability
champion,0,basic_ultimate,tank,0.01,0.01,ratio,probability
champion,0,boss_ultimate,,0.05,0.05,ratio,multiplier
champion,0,death_defy_down,,-0.01,-0.01,ratio,probability_delta
champion,0,death_ray_resistance,,0.9,0.9,ratio,multiplier
champion,0,enemy_attack_speed,,0.05,0.05,ratio,multiplier
champion,0,enemy_level_skip,,-0.01,-0.01,ratio,probability
champion,0,enemy_speed,,0.2,0.2,ratio,multiplier
champion,0,energy_shields_down,,0.01,0.01,ratio,recharge_time_multiplier_or_delta
champion,0,fast_ultimate,,1,1.0,ratio,multiplier
champion,0,knockback_resistance,,0.95,0.95,ratio,multiplier
champion,0,more_bosses,,6,6.0,waves,interval_waves
champion,0,more_enemies,,0.01,0.01,ratio,spawn_rate_delta
champion,0,orb_resistance,,0.9,0.9,ratio,multiplier
champion,0,plasma_cannon_resistance,,0.95,0.95,ratio,multiplier
champion,0,protector_s_ultimate,,3s,3.0,s,duration_or_cooldown
champion,0,ranged_ultimate,,0.1s,0.1,s,duration
champion,0,tank_s_ultimate,,3s,3.0,s,duration_or_cooldown
champion,0,thorns_resistance,,0.95,0.95,ratio,multiplier
champion,0,ultimate_weapon_durations,,-1s,-1.0,s,duration_delta
champion,20,armored_enemies,,2,2.0,hits,hits_blocked
champion,20,basic_ultimate,boss,0.01,0.01,ratio,probability
champion,20,basic_ultimate,fast,0.01,0.01,ratio,probability
champion,20,basic_ultimate,protector,0.01,0.01,ratio,probability
champion,20,basic_ultimate,range,0.01,0.01,ratio,probability
champion,20,basic_ultimate,tank,0.01,0.01,ratio,probability
champion,20,boss_ultimate,,0.1,0.1,ratio,multiplier
champion,20,death_defy_down,,-0.02,-0.02,ratio,probability_delta
champion,20,death_ray_resistance,,0.8,0.8,ratio,multiplier
champion,20,enemy_attack_speed,,0.25,0.25,ratio,multiplier
champion,20,enemy_level_skip,,-0.02,-0.02,ratio,probability
champion,20,enemy_speed,,0.4,0.4,ratio,multiplier
champion,20,energy_shields_down,,0.05,0.05,ratio,recharge_time_multiplier_or_delta
champion,20,fast_ultimate,,1,1.0,ratio,multiplier
champion,20,knockback_resistance,,0.9,0.9,ratio,multiplier
champion,20,more_bosses,,6,6.0,waves,interval_waves
champion,20,more_enemies,,0.05,0.05,ratio,spawn_rate_delta
champion,20,orb_resistance,,0.75,0.75,ratio,multiplier
champion,20,plasma_cannon_resistance,,0.9,0.9,ratio,multiplier
champion,20,protector_s_ultimate,,15s,15.0,s,duration_or_cooldown
champion,20,ranged_ultimate,,0.1s,0.1,s,duration
champion,20,tank_s_ultimate,,15s,15.0,s,duration_or_cooldown
champion,20,thorns_resistance,,0.9,0.9,ratio,multiplier
champion,20,ultimate_weapon_durations,,-1s,-1.0,s,duration_delta
champion,40,armored_enemies,,3,3.0,hits,hits_blocked
champion,40,basic_ultimate,boss,0.01,0.01,ratio,probability
champion,40,basic_ultimate,fast,0.02,0.02,ratio,probability
champion,40,basic_ultimate,protector,0.01,0.01,ratio,probability
champion,40,basic_ultimate,range,0.01,0.01,ratio,probability
champion,40,basic_ultimate,tank,0.02,0.02,ratio,probability
champion,40,boss_ultimate,,0.15,0.15,ratio,multiplier
champion,40,death_defy_down,,0,0.0,ratio,probability_delta
champion,40,death_ray_resistance,,0.7,0.7,ratio,multiplier
champion,40,enemy_attack_speed,,0.5,0.5,ratio,multiplier
champion,40,enemy_level_skip,,-0.03,-0.03,ratio,probability
champion,40,enemy_speed,,0.6,0.6,ratio,multiplier
champion,40,energy_shields_down,,0.1,0.1,ratio,recharge_time_multiplier_or_delta
champion,40,fast_ultimate,,2,2.0,ratio,multiplier
champion,40,knockback_resistance,,0.8,0.8,ratio,multiplier
champion,40,more_bosses,,6,6.0,waves,interval_waves
champion,40,more_enemies,,0.1,0.1,ratio,spawn_rate_delta
champion,40,orb_resistance,,0.5,0.5,ratio,multiplier
champion,40,plasma_cannon_resistance,,0.8,0.8,ratio,multiplier
champion,40,protector_s_ultimate,,30s,30.0,s,duration_or_cooldown
champion,40,ranged_ultimate,,0.2s,0.2,s,duration
champion,40,tank_s_ultimate,,30s,30.0,s,duration_or_cooldown
champion,40,thorns_resistance,,0.8,0.8,ratio,multiplier
champion,40,ultimate_weapon_durations,,-1s,-1.0,s,duration_delta
champion,60,armored_enemies,,5,5.0,hits,hits_blocked
champion,60,basic_ultimate,boss,0.01,0.01,ratio,probability
