tier,coin_bonus,bc_name,bc_level,resolved_component,resolved_value_num,resolved_value_unit,resolved_value_kind,closure_status,curve_source_class,nearest_curve_level_lower,nearest_curve_level_upper,source_ref,resolution_note
14,17.6,Death Ray Resistance,50,damage_multiplier,0.5,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,50,50,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
14,17.6,ELS Reduction,5,absolute_chance_subtract,0.025,pp,absolute_subtract,resolved_exact_tier_value,repo_tier_exact,5,5,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
14,17.6,More Bosses,1,boss_interval_waves,9.0,waves,interval,resolved_exact_tier_value,repo_tier_exact,1,1,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
14,17.6,Orb Resistance,50,damage_multiplier,0.5,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,50,50,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
14,17.6,Plasma Cannon Resistance,20,damage_multiplier,0.8,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,20,20,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
14,17.6,Thorns Resistance,20,damage_multiplier,0.8,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,20,20,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
15,21.3,Armored Enemies,10,blocked_hits,10.0,hits,hits_blocked,resolved_exact_tier_value,repo_tier_exact,10,10,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
15,21.3,Death Ray Resistance,60,damage_multiplier,0.4,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,60,60,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
15,21.3,ELS Reduction,10,absolute_chance_subtract,0.05,pp,absolute_subtract,resolved_exact_tier_value,repo_tier_exact,10,10,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
15,21.3,Knockback Resistance,40,knockback_multiplier,0.6,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,40,40,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
15,21.3,More Bosses,2,boss_interval_waves,8.0,waves,interval,resolved_exact_tier_value,repo_tier_exact,2,2,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
15,21.3,Orb Resistance,60,damage_multiplier,0.4,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,60,60,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
15,21.3,Plasma Cannon Resistance,30,damage_multiplier,0.7,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,30,30,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
15,21.3,Thorns Resistance,30,damage_multiplier,0.7,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,30,30,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
16,25.2,Armored Enemies,20,blocked_hits,20.0,hits,hits_blocked,resolved_exact_tier_value,repo_tier_exact,20,20,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
16,25.2,Death Ray Resistance,70,damage_multiplier,0.3,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,70,70,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
