level,time,cost,value_multiplier,status,source_url
1,0d 20h 0m 0s,250000,1.55,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
2,1d 4h 21m 9s,560000,1.6,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
3,1d 12h 53m 11s,1100000,1.65,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
4,1d 21h 54m 33s,2800000,1.7,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
5,2d 7h 49m 19s,7750000,1.75,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
6,2d 19h 6m 5s,19540000,1.8,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
7,3d 8h 17m 16s,43580000,1.85,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
8,3d 23h 58m 44s,87410000,1.9,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
9,4d 18h 49m 30s,160910000,1.95,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
10,5d 17h 31m 29s,276620000,2.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
11,6d 20h 49m 19s,449930000,2.05,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
12,8d 5h 30m 9s,699340000,2.1,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
13,9d 20h 23m 37s,1050000000,2.15,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
14,11d 18h 21m 37s,1520000000,2.2,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
15,14d 0h 18m 17s,2140000000,2.25,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
16,16d 15h 9m 51s,2950000000,2.3,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
17,19d 15h 54m 39s,3980000000,2.35,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
18,23d 3h 32m 57s,5270000000,2.4,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
19,27d 3h 6m 55s,6880000000,2.45,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
20,31d 15h 40m 37s,8840000000,2.5,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Coins_Bonus
