level,time,cost,value_pct_of_base_health,status,source_url
1,0d 19h 59m 59s,250000,525,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
2,1d 4h 21m 9s,560000,550,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
3,1d 12h 53m 11s,1100000,575,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
4,1d 21h 54m 33s,2800000,600,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
5,2d 7h 49m 19s,7750000,625,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
6,2d 19h 6m 5s,19540000,650,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
7,3d 8h 17m 16s,43580000,675,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
8,3d 23h 58m 44s,87410000,700,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
9,4d 18h 49m 30s,160910000,725,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
10,5d 17h 31m 29s,276620000,750,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
11,7d 4h 48m 55s,334620000,775,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
12,7d 14h 48m 11s,347440000,800,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
13,8d 1h 1m 58s,363460000,825,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
14,8d 11h 30m 53s,383110000,850,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
15,8d 22h 15m 35s,406870000,875,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
16,9d 9h 16m 39s,435210000,900,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
17,9d 20h 34m 39s,468640000,925,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
18,10d 8h 10m 10s,507670000,950,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
19,10d 20h 3m 42s,552830000,975,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
20,11d 8h 15m 49s,604680000,1000,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
21,11d 20h 46m 59s,663770000,1025,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
22,12d 9h 37m 43s,730690000,1050,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
23,12d 22h 48m 31s,806040000,1075,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
24,13d 12h 19m 49s,890410000,1100,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
25,14d 2h 12m 6s,984430000,1125,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
26,14d 16h 25m 49s,1090000000,1150,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
27,15d 7h 1m 25s,1200000000,1175,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
28,15d 21h 59m 19s,1330000000,1200,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
29,16d 13h 19m 57s,1470000000,1225,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
30,17d 5h 3m 44s,1620000000,1250,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Death_Wave_Health
