,,9705,,,,,15710,,655,,2010,,,,,,14891,,6966,,2550,,,,,,17591,,2950,,8850,,,,,,5530,,2910,,1506,,,,,,11297,,425,,1800,,,,,,8434,,14052,,4700,,,,,,13686,,3500,,2010,,,,,,2291,,5392,,2040,,,,,,8821,,29690,,3725,,,,
,,,,14650,,,,,,,,,12650,,,,,,,,,,12650,,,,,,,,,,19050,,,,,,,,,,16350,,,,,,,,,,18570,,,,,,,,,,20070,,,,,,,,,,23800,,,,,,,,,,19050,,,,,,,,,,19050,,
,Unlock Costs per UW,,Unlock Costs per UW+,,,Chain Lightning,,,,,,Chain Lightning +,,,,Smart Missiles,,,,,,Smart Missiles +,,,,Death Wave,,,,,,Death Wave +,,,,Chrono Field,,,,,,Chrono Field +,,,,Inner Land Mines,,,,,,Inner Land Mines +,,,,Golden Tower,,,,,,Golden Tower +,,,,Poison Swamp,,,,,,Poison Swamp +,,,,Black Hole,,,,,,Black Hole +,,,,Spotlight,,,,,,Spotlight +,,,
,UW,Cost,UW+,Cost,,Damage,Cost,Quantity,Cost,Chance,Cost,Smite,Cost,ROI Cost,,Damage,Cost,Quantity,Cost,Cooldown,Cost,Cover Fire,Cost,ROI Cost,,Damage ,Cost,Quantity,Cost,Cooldown,Cost,Kill Wall,Cost,ROI Cost,,Duration,Cost,– Speed,Cost,Cooldown,Cost,Chrono Loop,Cost,ROI Cost,,Damage ,Cost,Quantity,Cost,Cooldown,Cost,Charged Mines,Cost,ROI Cost,,Multiplier,Cost,Duration,Cost,Cooldown,Cost,Golden Combo,Cost,ROI Cost,,Damage,Cost,Duration,Cost,Cooldown,Cost,Death Creep,Cost,ROI Cost,,Size,Cost,Duration,Cost,Cooldown,Cost,Consume,Cost,ROI Cost,,Multiplier,Cost,Angle,Cost,Quantity,Cost,Light Range,Cost,ROI Cost,
ULTIMATE WEAPONS UNLOCKS,0.0,0.0,0.0,0.0,CHAIN LIGHTNING,2.0,0.0,1.0,0.0,0.05,0.0,Locked,0.0,0.0,SMART MISSILES,10.0,0.0,5.0,0.0,180.0,0.0,Locked,0.0,0.0,DEATH WAVE,2.0,0.0,1.0,0.0,300.0,0.0,Locked,0.0,0.0,CHRONO FIELD,5.0,0.0,0.2,0.0,180.0,0.0,Locked,0.0,0.0,INNER LAND MINES,10.0,0.0,3.0,0.0,200.0,0.0,Locked,0.0,0.0,GOLDEN TOWER,5.0,0.0,15.0,0.0,300.0,0.0,Locked,0.0,0.0,POISON SWAMP,10.0,0.0,30.0,0.0,125.0,0.0,Locked,0.0,0.0,BLACK HOLE,30.0,0.0,15.0,0.0,200.0,0.0,Locked,0.0,0.0,SPOTLIGHT,8.0,0.0,30.0,0.0,1.0,0.0,Locked,0.0,0.0,
,1.0,5.0,1.0,500.0,,3.0,5.0,2.0,30.0,0.065,8.0,0.0005,0.0,0,,11.0,5.0,6.0,4.0,170.0,8.0,13.0,0.0,0,,3.0,5.0,2.0,200.0,290,8.0,3.0,0.0,0,,6.0,5.0,0.25,15.0,170.0,10.0,0.1,0.0,0,,11.0,5.0,4,50.0,190,8.0,0.5,0.0,0,,5.8,5.0,16,5.0,290,10.0,0.0003,0.0,0,,11.0,5.0,35.0,10.0,120.0,8.0,1.2,0.0,0,,32,5.0,16,5.0,190,10.0,0.0005,0.0,0,,9.4,5.0,31.0,5.0,2.0,375.0,0.01,0.0,0,
,2.0,50.0,2.0,625.0,,5.0,11.0,3.0,75.0,0.08,26.0,0.001,300.0,300.0,,13.0,11.0,7.0,12.0,160.0,24.0,12.0,300.0,300.0,,5.0,11.0,3.0,500.0,280,24.0,4.0,400.0,400.0,,7.0,14.0,0.3,25.0,160.0,31.0,0.15,400.0,400.0,,13.0,11.0,5,125.0,180,24.0,1.5,300.0,300.0,,6.6,13.0,17,14.0,280,28.0,0.0006,300.0,300.0,,13.0,11.0,40.0,20.0,115.0,26.0,1.9,300.0,300.0,,34,12.0,17,14.0,180,28.0,0.001,400.0,400.0,,10.8,13.0,32.0,16.0,3.0,850.0,0.02,400.0,400.0,
,3.0,150.0,3.0,750.0,,9.0,17.0,4.0,150.0,0.095,44.0,0.0015,375.0,375.0,,16.0,17.0,8.0,35.0,150.0,40.0,11.0,375.0,375.0,,9.0,17.0,4.0,850.0,270,40.0,6.0,500.0,500.0,,8.0,23.0,0.35,40.0,150.0,52.0,0.2,500.0,500.0,,16.0,17.0,6,250.0,170,40.0,2.9,360.0,360.0,,7.4,22.0,18,23.0,270,46.0,0.0009,360.0,360.0,,16.0,17.0,45.0,35.0,110.0,44.0,2.6,375.0,375.0,,36,19.0,18,23.0,170,46.0,0.0015,500.0,500.0,,12.2,21.0,33.0,27.0,4.0,2500.0,0.03,500.0,500.0,
,4.0,300.0,4.0,975.0,,14.0,23.0,5.0,400.0,0.11,62.0,0.002,475.0,475.0,,20.0,23.0,9.0,70.0,140.0,56.0,10.0,475.0,475.0,,14.0,23.0,5.0,1400.0,260,56.0,9.0,610.0,610.0,,9.0,32.0,0.4,60.0,140.0,73.0,0.25,610.0,610.0,,20.0,23.0,6,Max,160,56.0,4.7,430.0,430.0,,8.2,32.0,19,32.0,260,64.0,0.0012,430.0,430.0,,20.0,23.0,50.0,55.0,105.0,62.0,3.3,475.0,475.0,,38,26.0,19,32.0,160,64.0,0.002,610.0,610.0,,13.6,30.0,34.0,38.0,4.0,Max,0.04,610.0,610.0,
,5.0,800.0,5.0,1250.0,,22.0,29.0,5,Max,0.125,80.0,0.0025,600.0,600.0,,26.0,29.0,10.0,120.0,130.0,72.0,9.0,600.0,600.0,,22.0,29.0,5,Max,250,72.0,13.0,730.0,730.0,,10.0,41.0,0.45,120.0,130.0,94.0,0.3,730.0,730.0,,26.0,29.0,,,150,72.0,6.9,510.0,510.0,,9,43.0,20,41.0,250,82.0,0.0015,510.0,510.0,,26.0,29.0,55.0,100.0,100.0,80.0,4.0,600.0,600.0,,40,34.0,20,41.0,150,82.0,0.0025,730.0,730.0,,15,40.0,35.0,49.0,,,0.05,730.0,730.0,
