uw_name,track_name,level_index,value,cost,source_ref,notes,provenance
Chain Lightning,Damage,0,2.0,0,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,1,3.0,5,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,2,5.0,11,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,3,9.0,17,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,4,14.0,23,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,5,22.0,29,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,6,32.0,35,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,7,46.0,41,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,8,63.0,47,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,9,85.0,53,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,10,113.0,61,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,11,148.0,71,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,12,191.0,84,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,13,244.0,100,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,14,309.0,120,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,15,387.0,144,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,16,482.0,174,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,17,596.0,210,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,18,733.0,252,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,19,898.0,302,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,20,1094.0,362,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,21,1328.0,434,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,22,1607.0,525,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,23,1937.0,636,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,24,2329.0,767,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,25,2794.0,923,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,26,3342.0,1109,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,27,3990.0,1295,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,28,4755.0,1521,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,29,5655.0,1787,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,30,6715.0,2103,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Damage,31,7961.0,2469,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Quantity,0,1.0,0,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Quantity,1,2.0,30,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Quantity,2,3.0,75,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Quantity,3,4.0,150,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Quantity,4,5.0,400,internalized_source_snapshot,,wiki_verified_v2
Chain Lightning,Chance,0,5.0,0,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,1,6.5,8,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,2,8.0,26,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,3,9.5,44,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,4,11.0,62,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,5,12.5,80,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,6,14.0,98,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,7,15.5,116,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,8,17.0,134,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,9,18.5,152,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,10,20.0,170,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,11,21.5,188,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,12,23.0,206,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,13,24.5,224,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,14,26.0,242,internalized_source_snapshot,percent,wiki_verified_v2
Chain Lightning,Chance,15,27.5,260,internalized_source_snapshot,percent,wiki_verified_v2
Chrono Field,Duration,0,5.0,0,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,1,6.0,5,internalized_source_snapshot,seconds,wiki_verified_v2
