level_index,size_m,size_stones,duration_s,duration_stones,cooldown_s,cooldown_stones,source_ref
0,30,0,15,0,200,0,internalized_source_snapshot
1,32,5,16,5,190,10,internalized_source_snapshot
2,34,12,17,14,180,28,internalized_source_snapshot
3,36,19,18,23,170,46,internalized_source_snapshot
4,38,26,19,32,160,64,internalized_source_snapshot
5,40,34,20,41,150,82,internalized_source_snapshot
6,42,43,21,50,140,100,internalized_source_snapshot
7,44,53,22,59,130,118,internalized_source_snapshot
8,46,64,23,68,120,136,internalized_source_snapshot
9,48,76,24,77,110,154,internalized_source_snapshot
10,50,89,25,86,100,172,internalized_source_snapshot
11,52,103,26,95,90,190,internalized_source_snapshot
12,54,118,27,104,80,208,internalized_source_snapshot
13,56,134,28,113,70,226,internalized_source_snapshot
14,58,151,29,122,60,244,internalized_source_snapshot
15,60,169,30,131,50,262,internalized_source_snapshot
